Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2008,,282.326996,,0.0,,66.837997,-66.837997,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,,
09/30/2008,-71.149,-90.187,456.929,-493.618,69.262,150.311,-713.191,55.727,,,55.727,,-16825.56,-214.566,74.573,,,-289.139,,,6.175,31.447,-25.272,,,,,-16617.169,15913.33,-93.367,-1417.637,,,,13.994,17.776,-3.782,17410.34,,-983.379,,,
03/31/2009,-127.019,-418.217,175.559,91.064,9.771,8.497,72.796,24.575,,,24.575,0.0,-4.094,-22.529,25.955,25.955,0.0,-48.484,-48.484,0.0,24.823,24.823,0.0,0.0,0.0,0.0,0.0,-6.388,1466.067,0.0,1466.067,1464.727,1.34,,0.0,0.0,0.0,0.0,0.0,1334.954,,,
06/30/2009,43.066,-3673.404,208.246,3517.185,9.535,-203.488,3711.138,-8.961,,,-8.961,0.0,-27.795,-32.762,11.377,11.377,,-44.139,-44.139,,5.836,5.836,0.0,0.0,0.0,0.0,0.0,-0.869,-92.569,0.0,-579.495,8.341,0.0,-587.836,-0.122,0.0,-0.122,487.048,,-77.298,,,
09/30/2009,94.055,-89.855,190.189,-47.248,9.216,76.383,-132.847,40.969,,,40.969,0.0,-35.13,-54.652,3.524,3.524,,-58.176,-58.176,,6.423,6.423,0.0,0.0,0.0,0.0,0.0,13.099,-181.657,0.0,330.642,13.779,498.66,-181.797,-0.098,0.0,-0.098,-512.201,,-122.732,,,
12/31/2009,171.073,147.39,191.48,-132.273,11.264,-298.583,155.046,-35.524,,,-35.524,0.0,-74.73,-65.031,7.962,7.962,0.0,-72.993,-72.993,0.0,-2.638,4.545,-7.183,0.0,0.0,0.0,0.0,-7.061,412.881,0.0,473.285,19.537,2500.0,-2046.252,0.036,0.036,0.0,-60.44,,509.224,,,
03/31/2010,30.235,-175.414,181.334,-55.893,8.115,-83.842,19.834,80.208,89.37,,-9.162,0.0,-71.66,-47.184,8.14,8.14,0.0,-55.324,-55.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.476,-360.278,0.0,-360.511,8.598,,-369.109,0.0,0.0,0.0,0.233,0.0,-401.703,6.214,345.058,
06/30/2010,42.14,-86.324,184.178,28.134,8.509,-51.966,71.591,-83.848,-156.364,,72.516,0.0,-33.893,-45.118,2.967,2.967,0.0,-48.085,-48.085,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,11.025,33.775,0.0,38.311,35.165,6.844,-3.698,0.0,0.0,0.0,-4.536,,42.022,8.243,281.755,
09/30/2010,244.167,-154.685,184.079,14.967,8.343,-35.078,41.702,199.806,-7.716,,207.522,0.0,-59.786,-56.553,9.443,9.443,0.0,-65.996,-65.996,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.233,-7.86,0.0,-5.584,-23.601,138.795,-120.778,0.0,0.0,0.0,-2.276,,176.521,-128.297,342.712,
12/31/2010,265.831,-62.666,183.278,131.375,9.279,-40.294,162.39,13.844,-45.15,,58.994,0.0,-74.858,-63.972,8.087,8.087,0.0,-72.059,-72.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.886,29.119,0.0,25.126,25.913,0.0,-0.787,0.0,0.0,0.0,3.993,,220.092,113.84,266.23,
03/31/2011,-125.309,-131.832,183.711,-33.258,2.291,-60.666,25.117,-143.93,127.469,,-271.399,0.0,-32.768,-21.641,42.328,42.328,0.0,-63.969,-63.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.127,-252.045,0.0,-249.215,-127.3,1001.604,-1123.519,0.0,0.0,0.0,-2.83,0.0,-410.122,30.614,345.11,
06/30/2011,188.809,-53.179,189.641,88.611,5.738,-30.229,113.102,-36.264,-145.731,,109.467,0.0,-96.674,-70.695,5.788,5.788,0.0,-76.483,-76.483,0.0,0.0,0.0,0.0,-33.181,0.0,-33.181,0.0,7.202,-383.783,0.0,-335.101,-820.774,724.65,-238.977,0.0,0.0,0.0,-48.682,,-291.648,31.466,265.439,
09/30/2011,57.882,-74.056,197.532,-41.678,6.252,-31.991,-15.939,-23.916,34.853,,-58.769,0.0,-82.823,-73.411,4.273,4.273,0.0,-77.684,-77.684,0.0,0.0,0.0,0.0,-0.701,0.0,-0.701,0.0,-8.711,-28.834,0.0,-17.769,43.691,1.559,-63.019,0.0,0.0,0.0,-11.065,,-53.775,15.468,418.424,
12/31/2011,252.576,-43.027,192.422,10.109,6.386,-21.058,24.781,93.072,-24.426,,117.498,0.0,-155.821,-163.259,1.881,1.881,0.0,-165.14,-165.14,0.0,6.894,6.894,0.0,-12.474,0.0,-12.474,0.0,13.018,-33.454,0.0,-25.53,-0.949,3.453,-28.034,0.0,0.0,0.0,-7.924,,63.301,3.614,231.794,
03/31/2012,-7.553,-143.629,175.366,-50.002,6.897,-98.438,41.539,10.712,152.268,,-141.556,0.0,-70.645,-64.855,7.792,7.792,0.0,-72.647,-72.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.79,172.22,-244.734,451.981,-1314.559,2200.0,-433.46,0.0,0.0,0.0,-35.027,3.357,97.379,18.935,412.46,
06/30/2012,126.402,-39.025,181.839,37.843,5.815,-25.144,57.172,-54.255,-136.66,,82.405,0.0,-120.487,-98.153,3.492,3.492,0.0,-101.645,-101.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.334,-9.86,0.0,-2.315,1.407,0.0,-3.722,0.0,0.0,0.0,-7.545,-5.6,-9.545,18.829,270.148,
09/30/2012,86.652,-50.561,182.35,29.043,7.378,-34.38,56.045,-74.18,-40.411,,-33.769,0.0,-54.004,-38.558,47.631,47.631,0.0,-86.189,-86.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.446,-5.434,-3.03,-3.498,-2.258,0.0,-1.24,0.0,0.0,0.0,1.094,3.736,30.95,7.225,427.531,
