Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1120.474976,9.037,9.037,,114.856003,,,,1.553,,,,,46.118999,,,,,,171.565002,937.392029,1316.937012,-379.545013,,,11.518,,,,,11.518,948.910028,,45.816002,45.816002,,,,43.895,,,,,,70.077999,,,70.077999,159.789001,254.901993,,,,,190.975006,,,,,,190.975006,445.876999,605.666,,100.058998,,,,414.75,514.808998,,514.808998,1120.474998,
06/30/1990,1114.77002,12.17,12.17,,92.916,,,,7.136,,,,,37.134998,,,,,,149.356995,952.669983,1342.532959,-389.863007,,,12.743,,,,,12.743,965.412983,,60.305,60.305,,,,48.219002,,,,,,46.339005,,,46.339005,154.863007,254.485001,,,,,189.313004,,,,,,189.313004,443.798004,598.661011,,95.894997,,,,420.213989,516.108986,,516.108986,1114.769997,
09/30/1990,1120.147949,4.477,4.477,,75.760002,,,,17.042999,,,,,43.705002,,,,,,140.985001,964.489014,1364.213013,-399.723999,,,14.674,,,,,14.674,979.163013,,57.923,57.923,,,,77.927002,,,,,,36.392994,,,36.392994,172.242996,254.585007,,,,,188.061996,,,,,,188.061996,442.647003,614.889999,,93.714996,,,,411.542999,505.257996,,505.257996,1120.147995,
12/31/1990,1176.926025,18.249001,18.249001,,102.661003,,,,8.096,,,,,47.602001,,,,,,176.608002,978.442017,1380.097046,-401.654999,,,21.875999,,,,,21.875999,1000.318016,,75.737999,75.737999,,,,82.921997,,,,,,43.530998,,,43.530998,202.190994,254.725006,,,,,191.507996,,,,,,191.507996,446.233002,648.423996,,103.695999,,-9.326,,434.132,528.501999,,528.501999,1176.925995,
03/31/1991,1168.519043,4.984,4.984,,119.848,,,,6.472,,,,,34.923,,,,,,166.227005,983.434021,1396.134033,-412.700012,,,18.858,,,,,18.858,1002.292021,,56.919998,56.919998,,,,39.422001,,,,,,74.266994,,,74.266994,170.608994,253.494995,,,,,205.272995,,,,,,205.272995,458.76799,629.376984,,92.460999,,,,446.681,539.141998,,539.141998,1168.518982,
06/30/1991,1143.614014,7.348,7.348,,91.632004,,,,7.72,,,,,22.179001,,,,,,128.878998,991.950989,1416.151001,-424.200012,,,22.784,,,,,22.784,1014.734989,,63.865002,63.865002,,,,52.02,,,,,,43.112999,,,43.112999,158.998001,253.106003,,,,,193.925995,,,,,,193.925995,447.031998,606.029999,,106.169998,,-14.87,,446.284001,537.584,,537.584,1143.613998,
09/30/1991,1238.082031,3.55,3.55,,68.111,,,,20.688,,,,,48.985001,,,,,,141.334,1065.88501,1503.759033,-437.873993,,,30.863001,,,,,30.863001,1096.748011,,52.492001,52.492001,,,,108.419998,,,,,,37.132999,,,37.132999,198.044998,289.739014,,,,,203.617996,,,,,,203.617996,493.35701,691.402008,,106.393997,,-15.268,,455.55401,546.680008,,546.680008,1238.082016,
12/31/1991,1375.095947,8.321,8.321,,111.565002,,,,16.973,,,,,61.575001,,,,,,198.434006,1156.123047,1602.124023,-446.001007,,,20.539,,,,,20.539,1176.662047,,89.306,89.306,,,,136.919998,,,,,,45.528,,,45.528,271.753998,346.817993,,,,,195.968994,,,,,,195.968994,542.786987,814.540985,,99.858002,,-6.018,,466.714991,560.554993,,560.554993,1375.095978,
03/31/1992,1349.495972,1.462,1.462,0.0,112.183998,,,,6.582,,,,,48.622002,,,,,,168.850006,1159.698975,1617.712036,-458.013,0.0,,20.947001,,,,,20.947001,1180.645975,,59.953999,59.953999,,,,112.870003,,,,,,66.215992,,,66.215992,239.039993,346.591003,,,,,193.160995,,,,,,193.160995,539.751999,778.791992,0.0,108.380997,,-14.421,,476.743998,570.703995,0.0,570.703995,1349.495987,
06/30/1992,1345.63501,11.007,11.007,0.0,103.387001,,,,8.895,,,,,36.773998,,,,,,160.063004,1164.682007,1634.067017,-469.38501,0.0,,20.889999,,,,,20.889999,1185.572006,,72.899002,72.899002,,,,116.419998,,,,,,54.429993,,,54.429993,243.748993,338.139008,,,,,189.147003,,,,,,189.147003,527.286011,771.035004,0.0,108.726997,,-14.496,,480.368986,574.599983,0.0,574.599983,1345.634987,
