Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/30/1989,900.817017,,-732.333984,,168.483032,,-94.672997,,,,73.809998,-35.450001,,35.450001,,,,38.359997,-15.349,23.011,,,,23.010997,,23.011,,,23.011,23.011,,196.692009,0.116667,0.116667,,196.692009,0.116667,0.116667,0.116667,
03/31/1990,931.887024,,-752.887024,,179.0,,-98.731003,,,,80.268997,-36.426998,,36.426998,,,,43.841999,-17.537001,26.305,,,,26.304998,,26.305,,,26.305,26.305,,196.853989,0.133333,0.133333,,196.853989,0.133333,0.133333,0.133333,
06/30/1990,978.671997,,-780.924988,,197.747009,,-108.957001,,,,88.790001,-33.042999,,33.042999,,,,55.747002,-22.294001,33.452999,,,,33.453001,,33.452999,,,33.452999,33.452999,,197.102989,0.169667,0.17,,197.102989,0.169667,0.17,0.17,
09/29/1990,1013.89801,,-815.593018,,198.304992,,-114.43,,,,83.875,-21.755001,,23.641001,,,-1.886,62.119999,-24.874001,37.245998,,,,37.245998,,37.245998,,,37.245998,37.245998,,199.295997,0.183,0.183333,0.183333,199.295997,0.183,0.183333,0.183333,
12/29/1990,901.187988,,-717.622009,,183.565979,,-110.002998,,,,73.563004,-25.433001,,25.433001,,,,48.130003,-19.254999,28.875,,,,28.875004,,28.875,,,28.875,28.875,,206.168999,0.14,0.14,,206.168999,0.14,0.14,0.14,
03/30/1991,932.215027,,-747.919006,,184.296021,,-104.568001,,,,79.727997,-24.610001,,24.610001,,,,55.117996,-22.061001,33.056999,,,,33.056995,,33.056999,,,33.056999,33.056999,,206.358009,0.16,0.16,,206.358009,0.16,0.16,0.16,
06/29/1991,1016.945007,,-819.494995,,197.450012,,-106.273003,,,,91.177002,-23.509001,,23.509001,,,,67.668001,-27.080999,40.587002,,,,40.587002,,40.587002,,,40.587002,40.587002,,207.703491,0.193333,0.193333,,207.703491,0.193333,0.193333,0.193333,
09/28/1991,1071.706055,,-862.439026,,209.267029,,-120.535004,,,,88.732002,-17.125,,21.907,,,-4.782,71.607002,-28.628,42.979,,,,42.979002,,42.979,0.0,,42.979,42.979,,207.962997,0.206667,0.206667,0.206667,207.962997,0.206667,0.206667,0.206667,
12/28/1991,956.745972,,-777.27002,,179.475952,,-107.964996,,,,71.511002,-18.383001,,20.620001,,,-2.237,53.128001,-21.254,31.874001,,,,31.874001,,31.874001,,,31.874001,31.874001,,207.728989,0.153333,0.153333,,207.728989,0.153333,0.153333,0.153333,
03/28/1992,1040.515015,,-849.434021,,191.080994,,-111.986,,,,79.095001,-18.747,,19.643,,,-0.896,60.348002,-23.573,36.775002,,,,36.775002,,36.775002,,,36.775002,36.775002,,207.671997,0.18,0.18,,207.671997,0.18,0.18,0.18,
06/27/1992,1021.906006,,-825.799011,,196.106995,,-108.757004,,,,87.349998,-15.765001,,17.908001,,,-2.143,71.584997,-27.257999,44.327,,,,44.326998,,44.327,,,44.327,44.327,,207.657005,0.213333,0.213333,,207.657005,0.213333,0.213333,0.213333,
10/03/1992,1149.672974,,-937.840027,,211.832947,,-118.116997,,,,93.716003,-17.738,,18.716,,0.0,-0.978,75.978003,-28.42,47.557999,0.0,,,47.558003,0.0,47.557999,0.0,,47.557999,47.557999,,207.587997,0.226667,0.226667,0.226667,207.587997,0.226667,0.226667,0.226667,
