Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,7622,116,116,0.0,678,,,910,,,,,321,,,,2025,3180,4870.0,-1690.0,17,,,2400,,,,2400,5597,,625,625,,,,472,,,,,,624,,,,624,1721,2045,,,,,997,,,997,3042,4763,0.0,2654,,,0.0,,-99,2555,304,2859,7622,
06/30/1997,8257,81,81,0.0,808,,,936,,,,,322,,,,2147,3282,5029.0,-1747.0,41,,,2787,,,,2787,6110,,603,603,,,,437,,,,,,647,,,,647,1687,2663,,,,,1056,,,1056,3719,5406,0.0,2661,,,-88.0,,-35,2538,313,2851,8257,
09/30/1997,8388,40,40,0.0,795,,,954,,,,,401,,,,2190,3346,5141.0,-1795.0,43,,,2809,,,,2809,6198,,608,608,,,,370,,,,,,721,,,,721,1699,2638,,,,,1140,,,1140,3778,5477,0.0,2672,,,-84.0,,10,2598,313,2911,8388,
12/31/1997,8332,41,41,0.0,729,,,950,383.0,100.0,467.0,,395,,,,2115,3455,5284.0,-1829.0,49,,,2713,1577.0,,,1136,6217,,687,687,,,,278,,,,,,696,,,,696,1661,2633,,,,,1086,,,1086,3719,5380,0.0,2681,,,-120.0,,-33,2528,424,2952,8332,
03/31/1998,8547,29,29,0.0,799,,,997,388.0,116.0,494.0,,448,,,,2273,3472,5368.0,-1896.0,47,,,2755,1593.0,,,1162,6274,,682,682,,,,476,,,,,,692,,,,692,1850,2640,,,,,1107,,,1107,3747,5597,0.0,2692,,,-132.0,,-32,2528,422,2950,8547,
06/30/1998,8708,30,30,0.0,888,,,973,373.0,120.0,480.0,,441,,,,2332,3533,5501.0,-1968.0,47,,,2796,1607.0,,,1189,6376,,716,716,,,,591,,,,,,627,,,,627,1934,2626,,,,,1167,,,1167,3793,5727,0.0,2701,,,-199.0,,57,2559,422,2981,8708,
09/30/1998,8836,28,28,0.0,875,,,995,,,,,438,,,,2336,3590,5640.0,-2050.0,47,,,2863,,,,2863,6500,,710,710,,,,629,,,,,,625,,,,625,1964,2623,,,,,1161,,,1161,3784,5748,0.0,2706,,,-211.0,,169,2664,424,3088,8836,
12/31/1998,4759,29,29,0.0,430,,,414,114.0,79.0,221.0,0.0,191,,,,1064,1093,1944.0,-851.0,23,,,2579,499.0,487.0,12.0,2080,3695,,337,337,,,,304,,,,,,268,,,,268,909,671,,,,,268,,,268,939,1848,0.0,2712,,,-259.0,,51,2504,407,2911,4759,
03/31/1999,8321,38,38,0.0,838,838.0,,1029,350.0,141.0,538.0,0.0,312,,,,2217,3391,5718.0,-2327.0,47,,,2666,1521.0,,,1145,6104,,713,713,,,,1263,,,,,,635,,,,635,2611,2330,,,,,862,,,862,3192,5803,0.0,2715,,,-251.0,-200.0,-168,2096,422,2518,8321,
06/30/1999,7461,58,58,0.0,912,,,847,212.0,136.0,499.0,0.0,252,,,,2069,2544,3928.0,-1384.0,42,,,2806,1538.0,,,1268,5392,,608,608,,,,573,,,,,,624,,,,624,1805,2326,,,,,783,,,783,3109,4914,0.0,2720,,,-247.0,-157.0,-194,2122,425,2547,7461,
