Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/25/1990,1535.68396,4.117,4.117,0.0,159.431,,,189.455002,,,,,95.301003,,,,,448.303986,1022.361023,2003.862061,-981.500977,0.0,,,65.018997,,,,,65.018997,1087.38002,,99.473,99.473,,,,2.7,,,,,,159.656987,,,,159.656987,261.829987,0.0,,,,,209.591003,,,209.591003,209.591003,471.42099,0.0,46.417,,,-22.391001,,1040.237009,1064.263008,0.0,1064.263008,1535.683998,
06/17/1990,1617.261963,63.205002,63.205002,0.0,176.511993,,,179.647003,,,,,94.598,,,,,513.961975,1037.546021,2042.88501,-1005.338989,0.0,,,65.753998,,,,,65.753998,1103.300018,,95.530998,95.530998,,,,0.0,,,,,,186.739998,,,,186.739998,282.270996,37.0,,,,,209.654999,,,209.654999,246.654999,528.925995,0.0,49.563999,,,-21.966,,1060.737972,1088.335972,0.0,1088.335972,1617.261967,
10/07/1990,1685.707031,66.476997,66.476997,0.0,163.932007,,,201.496994,,,,,93.144997,,,,,525.051025,1094.178955,2135.167969,-1040.989014,0.0,,,66.476997,,,,,66.476997,1160.655952,,109.786003,109.786003,,,,0.0,,,,,,199.118996,,,,199.118996,308.904999,50.0,,,,,214.119003,,,214.119003,264.119003,573.024002,0.0,54.507999,,,-21.434999,,1079.610048,1112.683048,0.0,1112.683048,1685.70705,
12/30/1990,1761.66394,63.748001,63.748001,0.0,157.817993,,,204.147995,,,,,96.255997,,,,,521.969971,1171.800049,2241.27002,-1069.469971,0.0,,,67.893997,,,,,67.893997,1239.694046,,148.393005,148.393005,,,,0.0,,,,,,172.533997,,,,172.533997,320.927002,110.0,,,,,239.190002,,,239.190002,349.190002,670.117004,0.0,54.682999,,,-21.413,,1058.277014,1091.547012,0.0,1091.547012,1761.664017,
03/24/1991,1828.469971,19.864,19.864,0.0,182.998001,,,225.052994,,,,,102.420998,,,,,530.335999,1226.467041,2322.906006,-1096.438965,0.0,,,71.667,,,,,71.667,1298.134041,,137.524994,137.524994,,,,61.200001,,,,,,189.721996,,,,189.721996,388.446991,110.0,,,,,236.865997,,,236.865997,346.865997,735.312988,0.0,54.617001,,,-21.43,,1059.970039,1093.15704,0.0,1093.15704,1828.470028,
06/16/1991,1924.438965,14.621,14.621,0.0,223.748993,,,215.546997,,,,,109.221001,,,,,563.138,1289.005981,2413.593994,-1124.588013,0.0,,,72.294998,,,,,72.294998,1361.30098,,121.363998,121.363998,,,,132.800003,,,,,,219.955994,,,,219.955994,474.119995,110.0,,,,,235.934998,,,235.934998,345.934998,820.054993,0.0,55.466999,,,-21.370001,,1070.286993,1104.383991,0.0,1104.383991,1924.438984,
10/06/1991,1951.712036,12.292,12.292,0.0,195.126999,,,230.514999,,,,,117.081001,,,,,555.015015,1322.599976,2486.561035,-1163.96106,0.0,,,74.097,,,,,74.097,1396.696976,,134.158997,134.158997,,,,46.299999,,,,,,231.262012,,,,231.262012,411.721008,170.0,,,,,243.904999,,,243.904999,413.904999,825.626007,0.0,55.848999,,,-21.299,,1091.53606,1126.08606,0.0,1126.08606,1951.712067,
12/29/1991,1844.811035,14.715,14.715,,115.93,,,146.526001,,,,,176.604996,,,,,453.776001,933.692017,1868.082031,-934.390015,,,,457.342987,,,,,457.342987,1391.035004,,122.080002,122.080002,,,,46.299999,,,,,,174.953007,,,,174.953007,343.333008,220.0,,,,,182.057999,,,182.057999,402.057999,745.391006,,56.360001,,,-21.252001,,1064.312059,1099.420059,,1099.420059,1844.811066,
03/22/1992,1999.488037,15.976,15.976,0.0,127.282997,,,290.098999,,,,,112.120003,,,,,545.478027,1338.530029,2521.4729,-1182.942993,0.0,,,115.480003,,,,,115.480003,1454.010033,,124.633003,124.633003,,,,103.400002,,,,,,213.945999,,,,213.945999,441.979004,220.0,,,,,241.712997,,,241.712997,461.712997,903.692001,0.0,56.922001,,,-21.193001,,1060.067024,1095.796024,0.0,1095.796024,1999.488026,
06/12/1992,2029.551025,13.639,13.639,0.0,161.865997,,,292.040009,,,,,123.894997,,,,,591.440002,1324.979004,2541.383057,-1216.404053,0.0,,,113.132004,,,,,113.132004,1438.111008,,132.656006,132.656006,,,,102.300003,,,,,,219.354996,,,,219.354996,454.311005,220.0,,,,,244.108002,,,244.108002,464.108002,918.419006,0.0,57.485001,,,-21.113001,,1074.759974,1111.131973,0.0,1111.131973,2029.55098,
10/04/1992,1965.692017,17.862,17.862,0.0,136.533005,,,276.84201,,,,,113.549004,,,,,544.786011,1307.322021,2530.38501,-1223.062988,0.0,,,113.584,,,,,113.584,1420.906021,,111.139,111.139,,,,38.5,,,,,,232.461006,,,,232.461006,382.100006,220.0,,,,,230.464996,,,230.464996,450.464996,832.565002,0.0,58.401001,,,-20.981001,,1095.706953,1133.126953,0.0,1133.126953,1965.691956,
12/27/1992,1373.370972,39.668999,39.668999,,108.607002,,,152.332001,,,,,81.123001,,,,,381.730988,904.914978,1924.073975,-1019.158997,,,,86.724998,,,,,86.724998,991.639977,,107.426003,107.426003,,,,0.0,,,,,,162.002983,,,,162.002983,269.428986,220.0,,,,,198.496994,,,198.496994,418.496994,687.92598,,60.817001,,,-20.749001,,645.376991,685.444992,,685.444992,1373.370972,
03/21/1993,1360.394043,39.509998,39.509998,0.0,73.087997,,,176.537003,,,,,83.605003,,,,,372.73999,901.146973,1944.932983,-1043.786011,0.0,,,86.507004,,,,,86.507004,987.653976,,84.530998,84.530998,,,,0.0,,,,,,168.666008,,,,168.666008,253.197006,220.0,,,,,200.837997,,,200.837997,420.837997,674.035004,0.0,61.471001,,,-20.599001,,645.487001,686.359001,0.0,686.359001,1360.394005,
06/13/1993,1419.275024,72.345001,72.345001,0.0,110.190002,,,163.811005,,,,,85.120003,,,,,431.466003,902.70697,1968.811035,-1066.104004,0.0,,,85.101997,,,,,85.101997,987.808968,,97.377998,97.377998,,,,0.0,,,,,,213.359001,,,,213.359001,310.737,220.0,,,,,186.063004,,,186.063004,406.063004,716.800003,0.0,63.277,,,-20.302,,659.499998,702.474998,0.0,702.474998,1419.275002,
10/03/1993,1435.459961,138.529007,138.529007,0.0,90.054001,,,142.970993,,,,,83.116997,,,,,454.67099,897.150024,1994.707031,-1097.557007,0.0,,,83.639,,,,,83.639,980.789024,,92.217003,92.217003,,,,50.0,,,,,,227.500984,,,,227.500984,369.717987,175.0,,,,,179.003998,,,179.003998,354.003998,723.721985,0.0,67.164001,,,-19.746,,664.319975,711.737976,0.0,711.737976,1435.459961,
