Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2005,100.139999,,-50.896999,,49.243,,-14.906,,,34.337002,-19.799,,19.799,,0.0,14.538002,-5.554,8.984,0.0,,,8.984002,0.0,8.984,0.0,0.0,8.984,8.984,,,,,,,,,,
04/01/2006,108.276,,-51.799,,56.477,,-13.876,,,42.601,-19.382,19.382,19.382,,0.0,23.219,-8.945,14.274,0.0,,,14.274,0.0,14.274,0.0,0.0,14.274,14.274,,44.255,0.32,0.32,0.37,47.121,0.3,0.3,0.35,
07/01/2006,110.856,,-53.749,,57.107,,-12.958,,,44.149,-67.961,19.505,19.505,0.0,48.456,-23.812,10.449,-13.363,0.0,,,-13.363,0.0,-13.363,0.0,0.0,-13.363,-13.363,,44.578,-0.3,-0.3,0.37,44.578,-0.3,-0.3,0.37,
09/30/2006,115.892,,-57.429,,58.463,,-12.766,,,45.697,-18.207,,18.046,0.0,0.161,27.49,-12.268,15.222,0.0,,,15.222,0.0,15.222,0.0,0.0,15.222,15.222,,44.771,0.34,0.34,0.36,47.569,0.32,0.32,0.34,
12/30/2006,122.709,,-59.075,,63.634,,-13.763,,,49.871,-17.793,17.793,17.793,0.0,0.0,32.078,-11.743,20.335,0.0,,,20.335,0.0,20.335,0.0,0.0,20.335,20.335,1.419,44.773,0.45,0.45,0.48,47.802,0.43,0.43,0.46,
03/31/2007,144.438,,-69.367,,75.071,,-17.954,,,57.117,-22.603,22.603,22.603,0.0,0.0,34.514,-13.0,21.514,0.0,,,21.514,0.0,21.514,0.0,0.0,21.514,21.514,,44.972,0.48,0.48,0.56,48.0,0.45,0.45,0.53,
06/30/2007,157.613,,-75.36,,82.253,,-20.947,,,61.306,-25.924,25.924,25.924,0.0,0.0,35.382,-13.261,22.121,0.0,,,22.121,0.0,22.121,0.0,0.0,22.121,22.121,,45.8,0.48,0.48,0.57,48.832,0.45,0.45,0.54,
09/30/2007,168.038,,-79.964,,88.074,,-22.53,,,65.544,-25.447,25.447,25.447,0.0,0.0,40.097,-15.422,24.675,0.0,,,24.675,0.0,24.675,0.0,0.0,24.675,24.675,,46.96,0.53,0.53,0.6,49.36,0.5,0.5,0.56,
12/29/2007,163.136,,-75.044,,88.092,,-21.183,,,66.909,-24.507,24.507,24.507,0.0,0.0,42.402,-15.434,26.968,0.0,,,26.968,0.0,26.968,0.0,0.0,26.968,26.968,,47.223,0.57,0.57,0.6,49.862,0.54,0.54,0.57,
03/29/2008,175.285,,-81.366,,93.919,,-21.143,,,72.776,-24.015,24.0,24.0,0.0,0.015,48.761,-16.591,32.17,0.0,,,32.17,0.0,32.17,0.0,0.0,32.17,32.17,,47.605,0.68,0.68,0.7,50.037,0.64,0.64,0.66,
