Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,55.685001,30.136999,21.584999,8.552,12.291,,,6.458,,,,,1.954,,,,50.84,4.764,6.675,-1.911,,,0.081,,,,0.081,4.845,,4.369,4.369,,,0.524,,,,,7.081,,,7.081,11.974,0.638,,,,0.053,,,,0.053,0.691,12.665,,30.343,,,0.0,,12.677,43.02,,43.02,55.685,
06/30/1990,58.169998,32.639,19.587,13.052,11.314,,,6.869,,,,,2.112,,,,52.933998,4.946,7.2,-2.254,,,0.29,,,,0.29,5.236,,2.59,2.59,,,0.511,,,,,7.905,,,7.905,11.006,0.524,,,,0.044,,,,0.044,0.568,11.574,,30.407,,,0.0,,16.188999,46.595999,,46.595999,58.169998,
09/30/1990,63.096001,36.884999,26.754,10.131,11.72,,,6.661,,,,,2.324,,,,57.59,5.21,7.835,-2.625,,,0.296,,,,0.296,5.506,,2.878,2.878,,,0.445,,,,,8.076,,,8.076,11.399,0.454,,,,0.037,,,,0.037,0.491,11.89,,31.379999,,,0.0,,19.826,51.205999,,51.205999,63.096,
12/31/1990,68.940002,39.832998,37.808998,2.024,14.086,,,7.21,,,,,1.651,,,,62.779999,5.863,8.887,-3.024,0.0,,0.297,,,,0.297,6.16,,4.524,4.524,,,0.378,,,,,7.5,,,7.5,12.402,0.388,,,,0.029,,,,0.029,0.417,12.819,0.0,32.737999,,,0.0,,23.382999,56.120998,0.0,56.120998,68.939998,
03/31/1991,75.174004,42.179,41.132,1.047,14.774,,,7.775,,,,,1.682,,,,66.410004,8.349,11.784,-3.435,,,0.415,,,,0.415,8.764,,4.324,4.324,,,0.345,,,,,7.136,,,7.136,11.805,0.321,,,,0.019,,,,0.019,0.34,12.145,,35.465,,,0.0,,27.563999,63.028999,,63.028999,75.174,
06/30/1991,84.403999,43.592999,38.349998,5.243,17.031,,,9.418,,,,,1.733,,,,71.775002,12.227,15.942,-3.715,,,0.402,,,,0.402,12.629,,6.407,6.407,,,0.31,,,,,8.594,,,8.594,15.311,0.252,,,,0.01,,,,0.01,0.262,15.573,,37.064999,,,0.0,,31.766001,68.830999,,68.830999,84.403999,
09/30/1991,88.747002,38.91,18.660999,20.249001,24.128,,,10.503,,,,,2.043,,,,75.584,12.777,17.132,-4.355,,,0.386,,,,0.386,13.163,,3.383,3.383,,,0.272,,,,,9.733,,,9.733,13.388,0.219,,,,0.001,,,,0.001,0.22,13.608,,39.007999,,,0.0,,36.131001,75.139,,75.139,88.746999,
12/31/1991,94.653999,40.542,20.867001,19.674999,26.985001,,,10.247,,,,,1.564,,,,79.337997,14.172,19.091,-4.919,,,1.144,,,,1.144,15.316,,3.589,3.589,,,1.201,,,,,7.982,,,7.982,12.772,0.985,,,,,,,,,0.985,13.757,,40.550999,,,0.0,,40.346001,80.897,,80.897,94.654,
03/31/1992,103.654999,45.167001,12.308,32.859001,28.143999,,,12.646,,,,,2.065,,,,88.022003,13.873,19.591999,-5.719,,,1.76,,,,1.76,15.633,,3.387,3.387,,,4.11,,,,,7.985,,,7.985,15.482,1.015,,,,,,,,,1.015,16.497,,42.723,,,0.0,,44.435001,87.158001,,87.158001,103.655001,
06/30/1992,96.985001,39.728002,6.613,33.115002,24.681,,,13.806,,,,,1.814,,,,80.028999,15.175,21.575001,-6.4,,,1.781,,,,1.781,16.956,,3.793,3.793,,,2.127,,,,,6.192,,,6.192,12.112,1.012,,,,,,,,,1.012,13.124,,41.915001,,,0.0,,41.945999,83.861,,83.861,96.985,
