Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/31/1989,220.796997,31.719,5.758,25.961,27.24,,,20.811001,,,,,29.143,,,,,,,108.913002,86.961998,117.373001,-30.410999,,,24.922001,,,,24.922001,111.883999,,11.46,11.46,,,,4.965,,,,,,24.288001,,,,24.288001,40.713001,35.139999,,,,,5.011,,,,,5.011,40.151,80.864001,0.0,36.841,,,0.0,,103.092003,139.933002,0.0,139.933002,220.797003,
11/30/1989,234.621994,34.684,3.701,30.983,30.247999,,,20.801001,,,,,30.631001,,,,,,,116.363998,91.646004,124.106003,-32.459999,,,26.612,,,,26.612,118.258003,,10.551,10.551,,,,4.969,,,,,,23.685002,,,,23.685002,39.205002,43.799999,,,,,5.281,,,,,5.281,49.080999,88.286001,0.0,36.912998,,,0.0,,109.422997,146.335995,0.0,146.335995,234.621996,
02/28/1990,245.117996,31.279,4.637,26.642,29.305,,,22.222,,,,,31.316999,,,,,,,114.123001,102.5,134.720001,-32.220001,,,28.495001,,,,28.495001,130.995001,,9.167,9.167,,,,5.33,,,,,,25.637999,,,,25.637999,40.134998,46.887001,,,,,5.526,,,,,5.526,52.413001,92.547999,0.0,36.928001,,,0.0,,115.641998,152.57,0.0,152.57,245.117999,
05/31/1990,254.162003,30.374,6.437,23.937,31.841,,,19.847,,,,,33.323002,,,,,,,115.385002,111.316002,144.983994,-33.667999,0.046,,27.415001,,,,27.415001,138.777003,,10.469,10.469,,,,6.54,,,,,,29.788001,,,,29.788001,46.797001,43.568001,,,,,6.356,,,,,6.356,49.924001,96.721002,0.0,36.932999,,,0.0,,120.508003,157.441002,0.0,157.441002,254.162004,
08/31/1990,265.039001,30.847999,4.982,25.865999,30.66,,,19.846001,,,,,33.820999,,,,,,,115.175003,121.306,157.151993,-35.846001,,,28.558001,,,,28.558001,149.864,,14.136,14.136,,,,5.538,,,,,,26.291,,,,26.291,45.965,47.839001,,,,,6.593,,,,,6.593,54.432001,100.397001,0.0,37.02,,,0.0,,127.622002,164.642002,0.0,164.642002,265.039003,
11/30/1990,288.277008,24.027,3.222,20.805,33.716,,,20.475,,,,,37.194,,,,,,,115.412003,133.022003,171.735001,-38.713001,,,39.842999,,,,39.842999,172.865002,,13.125,13.125,,,,9.983,,,,,,26.768999,,,,26.768999,49.876999,59.293999,,,,,6.727,,,,,6.727,66.020999,115.897998,0.0,37.082001,,,0.0,,135.296997,172.378998,0.0,172.378998,288.276996,
02/28/1991,297.242004,20.387,6.403,13.984,33.741001,,,22.228001,,,,,36.699001,,,,,,,113.055,145.992004,187.983002,-41.991001,,,38.195,,,,38.195,184.187004,,11.589,11.589,,,,8.163,,,,,,31.325999,,,,31.325999,51.077999,59.441002,,,,,7.157,,,,,7.157,66.598002,117.676001,0.0,37.320999,,,0.0,,142.244995,179.565994,0.0,179.565994,297.241995,
05/31/1991,326.752014,19.174,7.113,12.061,37.855,,,23.815001,,,,,44.854,,,,,,,125.697998,162.522995,220.307007,-57.784,2.215,,36.316002,,,,36.316002,201.053997,,11.982,11.982,,,,10.942,,,,,,35.727001,,,,35.727001,58.651001,68.973999,,,,,8.003,,,,,8.003,76.976999,135.628,0.0,37.441002,,,0.0,,153.682999,191.124001,0.0,191.124001,326.752001,
08/31/1991,312.437988,17.123,7.96,9.163,35.444,,,26.483999,,,,,42.354,,,,,,,121.404999,156.776001,203.712997,-46.937,,,34.257,,,,34.257,191.033001,,14.221,14.221,,,,7.5,,,,,,30.183999,,,,30.183999,51.904999,58.519001,,,,,7.096,,,,,7.096,65.615001,117.52,0.0,37.583,,,0.0,,157.335007,194.918007,0.0,194.918007,312.438007,
11/30/1991,339.510986,19.738999,12.697,7.042,43.348,,,24.455999,,,,,49.306999,,,,,,,136.850006,168.738007,231.901001,-63.162998,,,33.923,,,,33.923,202.661007,,15.724,15.724,,,,13.83,,,,,,33.035001,,,,33.035001,62.589001,58.811001,,,,,7.402,,,,,7.402,66.213001,128.802001,0.0,37.778,,,0.0,,172.931,210.709,0.0,210.709,339.511001,
02/29/1992,349.440002,24.944999,4.176,20.768999,39.035999,,,27.040001,,,,,49.289001,,,,,,,140.309998,170.026001,236.102997,-66.077003,,,37.104,,,,37.104,207.130001,,13.446,13.446,,,,3.843,,,,,,31.149,,,,31.149,48.438,68.398003,,,,,12.1,,,,,12.1,80.498003,128.936003,0.0,38.529999,,,0.0,,181.973999,220.503998,0.0,220.503998,349.440001,
05/31/1992,361.260986,22.912,8.757,14.155,40.721001,,,25.165001,,,,,49.931,,,,,,,138.729004,172.955002,240.462006,-67.507004,1.199,,48.377998,,,,48.377998,222.532,,13.959,13.959,,,,6.926,,,,,,31.025,,,,31.025,51.91,67.790001,,,,,15.697,,,,,15.697,83.487001,135.397001,0.0,38.424999,,,0.0,,187.438995,225.863994,0.0,225.863994,361.260995,
08/31/1992,401.903015,52.536001,8.622,43.914001,45.608002,,,21.576,,,,,53.358002,,,,,,,173.078003,176.294006,253.878006,-77.584,,,52.530998,,,,52.530998,228.825005,,19.979,19.979,,,,8.448,,,,,,32.148001,,,,32.148001,60.575001,77.940002,,,,,17.065001,,,,,17.065001,95.005003,155.580004,0.0,38.790001,,,0.0,,207.533005,246.323006,0.0,246.323006,401.903009,
11/30/1992,385.151001,46.014999,21.549,24.466,40.075001,,,23.702999,,,,,50.279999,,,,,,,160.072998,172.867996,244.880005,-72.012001,,,52.209999,,,,52.209999,225.077995,,17.48,17.48,,,,7.362,,,,,,29.341999,,,,29.341999,54.183998,79.863998,,,,,15.685,,,,,15.685,95.548999,149.732997,0.0,38.764,,,0.0,,196.654007,235.418007,0.0,235.418007,385.151004,
02/28/1993,439.044006,52.658998,8.782,43.876999,45.778999,,,23.153,,,,,55.223,,,,,,,176.813995,178.358994,259.302002,-80.943001,,,83.871002,,,,83.871002,262.229996,,17.792999,17.792999,,,,8.416,,,,,,37.782001,,,,37.782001,63.991001,98.364998,,,,,17.906,,,,,17.906,116.270998,180.261999,0.0,39.765999,,,0.0,,219.016006,258.782005,0.0,258.782005,439.044004,
05/31/1993,454.165009,54.969,14.192,40.777,48.075001,,,21.452,,,,,62.637001,,,,,,,187.132996,180.847,263.053009,-82.206001,,,86.184998,,,,86.184998,267.031998,,20.636999,20.636999,,,,4.462,,,,,,40.077004,,,,40.077004,65.176003,103.611,,,,,20.464001,,,,,20.464001,124.075001,189.251004,0.0,39.868999,,,0.0,,225.044998,264.913997,0.0,264.913997,454.165001,
08/31/1993,462.510986,55.422001,6.014,49.408001,51.000999,,,24.556999,,,,,65.629997,,,,,,,196.610001,182.440002,268.36499,-85.925003,,,83.460999,,,,83.460999,265.901001,,24.216999,24.216999,,,,10.611,,,,,,41.243999,,,,41.243999,76.071999,96.755997,,,,,14.091,,,,,14.091,110.846996,186.918995,0.0,40.240002,,,0.0,,235.352005,275.592007,0.0,275.592007,462.511002,
11/30/1993,482.446014,60.467,9.266,51.201,56.293999,,,25.940001,,,,,70.435997,,,,,,,213.136993,184.537994,274.742004,-90.204002,,,84.771004,,,,84.771004,269.308998,,26.586,26.586,,,,9.643,,,,,,47.159,,,,47.159,83.388,95.956001,,,,,13.747,,,,,13.747,109.703001,193.091002,0.0,40.458,,,0.0,,248.897003,289.355003,0.0,289.355003,482.446005,
02/28/1994,489.596985,63.841999,6.583,57.258999,50.935001,,,27.74,,,,,70.224998,,,,,,,212.742004,190.384003,283.878998,-93.495003,,,86.471001,,,,86.471001,276.855003,,17.402,17.402,,,,10.162,,,,,,54.562999,,,,54.562999,82.126999,90.185997,,,,,14.653,,,,,14.653,104.838997,186.965996,0.0,40.763,,,0.0,,261.868011,302.631012,0.0,302.631012,489.597008,
05/31/1994,501.631989,60.782,8.449,52.333,56.347,,,29.059,,,,,75.264999,,,,,,,221.453003,192.503006,288.402008,-95.899002,,,87.676003,,,,87.676003,280.179009,,18.795,18.795,,,,15.742,,,,,,56.947001,,,,56.947001,91.484001,84.183998,,,,,16.312,,,,,16.312,100.495998,191.979999,0.0,40.938999,,,0.0,,268.713013,309.652012,0.0,309.652012,501.632011,
08/31/1994,508.86499,57.057998,8.798,48.259998,58.033001,,,33.937,,,,,76.681999,,,,,,,225.710007,197.811996,297.276001,-99.463997,,,85.343002,,,,85.343002,283.154998,,20.621,20.621,,,,9.171,,,,,,59.108002,,,,59.108002,88.900002,83.532997,,,,,17.399,,,,,17.399,100.931997,189.831999,0.0,41.213001,,,0.0,,277.820007,319.033008,0.0,319.033008,508.865007,
11/30/1994,527.096008,44.830999,9.26,35.570999,65.734001,,,35.841,,,,,80.661003,,,,,,,227.067001,205.449005,309.423004,-103.973999,,,94.580002,,,,94.580002,300.029007,,18.448,18.448,,,,9.079,,,,,,60.731003,,,,60.731003,88.258003,82.188004,,,,,16.875,,,,,16.875,99.063004,187.321007,0.0,41.462002,,,0.0,,298.312988,339.77499,0.0,339.77499,527.095997,
02/28/1995,583.786987,50.427001,13.138,37.289001,65.643997,,,36.862999,,,,,84.198997,,,,,,,237.132996,218.626999,324.729004,-106.101997,,,128.026993,,,,128.026993,346.653992,,19.058001,19.058001,,,,8.534,,,,,,63.566996,,,,63.566996,91.158997,121.736,,,,,15.642,,,,,15.642,137.378,228.536997,0.0,41.655998,,,0.0,,313.593994,355.249992,0.0,355.249992,583.786989,
