Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2006,31304.0725,1122.523,915.406,207.117,3179.6295,3179.6295,,1219.689,,,,,300.4475,,,,,,5822.289,7632.645,18456.426,-10823.781,76.71,,,17772.4285,15795.8675,14872.7905,923.077,1159.5995,,5.114,811.8475,25481.7835,,,,,,,1669.721,1667.164,2.557,2.557,,5332.6235,,,5332.6235,7002.3445,6310.676,6300.448,10.228,10.228,2418.922,,,442.361,1976.561,8729.598,15731.9425,,10013.212,,,-141.9135,3793.3095,1231.1955,14895.8035,676.3265,15572.13,31304.0725,
12/31/2006,34615.8494,1119.7461,825.6314,294.1147,2421.5004,2404.3547,17.1457,1341.3213,774.1943,135.8467,242.6776,188.6027,1400.6718,,,,,,6283.2396,8310.3889,18841.8054,-10531.4165,52.756,,,19969.4649,17897.473,16229.0645,1668.4085,1130.2973,,17.1457,924.5489,28332.6098,,,,,,,1706.6566,1704.0188,2.6378,2.6378,,6047.1565,,,6047.1565,7753.8131,6787.0594,6777.8271,9.2323,9.2323,2741.9931,,,840.1393,1901.8538,9529.0525,17282.8656,,10399.5265,,,-51.4371,4829.8118,994.4506,16172.3518,1160.632,17332.9838,34615.8494,
06/30/2007,38028.242,1233.3118,984.2126,249.0992,3335.7632,3335.7632,,1490.5338,,,,,395.3096,,,,,,6454.9184,8948.618,20423.4268,-11474.8088,184.1168,,,22440.5888,20336.7836,18590.3816,1746.402,1249.5574,,17.5994,836.6484,31573.3236,,,,,,,1754.5248,,,,,6295.17,,,6295.17,8049.6948,8074.0632,,,,3051.4652,,,898.9232,2152.542,11125.5284,19175.2232,,10708.558,,,-346.5728,5421.969,1611.022,17394.9762,1458.0426,18853.0188,38028.242,
12/31/2007,41851.7517,2191.8249,1930.7892,261.0357,2473.2768,2449.944,23.3328,1631.8377,968.3112,157.4964,306.243,199.7871,1780.5843,,,,,,8077.5237,9667.0707,21625.1307,-11958.06,237.7029,,,23869.4544,21996.9972,20174.1222,1822.875,966.8529,,45.2073,860.397,33774.228,,3179.094,3179.094,,,,2213.6994,2209.3245,4.3749,4.3749,,4355.9421,,,4355.9421,9748.7355,7561.2855,7543.7859,17.4996,17.4996,2798.4777,,,682.4844,2115.9933,10359.7632,20108.4987,,11555.5692,,,-759.7743,7887.9447,1185.5979,19869.3375,1873.9155,21743.253,41851.7517,
06/30/2008,29094.0,1263.0,1040.0,223.0,2642.0,2642.0,,1290.0,,,,,282.0,,,,,282.0,5477.0,6694.0,15157.0,-8463.0,154.0,154.0,,16769.0,15386.0,14172.0,1214.0,739.0,,34.0,610.0,23617.0,,4873.0,,399.0,,4474.0,2433.0,304.0,,,2129.0,162.0,,,162.0,7468.0,6436.0,6436.0,,,1814.0,,562.0,447.0,805.0,8250.0,15718.0,0.0,7948.0,475.0,7473.0,,4751.0,-633.0,12066.0,1310.0,13376.0,29094.0,
12/31/2008,113748.0,3206.0,2936.0,270.0,2789.0,2768.0,21.0,2868.0,1674.0,335.0,664.0,195.0,1968.0,,,,,,10831.0,19671.0,30892.0,-11221.0,239.0,,,83007.0,73881.0,50244.0,23637.0,932.0,,6871.0,1323.0,102917.0,,4833.0,4833.0,,,,12066.0,12062.0,4.0,4.0,,6268.0,,,6268.0,23167.0,48039.0,47976.0,63.0,63.0,18111.0,,,12569.0,5542.0,66150.0,89317.0,0.0,19207.0,,,-997.0,6482.0,-2250.0,22442.0,1989.0,24431.0,113748.0,
12/31/2009,112525.0,3744.0,3689.0,55.0,2478.0,2432.0,46.0,2354.0,1495.0,256.0,434.0,169.0,2277.0,513.0,680.0,66.0,852.0,140.0,10853.0,16461.0,29290.0,-12829.0,277.0,151.0,126.0,84934.0,75290.0,52125.0,23165.0,1086.0,10.0,6744.0,1124.0,101672.0,,9870.0,5657.0,1876.0,954.0,1383.0,2043.0,28.0,6.0,6.0,2009.0,2341.0,0.0,1374.0,308.0,14254.0,47049.0,47005.0,44.0,44.0,18051.0,0.0,2611.0,12495.0,1571.0,65100.0,79354.0,0.0,19247.0,1732.0,17515.0,-659.0,10448.0,1282.0,30318.0,2853.0,33171.0,112525.0,
06/30/2010,111495.0,4698.0,4687.0,11.0,,,,2350.0,,,,,4681.0,,,77.0,244.0,4360.0,11729.0,15481.0,28170.0,-12689.0,299.0,299.0,,83986.0,74579.0,51310.0,23269.0,857.0,10.0,6786.0,1754.0,99766.0,,11678.0,,567.0,,11111.0,2772.0,23.0,6.0,6.0,2743.0,284.0,,,284.0,14734.0,44244.0,44132.0,112.0,112.0,17485.0,,2508.0,11843.0,3134.0,61729.0,76463.0,0.0,19257.0,1732.0,17525.0,-599.0,11246.0,1881.0,31785.0,3247.0,35032.0,111495.0,
12/31/2010,114342.0,5152.0,4511.0,641.0,2702.0,2604.0,98.0,2409.0,1519.0,217.0,497.0,176.0,2334.0,486.0,585.0,32.0,669.0,88.0,12597.0,15893.0,30296.0,-14403.0,243.0,242.0,1.0,85609.0,75857.0,52498.0,23359.0,943.0,13.0,7295.0,916.0,101745.0,,10760.0,6704.0,1801.0,990.0,1265.0,2933.0,14.0,40.0,40.0,2879.0,2027.0,0.0,1216.0,238.0,15720.0,41961.0,41886.0,75.0,75.0,17862.0,0.0,2746.0,11909.0,1991.0,59823.0,75543.0,0.0,19268.0,1733.0,17535.0,-588.0,13656.0,2923.0,35259.0,3540.0,38799.0,114342.0,
06/30/2011,117051.0,4827.0,4465.0,362.0,,,,2724.0,,,,,5667.0,,,2.0,258.0,5407.0,13218.0,16615.0,32759.0,-16144.0,248.0,248.0,,86970.0,77412.0,53778.0,23634.0,852.0,16.0,7553.0,1137.0,103833.0,,13551.0,,614.0,,12937.0,3680.0,1905.0,5.0,5.0,1770.0,308.0,,,308.0,17539.0,41786.0,41662.0,124.0,124.0,17074.0,,2599.0,11732.0,2743.0,58860.0,76399.0,0.0,19279.0,1733.0,17546.0,-562.0,14380.0,3657.0,36754.0,3898.0,40652.0,117051.0,
