Date,Returns,Margins,Gross Margin,EBITDA Margin,Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Source: Bloomberg
03/31/2019,,,78.190325,-0.109479,-5.330932,-6.685225,-2.132341,-2.221858,-2.221858,,
03/31/2020,,,73.787354,-36.701972,-45.655174,-54.376546,-48.320334,-47.973613,-47.973613,,
06/30/2020,,,75.406306,-8.826465,-14.733583,-17.917124,-12.950034,-13.232676,-13.232676,,
