Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2007,27742.0,2427.0,1698.0,729.0,347.0,347.0,,0.0,,,,,3039.0,,,,,5813.0,912.0,1424.0,-512.0,380.0,380,20637.0,19938.0,9055.0,10883.0,,699.0,21929.0,,76.0,76.0,,,,75.0,,,,,,5028.0,,,,5028.0,5179.0,40.0,,,,,5807.0,,,5807.0,5847.0,11026.0,0.0,16785.0,,,0.0,-69.0,0.0,16716.0,0.0,16716.0,27742.0,
03/31/2008,33869.0,5639.0,5041.0,598.0,321.0,321.0,,0.0,,,,,4126.0,,,,,10086.0,1018.0,1619.0,-601.0,194.0,194,22571.0,21099.0,10216.0,10883.0,,1472.0,23783.0,,111.0,111.0,,,,72.0,,,,,,5658.0,,,,5658.0,5841.0,40.0,,,,,5673.0,,,5673.0,5713.0,11554.0,0.0,22097.0,,,0.0,223.0,-5.0,22315.0,0.0,22315.0,33869.0,
06/30/2008,34442.0,6239.0,5762.0,477.0,342.0,342.0,,0.0,,,,,4180.0,,,,,10761.0,1048.0,1704.0,-656.0,188.0,188,22445.0,21022.0,10139.0,10883.0,,1423.0,23681.0,,109.0,109.0,,,,11.0,,,,,,5945.0,,,,5945.0,6065.0,98.0,,,,,5603.0,,,5603.0,5701.0,11766.0,0.0,22134.0,,,0.0,551.0,-9.0,22676.0,,22676.0,34442.0,
09/30/2008,,,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,31822.0,2802.0,2613.0,189.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,4909.0,,,4.0,4105.0,8089.0,1117.0,,,205.0,205,22411.0,21096.0,10213.0,10883.0,,1315.0,23733.0,,3013.0,93.0,,,2920.0,51.0,0.0,,,,51.0,1548.0,,,3843.0,1548.0,4612.0,53.0,53.0,,,,5512.0,1009.0,,660.0,5565.0,10177.0,0.0,21059.0,,,-2.0,677.0,-94.0,21640.0,5.0,21645.0,31822.0,
03/31/2009,31964.0,3489.0,3363.0,126.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,4364.0,,,102.0,3612.0,8225.0,1155.0,,,200.0,200,22384.0,21096.0,10213.0,10883.0,,1288.0,23739.0,,2465.0,72.0,,,2393.0,52.0,0.0,,,,52.0,1726.0,,,3859.0,1726.0,4243.0,50.0,50.0,,,,5547.0,957.0,,731.0,5597.0,9840.0,0.0,21077.0,,,-2.0,1133.0,-88.0,22120.0,4.0,22124.0,31964.0,
06/30/2009,32624.0,4330.0,4200.0,130.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,4813.0,,,,4329.0,9562.0,1170.0,,,181.0,181,21711.0,21096.0,10213.0,10883.0,13.0,602.0,23062.0,,2337.0,106.0,,,2231.0,52.0,0.0,,,,52.0,2046.0,,,3653.0,2046.0,4435.0,46.0,46.0,,,,5344.0,905.0,,786.0,5390.0,9825.0,0.0,21115.0,,,-2.0,1783.0,-102.0,22794.0,5.0,22799.0,32624.0,
09/30/2009,32281.0,4732.0,4617.0,115.0,444.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,4065.0,0.0,,135.0,3209.0,9241.0,1204.0,2029.0,-825.0,168.0,168,21668.0,21091.0,10208.0,10883.0,23.0,554.0,23040.0,,2606.0,156.0,23.0,0.0,2427.0,12.0,0.0,,,,12.0,1824.0,0.0,0.0,3807.0,1730.0,4442.0,44.0,44.0,,,,4602.0,323.0,70.0,402.0,4646.0,9088.0,0.0,21160.0,,,-2.0,2219.0,-188.0,23189.0,4.0,23193.0,32281.0,
12/31/2009,31715.0,4253.0,4160.0,93.0,536.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,3964.0,,,,3369.0,8753.0,1203.0,,,159.0,159,21600.0,21091.0,10208.0,10883.0,,509.0,22962.0,,1867.0,87.0,,,1780.0,12.0,0.0,,,,12.0,1758.0,,,3806.0,1758.0,3637.0,41.0,41.0,,,,4560.0,260.0,,494.0,4601.0,8238.0,0.0,20957.0,,,-1.0,2691.0,-175.0,23472.0,5.0,23477.0,31715.0,
03/31/2010,32068.0,4645.0,4560.0,85.0,502.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,3968.0,,,,3498.0,9115.0,1183.0,,,154.0,154,21616.0,21091.0,10208.0,10883.0,,525.0,22953.0,,1722.0,78.0,,,1644.0,12.0,0.0,,,,12.0,1803.0,,,3808.0,1803.0,3537.0,38.0,38.0,,,,4506.0,196.0,,502.0,4544.0,8081.0,0.0,20883.0,,,,3199.0,-99.0,23983.0,4.0,23987.0,32068.0,
