Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2005,5583.849,10.831,10.831,0.0,146.336,146.336,,0.0,0.0,0.0,0.0,0.0,21.463,,,,178.63,270.072,,,0.0,,,5135.147,2139.539,2135.314,4.225,2979.955,15.653,5405.219,,34.646,34.646,,,,0,,,,,,60.157,,,60.157,94.803,0,,,,,1120.859,,,,,,1120.859,1120.859,1215.662,,5513.533,,,0,-1150.245,4.899,4368.187,0.0,4368.187,5583.849,
09/30/2005,5824.684,227.503,227.503,0.0,148.51,148.51,,0.0,0.0,0.0,0.0,0.0,18.621,,,,394.634,273.718,,,,,,5156.332,2138.071,2134.054,4.017,3011.716,6.545,5430.05,,37.223,37.223,,,,0,,,,,,67.235,,,67.235,104.458,0,,,,,1153.164,,,,,,1153.164,1153.164,1257.622,0.0,5714.332,,,0,-1149.056,1.786,4567.062,0.0,4567.062,5824.684,
12/31/2005,5819.236,250.352,250.352,0.0,134.615,134.615,,0.0,0.0,0.0,0.0,0.0,15.419,,,,400.386,256.245,450.349,-194.104,0.0,,0.0,5162.605,2133.518,2133.518,0.0,3018.622,10.465,5418.85,,26.854,26.854,,,,0,0.0,0.0,0.0,,,66.919,,,66.919,93.773,0,0.0,0.0,0.0,,1150.038,,,,,,1150.038,1150.038,1243.811,0.0,5715.106,,,0,-1137.821,-1.86,4575.425,0.0,4575.425,5819.236,
03/31/2006,5849.381,150.821,150.821,0.0,142.583,142.583,,0.0,0.0,0.0,0.0,0.0,19.189,,,,312.593,259.104,,,49.175,,49.175,5228.509,2165.961,2165.961,0.0,3042.322,20.226,5536.788,,31.897,31.897,,,,0,,,,,,64.138,,,64.138,96.035,0,,,,,1162.336,,,,,,1162.336,1162.336,1258.371,0.0,5715.652,,,0,-1126.206,1.564,4591.01,0.0,4591.01,5849.381,
06/30/2006,5884.935,152.793,152.793,0.0,137.75,137.75,,0.0,0.0,0.0,0.0,0.0,15.935,,,,306.478,264.706,,,50.661,,50.661,5263.09,2166.709,2166.709,0.0,3076.72,19.661,5578.457,,30.66,30.66,,,,0,,,,,,67.689,,,67.689,98.349,0,,,,,1175.062,,,,,,1175.062,1175.062,1273.411,0.0,5716.084,,,0,-1112.472,7.912,4611.524,0.0,4611.524,5884.935,
09/30/2006,5854.942,151.848,151.848,0.0,159.654,159.654,,0.0,0.0,0.0,0.0,0.0,19.35,,,,330.852,270.838,,,51.052,,51.052,5202.2,2074.132,2074.132,0.0,3109.736,18.332,5524.09,,39.733,39.733,,,,0,,,,,,85.779,,,85.779,125.512,0,,,,,1189.296,,,,,,1189.296,1189.296,1314.808,0.0,5716.294,,,0,-1189.105,12.945,4540.134,0.0,4540.134,5854.942,
12/31/2006,5870.982,154.775,154.775,0.0,147.436,147.436,,0.0,0.0,0.0,0.0,0.0,15.151,,,,317.362,280.775,451.754,-170.979,51.837,,51.837,5221.008,2074.789,2074.789,0.0,3129.157,17.062,5553.62,,43.656,43.656,,,,0,0.0,0.0,0.0,,,78.231,,,78.231,121.887,0,0.0,0.0,0.0,,1199.831,,,,,,1199.831,1199.831,1321.718,0.0,5717.181,,,0,-1183.831,15.914,4549.264,0.0,4549.264,5870.982,
03/31/2007,5895.234,150.477,150.477,0.0,148.634,148.634,,0.0,0.0,0.0,0.0,0.0,16.348,,,,315.459,285.172,,,52.505,,52.505,5242.098,2074.882,2074.882,0.0,3150.457,16.759,5579.775,,35.232,35.232,,,,0,,,,,,74.689,,,74.689,109.921,0,,,,,1214.866,,,,,,1214.866,1214.866,1324.787,0.0,5717.35,,,0,-1164.627,17.724,4570.447,0.0,4570.447,5895.234,
06/30/2007,6041.544,174.663,174.663,0.0,140.505,140.505,,0.0,0.0,0.0,0.0,0.0,16.99,,,,332.158,282.294,,,53.508,,53.508,5373.584,2075.288,2075.288,0.0,3282.062,16.234,5709.386,,30.97,30.97,,,,0,,,,,,88.941,,,88.941,119.911,0,,,,,1267.605,,,,,,1267.605,1267.605,1387.516,0.0,5721.665,,,0,-1090.41,22.773,4654.028,0.0,4654.028,6041.544,
09/30/2007,6053.136,157.461,157.461,0.0,152.413,152.413,,0.0,0.0,0.0,0.0,0.0,26.501,,,,336.375,278.503,,,51.878,,51.878,5386.38,2075.671,2075.671,0.0,3294.999,15.71,5716.761,,32.984,32.984,,,,0,,,,,,80.245,,,80.245,113.229,0,,,,,1269.898,,,,,,1269.898,1269.898,1383.127,0.0,5729.827,,,0,-1082.903,23.085,4670.009,0.0,4670.009,6053.136,
