Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2005,93536,1334,,,0.0,,2594,,,,,,,3256.0,,3256.0,,,,,,,,,89608,,0,13083.0,,,,,,895,,,,,,,,73076,87054,0.0,2915,,,,3598,-31,6482,0.0,6482,93536,
06/30/2005,95952,2510,,,0.0,,2523,,,,,,,3161.0,,3161.0,,,,,,,,,90919,,0,13260.0,,,,,,888,,,,,,,,74811,88959,0.0,2926,,,,3753,314,6993,0.0,6993,95952,
09/30/2005,92274,2620,,,0.0,,2837,,,,,,,3178.0,,3178.0,,,,,,,,,86817,,0,1351.0,,,,,,360,,,,,,,,82826,84537,0.0,4096,,,0.0,3661,-20,7737,0.0,7737,92274,
12/31/2005,93121,2474,,,0.0,,2172,,,,,,,3190.0,-44.0,3146.0,,,815.0,577.0,,,,,87660,,0,,,,,,,1833,,,,,,,,83601,85434,0.0,4093,,,0.0,3745,-151,7687,0.0,7687,93121,
03/31/2006,95821,1650,,,0.0,,2382,,,,,,,622.0,,622.0,,,,,,,,,91789,,0,,,,,,,1921,,,,,,,,86559,88480,0.0,4211,,,-290.0,3862,-442,7341,0.0,7341,95821,
06/30/2006,96049,2101,,,0.0,,2441,,,,,,,3722.0,,3722.0,,,,,,,,,91507,,0,0.0,,,,,,2419,,,,,,,,86395,88814,0.0,4257,,,-332.0,3976,-666,7235,0.0,7235,96049,
09/30/2006,99504,3309,,,0.0,,2504,,,,,,,3716.0,,3716.0,,,,,,,,,93691,,6391,0.0,,,,,,2254,,,,,,,,83106,91751,0.0,4294,,,-438.0,4123,-226,7753,0.0,7753,99504,
12/31/2006,104481,2760,,,0.0,,3161,,,,,,,3096.0,-40.0,3056.0,,,871.0,638.0,,,,,97689,,6707,0.0,,,,,,2244,,,,,,,,87605,96556,0.0,4356,,,-490.0,4268,-209,7925,0.0,7925,104481,
03/31/2007,105160,2413,,,0.0,,3022,,,,,,,3646.0,,3646.0,,,0.0,,,,,,99725,,6483,0.0,,,,,,2225,,,,,,,,88721,97429,0.0,4471,,,-865.0,4268,-143,7731,0.0,7731,105160,
06/30/2007,108132,3303,,,0.0,,3207,,,,,,,3633.0,,3633.0,,,0.0,,,,,,101622,,6055,0.0,,,,,,2197,,,,,,,,92280,100532,0.0,4536,,,-1009.0,4428,-355,7600,0.0,7600,108132,
09/30/2007,109854,3972,,,0.0,,3079,,,,,,,7380.0,,3690.0,,,0.0,,,,,,102803,,6029,0.0,,,,,,2197,,,,,,,,93870,102096,0.0,4596,,,-1180.0,4591,-249,7758,0.0,7758,109854,
12/31/2007,109230,3836,,,0.0,,3441,,,,,,,3115.0,-18.0,3097.0,,,863.0,643.0,,,,,101090,,6201,0.0,,,,,,2018,,,,,,,,93201,101420,0.0,4633,,,-1467.0,4811,-167,7810,0.0,7810,109230,
03/31/2008,104902,3904,,,0.0,,3441,,,,,,,,,,,,,,,,,,97557,,6307,0.0,,,,,,2018,,,,,,,,88996,97321,0.0,4640,,,-1710.0,4938,-287,7581,0.0,7581,104902,
06/30/2008,104267,3373,,,,,3614,,,,,,,,,,,,,,,,,,97280,,6382,,,,,,,2018,,,,,,,,88553,96953,,4652,,,-1927.0,5111,-522,7314,,7314,104267,
09/30/2008,99150,4043,,,,,3921,,,,,,,,,,,,,,,,,,91186,,7727,,,,,,,2080,,,,,,,,82626,92433,,4707,,,-2021.0,5004,-973,6717,,6717,99150,
