Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,688.107971,20.977,12.456,8.521,109.563004,,,322.802002,,,,,52.111,,,,,,,505.453003,105.853996,126.802002,-20.948,0.0,76.801003,,,,76.801003,182.654999,,75.732002,75.732002,,,,6.312,,,,,,157.595006,,,157.595006,239.639008,272.316986,,,,,86.872002,,,86.872002,359.188988,598.827995,0.0,37.018002,,,0.0,,52.262001,89.280003,0.0,89.280003,688.107998,
06/30/1990,689.968018,20.076,12.038,8.038,119.903,,,312.626007,,,,,52.712002,,,,,,,505.316986,109.046997,131.957993,-22.910999,0.0,75.603996,,,,75.603996,184.650993,,69.170998,69.170998,,,,8.082,,,,,,155.844003,,,155.844003,233.097,274.552002,,,,,82.865997,,,82.865997,357.417999,590.514999,0.0,37.042,,,0.0,,62.410999,99.452999,0.0,99.452999,689.967999,
09/30/1990,725.450989,4.603,3.571,1.032,114.570999,,,301.287994,,,,,68.961998,,,,,,,489.424011,139.865997,160.421005,-20.555,0.0,96.161003,,,,96.161003,236.027,,66.110001,66.110001,,,,23.506001,,,,,,121.296993,,,121.296993,210.912994,261.941986,,,,,141.740005,,,141.740005,403.681992,614.594986,0.0,37.337002,,,0.0,,73.518997,110.855999,0.0,110.855999,725.450985,
01/01/1991,688.336975,7.016,6.494,0.522,111.919998,,,291.631012,,,,,34.186001,,,,,,,444.752991,137.552002,156.891998,-19.34,0.0,106.031998,,,,106.031998,243.584,,73.203003,73.203003,,,,12.803,,,,,,101.045999,,,101.045999,187.052002,260.041992,,,,,126.586998,,,126.586998,386.62899,573.680992,0.0,37.337002,,,0.0,,77.319,114.656002,0.0,114.656002,688.336994,
03/31/1991,659.231995,7.344,6.316,1.028,84.778999,,,280.309998,,,,,38.888,,,,,,,411.321014,134.634003,156.804001,-22.17,0.0,113.277,,,,113.277,247.911003,,61.810001,61.810001,,,,50.409,,,,,,91.775993,,,91.775993,203.994995,225.248001,,,,,130.453995,,,130.453995,355.701996,559.696991,0.0,37.534,,,0.0,,62.000999,99.535,0.0,99.535,659.231991,
06/30/1991,618.547974,8.947,7.919,1.028,99.640999,,,247.682999,,,,,37.182999,,,,,,,393.45401,130.718994,165.477005,-34.757999,0.0,94.375,,,,94.375,225.093994,,61.236,61.236,,,,63.102001,,,,,,84.411999,,,84.411999,208.75,204.878998,,,,,119.771004,,,119.771004,324.650002,533.400002,0.0,37.534,,,0.0,,47.613998,85.147999,0.0,85.147999,618.548,
09/30/1991,592.494019,8.09,6.996,1.094,83.198997,,,249.960999,,,,,32.931,,,,,,,374.181,132.115997,170.931,-38.814999,0.0,86.196999,,,,86.196999,218.312996,,63.306999,63.306999,,,,28.332001,,,,,,77.829002,,,77.829002,169.468002,185.848007,,,,,111.959999,,,111.959999,297.808006,467.276009,0.0,37.528999,,,0.0,,46.189999,83.718998,41.499001,125.217999,592.494007,
12/31/1991,617.203003,14.957,13.877,1.08,91.624001,,,252.574005,,,,,2.79,,,,,,,361.945007,129.559998,172.863007,-43.303001,0.0,125.697998,,,,125.697998,255.257996,,90.649002,90.649002,,,,23.636,,,,,,130.015993,,,130.015993,244.300995,192.449005,,,,,94.370003,,,94.370003,286.819008,531.120003,0.0,37.595001,,,0.0,,22.285999,59.881001,26.202,86.083,617.203003,
03/31/1992,571.594971,5.568,4.519,1.049,95.068001,,,228.406006,,,,,39.317001,,,,,,,368.359009,109.801003,143.177994,-33.376999,0.0,93.434998,,,,93.434998,203.236,,83.428001,83.428001,,,,21.372,,,,,,99.528002,,,99.528002,204.328003,192.919998,,,,,87.768997,,,87.768997,280.688995,485.016998,0.0,37.831001,,,0.0,,21.635,59.466002,27.112,86.578001,571.594999,
06/30/1992,529.437988,10.472,9.891,0.581,81.691002,,,200.397995,,,,,43.601002,,,,,,,336.161987,101.989998,136.630997,-34.640999,0.0,91.286003,,,,91.286003,193.276001,,73.619003,73.619003,,,,21.58,,,,,,87.339998,,,87.339998,182.539001,183.878006,,,,,82.912003,,,82.912003,266.790009,449.32901,0.0,37.868999,,,0.0,,16.497999,54.366999,25.742001,80.108999,529.438009,
09/30/1992,796.802002,31.49,30.909,0.581,114.414001,,,296.285004,,,,,39.396999,,,,,,,481.585999,164.906998,199.975006,-35.068001,0.0,150.309006,,,,150.309006,315.216003,,126.795998,126.795998,,,,227.977005,,,,,,169.253975,,,169.253975,524.026978,94.748001,,,,,128.636993,,,128.636993,223.384995,747.411972,0.0,37.868999,,,0.0,,-5.808,32.060999,17.329,49.39,796.801972,
12/31/1992,477.355988,25.671,25.671,0.0,78.277,,,197.136002,,,,,18.150999,,,,,,,319.234985,116.278999,142.117004,-25.837999,0.0,41.841999,,,,41.841999,158.120998,,91.267998,91.267998,,,,13.116,,,,,,117.63001,,,117.63001,222.014008,204.488998,,,,,57.021,,,57.021,261.509998,483.524006,0.0,37.868999,,,0.0,,-44.036999,-6.167999,0.0,-6.167999,477.356007,
03/31/1993,704.880005,25.606001,25.606001,0.0,111.775002,,,227.589996,,,,,20.104,,,,,,,385.075012,177.311996,225.572006,-48.259998,0.0,142.492996,,,,142.492996,319.804993,,131.914001,131.914001,,,,115.444,,,,,,149.415009,,,149.415009,396.77301,209.891006,,,,,136.311996,,,136.311996,346.203003,742.976013,0.0,37.908001,,,0.0,,-76.003998,-38.095997,0.0,-38.095997,704.880016,
06/30/1993,429.860992,15.479,15.479,0.0,72.813004,,,182.126999,,,,,18.49,,,,,,,288.908997,109.121002,141.563004,-32.442001,0.0,31.830999,,,,31.830999,140.952002,,91.671997,91.671997,,,,27.844,,,,,,94.221003,,,94.221003,213.737,196.772003,,,,,148.203003,,,148.203003,344.975006,558.712006,0.0,37.908001,,,0.0,,-166.759003,-128.851002,0.0,-128.851002,429.861004,
09/30/1993,402.575989,8.887,8.887,0.0,78.644997,,,168.445999,,,,,11.611,,,,,,,267.588989,101.542999,137.764999,-36.222,0.0,33.444,,,,33.444,134.987,,83.322998,83.322998,,,,20.267,,,,,,83.949003,,,83.949003,187.539001,208.848007,,,,,67.598,,,67.598,276.446007,463.985008,0.0,37.908001,,,0.0,,-99.317001,-61.409,0.0,-61.409,402.576008,
12/31/1993,390.701996,9.183,9.183,0.0,74.028,,,163.837997,,,,,10.279,,,,,,,257.328003,97.537003,127.786003,-30.249001,0.0,35.837002,,,,35.837002,133.374004,,85.349998,85.349998,,,,22.708,,,,,,79.722,,,79.722,187.779999,195.330994,,,,,59.372002,,,59.372002,254.702995,442.482994,10.48,40.23,,,0.0,,-102.490997,-51.780998,0.0,-51.780998,390.701996,
03/31/1994,424.699005,3.882,3.882,0.0,78.947998,,,159.225006,,,,,8.167,,,,,,,250.222,100.709,,,0.0,73.767998,,,,73.767998,174.476997,,81.328003,81.328003,,,,25.833,,,,,,76.028999,,,76.028999,183.190002,198.709,,,,,61.192001,,,61.192001,259.901001,443.091003,11.86,40.23,,,0.0,,-70.482002,-18.392003,0.0,-18.392003,424.699,
