Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,9.9,5.6,15.5,,3.0,3.0,2.667047,1.508633,,4.17568,0.532811,0.301388,,0.834199,
06/30/2008,10.1,4.5,14.6,,1.7,1.7,2.369474,1.055706,,3.42518,0.543065,0.24196,,0.785024,
09/30/2008,10.3,3.1,13.4,,1.2,1.2,2.13296,0.641959,,2.774919,0.571007,0.171856,,0.742863,
12/31/2008,7.6,1.9,9.5,,1.9,1.9,1.436643,0.359161,,1.795804,0.423764,0.105941,,0.529704,
03/31/2009,7.8,14.6,22.4,,1.3,1.3,1.415105,2.648786,,4.06389,0.437864,0.819591,,1.257454,
06/30/2009,8.0,19.3,27.3,0.0,0.7,,1.386148,3.344082,,4.73023,0.439347,1.059924,,1.49927,
09/30/2009,8.1,11.4,19.5,,,,1.332995,1.876068,,3.209063,0.43593,0.613532,,1.049462,
12/31/2009,,,,,,,,,0.0,,,,0.0,,
03/31/2010,9.6,0.5,10.1,,,,1.427477,0.074348,,1.501825,0.50817,0.026467,,0.534637,
06/30/2010,9.8,0.4,10.2,,,,1.71611,0.070045,,1.786155,0.515534,0.021042,,0.536576,
09/30/2010,10.1,0.2,10.3,,,,1.699027,0.033644,,1.732671,0.516358,0.010225,,0.526582,
12/31/2010,,,,,,,,,0.0,,,,0.0,,
03/31/2011,10.5,,10.5,,465.7,465.7,1.877461,,,1.877461,0.514612,,,0.514612,
06/30/2011,10.6,,10.6,,,,1.771571,,,1.771571,0.499797,,,0.499797,
09/30/2011,10.9,,10.9,,,,2.190378,,,2.190378,0.50401,,,0.50401,
12/31/2011,10.8,,10.8,,,,1.90294,,0.0,1.90294,0.476331,,0.0,0.476331,
03/31/2012,11.7,,11.7,,471.8,471.8,1.856271,,0.0,1.856271,0.503689,,0.0,0.503689,
06/30/2012,11.4,,11.4,,,,1.598266,,,1.598266,0.481973,,,0.481973,
09/30/2012,10.9,,10.9,,,,1.395307,,,1.395307,0.447025,,,0.447025,
12/31/2012,11.2,,11.2,,,,1.414391,,0.0,1.414391,0.454427,,0.0,0.454427,
03/31/2013,11.7,,11.7,,422.2,422.2,1.335964,,0.0,1.335964,0.452415,,0.0,0.452415,
06/30/2013,12.0,,12.0,,,,1.330025,,0.0,1.330025,0.451753,,0.0,0.451753,
09/30/2013,11.8,,11.8,,,,1.203496,,0.0,1.203496,0.435034,,0.0,0.435034,
12/31/2013,12.7,,12.7,,,,1.25438,,0.0,1.25438,0.45045,,0.0,0.45045,
03/31/2014,12.8,2.8,15.6,,252.7,252.7,1.198362,0.262142,0.0,1.460503,0.410819,0.089867,0.0,0.500686,
06/30/2014,13.0,1.1,14.1,,251.0,251.0,1.20246,0.101747,0.0,1.304207,0.420527,0.035583,0.0,0.45611,
09/30/2014,13.4,,13.4,,249.9,,1.155353,,0.0,1.155353,0.424196,,0.0,0.424196,
12/31/2014,13.5,1.0,14.5,,250.9,250.9,1.120776,0.08302,0.0,1.203796,0.399587,0.029599,0.0,0.429186,
03/31/2015,13.7,2.1,15.8,,252.0,252.0,1.072508,0.164399,0.0,1.236907,0.399534,0.061242,0.0,0.460776,
06/30/2015,14.0,2.5,16.5,,252.4,252.4,1.045396,0.186678,0.0,1.232074,0.401681,0.071729,0.0,0.47341,
09/30/2015,13.4,9.5,22.9,,608.6,608.6,1.072698,0.760495,0.0,1.833192,0.380761,0.269943,0.0,0.650704,
12/31/2015,13.6,6.1,19.7,,605.2,605.2,1.045871,0.469104,0.0,1.514974,0.374703,0.168065,0.0,0.542768,
03/31/2016,14.0,17.1,31.1,,613.4,613.4,1.088579,1.329622,0.0,2.418201,0.383882,0.468884,0.0,0.852766,
06/30/2016,14.5,26.8,41.3,,622.4,622.4,1.051163,1.942839,0.0,2.994001,0.392171,0.724841,0.0,1.117012,
09/30/2016,14.8,16.6,31.4,,612.5,612.5,1.068528,1.198484,0.0,2.267012,0.396783,0.445041,0.0,0.841824,
12/31/2016,14.9,2.9,17.8,,-599.0,-599.0,1.053703,0.205083,0.0,1.258786,0.377146,0.073404,0.0,0.45055,
03/31/2017,15.4,,15.4,,596.3,596.3,1.122209,0.0,0.0,1.122209,0.408445,0.0,0.0,0.408445,
06/30/2017,15.6,3.7,19.3,,600.3,600.3,1.108174,0.262836,0.0,1.37101,0.412875,0.097926,0.0,0.510801,
09/30/2017,15.9,1.5,17.4,,595.3,595.3,1.080185,0.101904,0.0,1.182089,0.392213,0.037001,0.0,0.429214,
12/31/2017,16.4,,16.4,,597.0,597.0,0.891631,,0.0,0.891631,0.367273,,0.0,0.367273,
03/31/2018,16.4,,16.4,,,597.3,0.844028,0.0,0.0,0.844028,0.370902,0.0,0.0,0.370902,
06/30/2018,16.7,,16.7,,,,0.8213,,0.0,0.8213,0.363894,,0.0,0.363894,
09/30/2018,17.5,16.0,33.5,,581.8,,0.841112,0.769017,0.0,1.610129,0.370631,0.338863,0.0,0.709495,
12/31/2018,15.7,,15.7,,596.1,596.1,0.747127,,0.0,0.747127,0.308348,,0.0,0.308348,
03/31/2019,18.4,,18.4,,348.3,348.3,0.834935,0.0,0.0,0.834935,0.345392,0.0,0.0,0.345392,
06/30/2019,19.1,,19.1,,356.7,356.7,0.894464,,0.0,0.894464,0.35235,,0.0,0.35235,
09/30/2019,19.4,2.9,22.3,,,,0.88442,0.132207,0.0,1.016627,0.360171,0.05384,0.0,0.41401,
12/31/2019,20.4,4.8,25.2,,353.1,353.1,0.899856,0.211731,0.0,1.111587,0.372885,0.087738,0.0,0.460623,
03/31/2020,17.9,,17.9,,371.5,,0.784256,0.0,0.0,0.784256,0.332711,0.0,0.0,0.332711,
06/30/2020,19.6,,19.6,,,,0.819795,,0.0,0.819795,0.352922,,0.0,0.352922,
