Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,23600.599609,,,,-21111.800781,,,2488.798828,,-1458.599976,,,,,1030.199951,-106.000008,,166.100006,,,,-60.099998,924.199943,-380.399994,543.799988,0.0,,,543.799949,-37.599998,506.200012,0.0,,506.200012,506.200012,,920.400024,0.55,0.55,0.55,920.400024,0.55,0.55,0.55,
06/30/1990,26871.699219,,,,-23798.599609,,,3073.09961,,-1666.900024,,,,,1406.199951,-43.299996,,128.899994,,,,-85.599998,1362.899955,-565.5,797.400024,0.0,,,797.399955,-26.700001,770.700012,0.0,,770.700012,770.700012,,920.799988,0.835,0.835,0.835,920.799988,0.835,0.835,0.835,
09/30/1990,22986.900391,,,,-21106.300781,,,1880.59961,,-1702.599976,,,,,178.0,-3.399994,,144.0,,,,-140.600006,174.600006,-63.400002,111.199997,0.0,,,111.200004,-9.5,101.699997,0.0,,101.699997,101.699997,,925.599976,0.11,0.11,0.11,925.599976,0.11,0.11,0.11,
12/31/1990,24190.800781,,,,-23236.599609,,,954.201172,,-2034.0,,,,,-1079.800049,113.099998,,125.400002,,3.0,,-241.5,-966.700051,478.899994,-487.799988,0.0,,,-487.800057,-30.700001,-518.500122,0.0,,-518.500122,-518.500122,,935.0,-0.56,-0.56,-0.56,935.0,-0.56,-0.56,-0.56,
03/31/1991,21341.0,,,,-20572.900391,,,768.099609,,-1815.5,,,,,-1047.400024,-108.900002,,196.0,,,,-87.099998,-1156.300026,294.299988,-862.0,0.0,,,-862.000038,-22.4,-884.400024,0.0,,-884.400024,-884.400024,,942.799988,-0.94,-0.94,-0.94,942.799988,-0.94,-0.94,-0.94,
06/30/1991,23846.699219,,,,-22161.400391,,,1685.298828,,-1885.900024,,,,,-200.600006,-93.800003,,201.0,,,,-107.199997,-294.400009,-15.7,-310.100006,0.0,,,-310.100009,-13.4,-323.5,0.0,,-323.5,-323.5,,946.200012,-0.34,-0.34,-0.34,946.200012,-0.34,-0.34,-0.34,
09/30/1991,21116.699219,,,,-19746.800781,,,1369.898438,,-1803.599976,,,,,-433.700012,-54.699997,,240.0,,,,-185.300003,-488.400009,-70.599998,-559.0,0.0,,,-559.000007,-15.4,-574.400024,0.0,,-574.400024,-574.400024,,954.200012,-0.6,-0.6,-0.6,954.200012,-0.6,-0.6,-0.6,
12/31/1991,21981.900391,,,,-20484.699219,,,1497.201172,,-2229.0,,,,,-731.799927,83.899994,,265.600006,,-81.0,,-268.5,-647.899933,187.399994,-460.500092,0.0,,,-460.499939,-15.2,-475.700012,-22.0,,-497.700012,-497.700012,,963.200012,-0.52,-0.52,-0.52,963.200012,-0.52,-0.52,-0.52,
03/31/1992,24558.0,,,,-21961.0,,,2597.0,,-1932.0,,,,,665.0,-160.0,,264.0,,,,-104.0,505.0,-271.0,234.0,6883.200195,,,-6649.200195,-11.0,-6660.200195,-48.0,,-6708.200195,-6708.200195,,968.0,-6.925,0.19,,968.0,-6.925,0.19,0.19,
06/30/1992,26843.0,,,,-23729.0,,,3114.0,,-2075.0,,,,,1039.0,-53.0,,233.0,,,,-180.0,986.0,-569.0,417.0,0.0,,,417.0,-30.0,387.0,-48.0,,339.0,339.0,,972.0,0.35,0.35,,972.0,0.35,0.35,0.35,
