Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
03/31/2001,7.347,23.799,2.384,0.413,,,0.413,-19.249001,,,,-19.249001,,-2.812,-4.709,0.0,,,-4.709,,,0.0,0.0,0.0,,,,,1.897,-3.248,0.0,-2.484,,,,0.0,0.0,0.0,-0.764,,1.287,,
06/30/2001,40.708,36.603001,2.654,-5.5,,,-5.5,6.951,,,,6.951,,-3.717,-4.133,0.0,,,-4.133,,,0.0,0.0,0.0,,,,,0.416,-11.232,0.0,-6.133,,,,0.0,0.0,0.0,-5.099,,25.759001,,
09/29/2001,47.562,25.000999,1.755,1.975,,,1.975,18.830999,,,,18.830999,,-10.486,-1.981,0.0,,,-1.981,,,0.0,0.0,0.0,,,,,-8.505,-2.584,0.0,-2.389,,,,-0.15,0.0,-0.15,-0.045,,34.492001,,
12/29/2001,34.374,28.045,4.075,7.485,,,7.485,-5.231,,,,-5.231,,-141.375,-3.821,0.239,,,-4.06,,,-131.584,1553.401,-1684.985,,,,,-5.97,-13.426,0.0,-3.183,,,,-8.149,1.535,-9.684,-2.094,,-120.427,,
03/30/2002,48.326,26.761,2.929,1.995,,,1.995,16.641001,,,,16.641001,,-12.974,-3.643,0.0,,,-3.643,,,0.0,0.0,0.0,,,,,-9.331,-2.315,0.0,-2.851,,,,0.0,0.0,0.0,0.536,,33.036999,,
06/29/2002,30.32,32.146,3.41,-1.333,,,-1.333,-3.903,,,,-3.903,,-108.108002,-1.805,0.0,,,-1.805,,,0.0,0.0,0.0,,,,,-106.303002,-1.516,0.0,-9.38,,,,0.0,0.0,0.0,7.864,,-79.304001,,
09/28/2002,51.236,38.428001,3.344,-0.048,,,-0.048,9.512,,,,9.512,,4.347,-1.469,0.0,,,-1.469,,,0.0,0.0,0.0,,,,,5.816,-7.714,0.0,0.043,,,,0.388,0.388,0.0,-8.145,,47.868999,,
12/28/2002,45.526001,45.462002,6.448,1.035,,,1.035,-7.419,,,,-7.419,,-24.337,-5.489,0.018,,,-5.507,,,0.0,0.0,0.0,,,,,-18.848,1.135,0.0,-0.048,,,,1.687,1.687,0.0,-0.504,,22.323999,,
03/29/2003,42.363998,41.493999,4.542,0.984,,,0.984,-4.656,,,,-4.656,,-9.185,-4.648,0.0,,,-4.648,,,0.0,0.0,0.0,,,,,-4.537001,1.201,0.0,0.0,,,,0.685,0.685,0.0,0.516,,34.380001,,
06/28/2003,46.103001,47.245998,4.773,0.014,,,0.014,-5.93,,,,-5.93,,-12.811,-3.462,0.0,,,-3.462,,,0.0,0.0,0.0,,,,,-9.349,-17.961,0.0,-20.0,,,,1.018,1.018,0.0,1.021,,15.331,,
