Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,Price/Earnings per Share,EV/Market Cap,Total Debt/EV,EV/Cash Flow,EV/Free Cash Flow,EV/Net Income,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,1474.633853,-155.201004,0.0,0.0,0.0,1319.432849,,,0.894753,0.0,,,,0.913511,1486.149678,1330.948674,7.091745,,
06/30/1990,1563.581181,-95.538002,0.0,0.0,0.0,1468.043179,,,0.938898,0.0,,,,1.030857,1572.068691,1476.530689,8.113933,,
09/30/1990,1218.315279,-99.749001,0.0,0.0,0.0,1118.566278,,,0.918125,0.0,,,,0.833373,1227.69865,1127.94965,6.279525,,
12/31/1990,1277.350956,-115.244003,0.0,0.0,0.0,1162.106953,0.999565,8.371041,0.909779,0.0,10.595915,,7.372044,0.858918,1280.274044,1165.030041,6.649248,,
03/31/1991,1479.575543,-121.042,0.0,0.0,0.0,1358.533544,1.168164,9.436543,0.918191,0.0,13.318956,,8.486432,0.94065,1479.360037,1358.318037,7.82163,,
06/30/1991,1461.579715,-123.487999,0.0,0.0,0.0,1338.091716,1.143284,8.924843,0.915511,0.0,10.537566,,8.075436,0.910056,1460.468173,1336.980174,7.730978,,
09/30/1991,1730.919471,-158.348999,0.0,0.0,0.0,1572.570472,1.344996,10.227273,0.908517,0.0,12.207028,,9.265348,1.041042,1730.86868,1572.519681,9.085174,,
12/31/1991,1932.017483,-156.694,0.0,0.0,0.0,1775.323483,1.512876,10.992218,0.918896,0.0,10.047958,,10.105036,1.135832,1931.904545,1775.210545,10.255335,,
03/31/1992,1897.340228,-159.578003,0.0,0.0,0.0,1737.762225,1.46957,10.288641,0.915894,0.0,9.792196,,9.474586,1.090914,1889.770921,1730.192918,9.995681,,
06/30/1992,2137.676866,-180.287003,0.0,0.0,0.0,1957.389863,1.647791,11.420454,0.915662,0.0,12.720566,,10.411648,1.189695,2143.204365,1962.917362,11.360994,,
09/30/1992,1981.720413,-128.912003,0.0,0.0,0.0,1852.808411,1.547221,10.296052,0.934949,0.0,12.311674,,9.518129,1.119579,1990.953916,1862.041913,10.838488,,
12/31/1992,2427.376827,-155.669006,0.0,0.0,0.0,2271.707821,1.889423,12.091708,0.935869,0.0,14.571851,,11.177574,1.346784,2427.136154,2271.467148,13.344805,,
03/31/1993,2806.72626,-159.311996,0.0,0.0,0.0,2647.414264,2.189647,13.871571,0.943239,0.0,15.240601,,14.723808,1.552879,2806.392481,2647.080485,15.54598,,
06/30/1993,2509.061585,,0.0,0.0,0.0,,,12.135037,,,,,,,2514.647561,,,,
09/30/1993,2686.04357,,0.0,0.0,0.0,,,12.738664,,,,,,,2685.883329,,,,
12/31/1993,2318.625047,-31.563,0.0,0.0,39.700001,2326.762048,1.866451,10.726545,1.003509,0.017062,14.527191,,11.921597,1.342566,2335.125094,2343.262095,13.937631,,
03/31/1994,2297.390849,,0.0,0.0,238.076996,,,10.589888,,,,,,,2309.219198,,,,
07/01/1994,2375.03006,,0.0,0.0,311.859985,,,10.722101,,,,,,,2384.536072,,,,
09/30/1994,2561.79379,,0.0,0.0,315.191986,,,11.25,,,,,,,2561.79379,,,,
12/31/1994,2513.395625,-22.774,0.0,0.0,296.187988,2786.809613,2.196396,10.96723,1.108783,0.106282,23.799764,,11.64874,1.608508,2513.343802,2786.75779,17.042401,,
03/31/1995,2865.020168,,0.0,0.0,270.825989,,,12.742457,,,,,,,2864.665388,,,,
06/30/1995,2598.654038,,0.0,0.0,317.346008,,,12.086093,,,,,,,2616.885798,,,,
09/30/1995,3049.754689,,0.0,0.0,342.557007,,,14.373602,,,,,,,3049.62626,,,,
12/31/1995,3311.404361,-122.473999,50.0,0.0,563.188004,3802.118366,2.422633,15.032327,1.148189,0.148125,11.853357,,13.883742,1.763458,3311.032593,3801.746598,23.729241,,
03/31/1996,3838.216421,,50.0,0.0,583.374008,,,16.276435,,,,,,,3856.156806,,,,
06/30/1996,3678.023267,,50.0,0.0,653.955017,,,14.666193,,,,,,,3697.331045,,,,
09/30/1996,3661.053892,,53.0,0.0,647.005981,,,14.0625,,,,,,,3689.567877,,,,
12/31/1996,4005.992374,-105.0,53.0,0.0,614.0,4567.992374,2.14966,15.556319,1.14029,0.134414,4.241404,,15.533479,1.988678,4053.443979,4615.443979,28.697294,,
03/31/1997,3848.227673,,353.0,0.0,405.0,,,14.53877,,,,,,,3873.783574,,,,
06/30/1997,4947.22005,,353.0,0.0,817.0,,,18.009021,,,,,,,4984.114041,,,,
