Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,205.904007,,-160.593002,,45.311005,,-39.625,,,,,5.686,0.297,,,,0.0,-0.297,5.983,-2.302,3.681,-0.457,,,4.138,0.0,4.138,0.0,,4.138,4.138,,16.430294,0.251852,0.222222,,16.430294,0.251852,0.222222,0.222222,
06/30/1990,199.725006,,-154.819,,44.906006,,-41.834,,,,,3.072,-0.246,,0.246,,0.0,,2.826,-1.086,1.74,-0.093,,,1.833,0.0,1.833,0.0,,1.833,1.833,,15.91245,0.118519,0.118519,,15.91245,0.118519,0.118519,0.118519,
09/29/1990,237.789993,,-185.141998,,52.647995,,-47.740002,,,,,4.908,-0.476,,0.476,,0.0,,4.432,-1.708,2.724,-0.103,,,2.827,0.0,2.827,0.0,,2.827,2.827,,15.8814,0.177778,0.177778,,15.8814,0.177778,0.177778,0.177778,
12/29/1990,259.886993,,-198.755005,,61.131988,,-55.076,,,,,6.056,-0.484,,0.872,,0.0,-0.388,5.572,-2.233,3.339,-0.41,,,3.749,0.0,3.749,0.0,,3.749,3.749,,16.870275,0.222222,0.192593,0.192593,16.870275,0.222222,0.192593,0.192593,
03/30/1991,325.265991,,-251.274994,,73.990997,,-64.095001,,,,,9.896,-0.575,,0.575,,0.0,,9.321,-3.628,5.693,-0.138,,,5.831,0.0,5.831,0.0,,5.831,5.831,,17.223301,0.340741,0.325926,,17.223301,0.340741,0.325926,0.325926,
06/29/1991,302.721008,,-233.371994,,69.349014,,-63.533001,,,,,5.816,-9.666,,0.716,,0.0,8.95,-3.85,-0.443,-4.293,0.075,,,-4.368,0.0,-4.368,0.0,,-4.368,-4.368,,17.646525,-0.251852,-0.251852,,17.646525,-0.251852,-0.251852,-0.251852,
09/28/1991,331.812012,,-254.386002,,77.42601,,-66.777,,,,,10.649,-0.408,,0.408,,0.0,,10.241,-3.994,6.247,0.0,,,6.247,0.0,6.247,0.0,,6.247,6.247,,18.605699,0.340741,0.340741,,18.605699,0.340741,0.340741,0.340741,
12/28/1991,341.048004,,-262.450989,,78.597015,,-66.901001,,,,,11.696,-0.536,,0.687,,0.0,-0.151,11.16,-4.43,6.73,-0.551,,,7.281,0.0,7.281,0.0,,7.281,7.281,,18.369977,0.4,0.37037,0.37037,18.369977,0.4,0.37037,0.37037,
03/28/1992,433.303009,,-333.458008,,99.845001,,-84.722,,,,,15.123,0.212,,,,0.0,-0.212,15.335,-5.984,9.351,0.0,,,9.351,0.0,9.351,0.0,,9.351,9.351,,20.574,0.459259,0.459259,,20.574,0.459259,0.459259,0.459259,
06/27/1992,386.832001,,-298.074005,,88.757996,,-78.001999,,,,,10.756,-0.094,,0.094,,0.0,,10.662,-4.211,6.451,0.0,,,6.451,0.0,6.451,0.0,,6.451,6.451,,20.483888,0.325926,0.325926,,20.483888,0.325926,0.325926,0.325926,
09/26/1992,434.792999,,-334.48999,,100.303009,,-84.110001,,,,,16.193001,-0.06,,0.06,,0.0,,16.133001,-6.375,9.758,0.0,,,9.758001,0.0,9.758,0.0,,9.758,9.758,,20.685375,0.474074,0.474074,,20.685375,0.474074,0.474074,0.474074,
12/26/1992,478.036987,,-368.28299,,109.753997,,-89.616997,,,,,20.136999,-0.214,,1.305,,0.0,-1.091,19.922999,-7.691,12.232,-1.396,,,13.627999,0.0,13.628,0.0,,13.628,13.628,,20.906591,0.651852,0.592593,0.592593,20.906591,0.651852,0.592593,0.592593,
