Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2003,8334.099609,,-7984.600098,,,349.499511,,-186.600006,,,162.899994,11.7,,,,0.0,-11.7,174.599994,-72.599998,102.0,0.0,,,101.999996,0.0,102.0,0.0,0.0,102.0,102.0,,540.0,0.19,0.19,0.177,540.0,0.19,0.19,0.177,
06/28/2003,8404.5,,-8033.600098,,,370.899902,,-191.300003,,,179.600006,0.4,,,,0.0,-0.4,180.000006,-74.800003,105.199997,0.0,,,105.200003,0.0,105.199997,0.0,0.0,105.199997,105.199997,,540.0,0.195,0.195,0.195,540.0,0.195,0.195,0.195,
09/27/2003,8524.0,,-8135.200195,,,388.799805,,-208.399994,,,180.399994,-8.7,,,,0.0,8.7,171.699994,-71.400002,100.300003,0.0,,,100.299992,0.0,100.300003,0.0,0.0,100.300003,100.300003,,540.0,0.185,0.185,0.185,540.400024,0.185,0.185,0.185,
12/27/2003,9001.900391,,-8588.900391,,,413.0,,-194.5,,,218.5,-16.1,,,,0.0,16.1,202.4,-84.099998,118.300003,0.0,,,118.300001,0.0,118.300003,0.0,0.0,118.300003,118.300003,,540.599976,0.22,0.22,0.22,545.599976,0.215,0.215,0.215,
03/27/2004,8905.900391,,-8485.200195,,,420.700196,,-223.899994,,,196.800003,-22.0,,,,0.0,22.0,174.800003,-71.199997,103.599998,0.0,,,103.600006,0.0,103.599998,0.0,0.0,103.599998,103.599998,,541.599976,0.19,0.19,0.22,547.400024,0.19,0.19,0.22,
06/26/2004,8836.200195,,-8408.5,,,427.700195,,-201.800003,,,225.899994,-13.3,,,,0.0,13.3,212.599994,-85.300003,127.300003,0.0,,,127.299991,0.0,127.300003,0.0,0.0,127.300003,127.300003,,542.799988,0.235,0.235,0.235,549.200012,0.23,0.23,0.23,
09/25/2004,8696.599609,,-8270.900391,,,425.699218,,-215.800003,,,209.899994,-12.6,,,,0.0,12.6,197.299994,-79.199997,118.099998,0.0,,,118.099997,0.0,118.099998,0.0,0.0,118.099998,118.099998,,544.200012,0.215,0.215,0.215,548.400024,0.215,0.215,0.215,
12/25/2004,8913.2,,-8464.8,,,448.4,,-214.8,,,233.6,-12.0,,,,0.0,12.0,221.6,-89.0,132.6,0.0,,,132.6,0.0,132.6,0.0,0.0,132.6,132.6,,543.8,0.245,0.245,0.245,543.8,0.24,0.24,0.24,
03/26/2005,8743.3,,-8295.8,,,447.5,0.0,-219.9,174.9,45.0,227.6,-10.1,10.1,,,0.0,0.0,217.5,-86.3,131.2,0.0,,,131.2,0.0,131.2,0.0,0.0,131.2,131.2,,550.4,0.24,0.24,0.24,560.2,0.235,0.235,0.235,
06/25/2005,8998.7,,-8543.4,,,455.3,,-220.4,,,234.9,-6.4,6.4,,,0.0,0.0,228.5,-91.1,137.4,0.0,,,137.4,0.0,137.4,0.0,0.0,137.4,137.4,,556.0,0.245,0.245,0.245,567.6,0.24,0.24,0.24,
09/24/2005,9325.4,,-8862.3,,,463.1,,-234.5,,,228.6,-10.6,-2.0,5.0,-7.0,0.0,12.6,218.0,-61.3,156.7,0.0,,,156.7,0.0,156.7,0.0,0.0,156.7,156.7,,582.0,0.27,0.27,0.27,593.0,0.265,0.265,0.265,
12/31/2005,10803.4,,-10226.5,,,576.9,,-275.3,,,301.6,-12.7,,,,0.0,12.7,288.9,-112.1,176.8,0.0,,,176.8,0.0,176.8,0.0,0.0,176.8,176.8,,612.8,0.29,0.29,0.29,623.8,0.285,0.285,0.285,
04/01/2006,10563.5,,-10025.3,,,538.2,0.0,-450.5,395.9,54.6,87.7,-13.5,3.0,7.0,-4.0,0.0,10.5,74.2,-29.4,44.8,0.0,,,44.8,0.0,44.8,0.0,0.0,44.8,44.8,,608.4,0.075,0.075,0.28,617.2,0.075,0.075,0.28,
07/01/2006,10588.8,,-10005.3,,,583.5,,-239.1,,,344.4,-69.9,7.0,8.0,-1.0,0.0,62.9,274.5,-103.6,170.9,0.0,,,170.9,0.0,170.9,0.0,0.0,170.9,170.9,33.852,598.0,0.285,0.285,0.34,605.8,0.28,0.28,0.335,
09/30/2006,10461.1,,-9867.6,,,593.5,,-277.5,,,316.0,-20.9,1.9,6.1,-4.2,0.0,19.0,295.1,-109.3,185.8,0.0,,,185.8,0.0,185.8,0.0,0.0,185.8,185.8,,588.2,0.315,0.315,0.35,597.4,0.31,0.31,0.345,
12/30/2006,10930.2,,-10240.0,,,690.2,,-360.6,,,329.6,-58.9,58.9,74.7,-15.8,0.0,-97.3,368.0,-139.3,228.8,0.0,,,228.7,0.0,228.8,0.0,0.0,228.8,228.8,-182.526,583.4,0.39,0.39,0.435,591.0,0.385,0.385,0.43,
03/31/2007,11159.6,,-10385.9,,,773.7,,-303.0,,,470.7,-14.9,14.9,,,0.0,0.0,455.8,-181.0,274.8,0.0,,,274.8,0.0,274.8,0.0,0.0,274.8,274.8,26.2,573.4,0.48,0.48,0.525,582.2,0.47,0.47,0.515,
06/30/2007,11049.6,,-10345.0,,,704.6,0.0,-328.6,274.0,54.6,376.0,-21.9,7.0,8.0,-1.0,0.0,14.9,354.1,-139.2,214.9,0.0,,,214.9,0.0,214.9,0.0,0.0,214.9,214.9,,554.4,0.39,0.39,0.45,564.2,0.38,0.38,0.44,
