Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2010,202.587,4.749,4.749,0.0,19.096,19.096,0,5.932,0,0,5.36,0.572,0.0,0.0,,0.0,132.416,35.247,49.592,-14.345,0.0,,34.924,33.789,20.661,13.128,,,1.135,70.171,,79.842,79.842,,,,0.021,0.021,0.0,0.0,,,0.0,0.0,0.0,0.0,89.53,1.121,1.121,0.0,0.0,,6.721,0.0,0.0,0.0,0.0,,6.721,7.842,97.372,0,0.0,,0,105.215,0.0,105.215,0.0,105.215,202.587,
12/31/2011,231.316,0.24,0.24,0.0,31.76,31.76,0,7.023,0,0,6.485,0.538,108.389,0.0,,108.389,147.412,39.049,56.926,-17.877,0.0,0.0,44.855,43.97,20.661,23.309,,,0.885,83.904,,106.326,98.316,,,8.01,0.022,0.0,0.0,0.0,,0.022,0.0,0.0,0.0,0.0,106.348,1.098,1.098,0.0,0.0,,8.057,0.0,0.0,0.0,0.0,2.595,5.462,9.155,115.503,0,0.0,0.0,0,115.813,0.0,115.813,0.0,115.813,231.316,
03/31/2012,256.167,0.002,0.002,0.0,45.415,45.415,0,11.721,0,0,11.098,0.623,115.959,,,115.959,173.097,38.987,57.9,-18.913,0.0,,44.083,43.234,20.661,22.573,,,0.849,83.07,,130.224,127.529,,,2.695,0.023,0.0,,,,0.023,0.0,,,0.0,130.247,1.093,1.093,,,,7.339,,,,,2.087,5.252,8.432,138.679,0,0.0,0.0,0,117.488,0.0,117.488,0.0,117.488,256.167,
06/30/2012,242.763,1.145,1.145,0.0,40.621,40.621,0,10.883,0,0,10.303,0.58,103.54,,,103.54,156.189,43.051,62.625,-19.574,,,43.523,42.714,20.661,22.053,,,0.809,86.574,,112.447,108.201,,,4.246,0.023,0.0,0.0,0.0,,0.023,0.0,,,0.0,112.47,1.087,1.087,0.0,0.0,,8.016,,,,,2.969,5.047,9.103,121.573,0,0.0,0.0,0,121.19,0.0,121.19,0.0,121.19,242.763,
09/30/2012,307.185,195.487,14.81,180.677,17.164,17.164,0,2.834,0,0,1.978,0.856,21.028,,,21.028,236.513,34.217,41.29,-7.073,0.0,,36.455,36.178,12.936,23.242,,,0.277,70.672,,54.12,51.751,,,2.369,0.023,0.0,,,,0.023,0.0,,,0.0,54.143,181.747,181.747,,,,2.645,,,,,0.0,2.645,184.392,238.535,0,206.137,206.137,0,,-137.487,68.65,0.0,68.65,307.185,
12/31/2012,355.8,6.752,6.752,0.0,33.008,33.008,0,2.981,0,0,2.3,0.681,60.364,0.0,,60.364,103.105,68.173,76.665,-8.492,148.264,148.264,36.258,36.067,12.936,23.131,,,0.191,252.695,,89.985,88.884,,,1.101,0.024,0.0,0.0,0.0,,0.024,0.0,0.0,0.0,0.0,90.009,184.831,184.831,0.0,0.0,,2.628,0.0,0.0,0.0,0.0,0.152,2.476,187.459,277.468,0,78.332,78.332,0,0.0,0.0,78.332,0.0,78.332,355.8,
03/31/2013,384.923,9.325,9.325,0.0,41.47,41.47,0,24.008,0,0,23.305,0.703,57.527,,,57.527,132.33,94.749,104.186,-9.437,122.267,122.267,35.577,35.405,12.936,22.469,,,0.172,252.593,,123.277,119.552,,,3.725,0.024,0.0,,,,0.024,0.0,,,0.0,123.301,181.735,181.735,,,,2.496,,,,,0.152,2.344,184.231,307.532,0,77.391,77.391,0,,0.0,77.391,0.0,77.391,384.923,
06/30/2013,386.264,16.488,16.488,0.0,40.16,40.16,0,22.369,0,0,21.697,0.672,52.758,,,52.758,131.775,123.251,133.678,-10.427,95.893,95.893,35.345,34.947,12.936,22.011,,,0.398,254.489,,124.143,119.535,,,4.608,0.024,0.0,,,,0.024,0.0,,,0.0,124.167,181.728,181.728,,,,2.469,,,,,0.164,2.305,184.197,308.364,0,77.9,77.9,0,,0.0,77.9,0.0,77.9,386.264,
09/30/2013,385.386,17.917,17.917,0.0,63.035,63.035,0,15.474,0,0,14.696,0.778,36.766,,,36.766,133.192,169.3,181.244,-11.944,37.936,37.936,44.958,44.776,22.432,22.344,,,0.182,252.194,,117.829,104.474,,,13.355,0.525,0.0,,,,0.525,0.0,,,0.0,118.354,184.222,184.222,,,,2.709,,,,,0.424,2.285,186.931,305.285,0,80.101,80.101,0,,0.0,80.101,0.0,80.101,385.386,
12/31/2013,390.084,8.15,8.15,0.0,69.005,69.005,0,11.122,0,0,10.263,0.859,49.945,0.0,,49.945,138.222,180.127,193.566,-13.439,25.952,25.952,45.783,45.595,22.823,22.772,,,0.188,251.862,,121.859,110.432,,,11.427,0.525,0.0,0.0,0.0,,0.525,0.0,0.0,0.0,0.0,122.384,185.626,185.626,0.0,0.0,,2.381,0.0,0.0,0.0,0.0,0.222,2.159,188.007,310.391,0,79.693,79.693,0,0.0,0.0,79.693,0.0,79.693,390.084,
