Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1990,9586.816406,1028.085022,293.153015,734.932007,2757.906006,,884.700012,,,,,3.854,,,,,4674.544922,1167.744995,,,3280.641113,,463.88501,,,,,,,463.88501,4912.271118,,1536.69104,1536.69104,,,,2674.126953,,,,,508.330933,,,508.330933,4719.148926,1506.779053,,,,527.994019,,,,527.994019,2034.773071,6753.921997,0,805.487976,,,-4.353,,2031.759006,2832.893982,,2832.893982,9586.815979,
04/30/1990,10231.258789,1059.016022,292.917999,766.098022,3264.168945,,931.28302,,,,,6.733,,,,,5261.201172,1189.145996,,,3351.38501,,429.527008,,,,,,,429.527008,4970.058014,,1677.685059,1677.685059,,,,3051.965088,,,,,533.218994,,,533.218994,5262.869141,1478.771973,,,,533.718994,,,,533.718994,2012.490967,7275.360107,0,818.254028,,,-8.567,,2146.21202,2955.899048,,2955.899048,10231.259155,
07/31/1990,10572.920898,1077.562958,281.355988,796.20697,3186.091064,,859.383972,,,,,2.337,,,,,5125.375,1232.946045,,,3771.941895,,442.65799,,,,,,,442.65799,5447.545929,,1613.610962,1613.610962,,,,3284.586914,,,,,544.849976,,,544.849976,5443.047852,1529.758057,,,,552.666992,,,,552.666992,2082.425049,7525.4729,0,824.997009,,,-9.664,,2232.114927,3047.447937,,3047.447937,10572.920837,
10/31/1990,10664.299805,986.399994,185.399994,801.0,3099.899902,,677.700012,,,,,45.0,,,,,4809.0,1330.800049,3674.399902,-2343.600098,3995.300049,,529.200012,,,,,,,529.200012,5855.30011,,1722.400024,1722.400024,,,,2892.5,,,,,538.499878,,,538.499878,5153.399902,1785.900024,,,,717.400024,,,,717.400024,2503.300048,7656.69995,0,831.400024,,,-10.1,,2186.299951,3007.599975,,3007.599975,10664.299925,
01/31/1991,10940.599609,1160.899994,356.600006,804.299988,2997.699951,,799.200012,,,,,8.7,,,,,4966.5,1336.599976,,,4081.800049,,555.700012,,,,,,,555.700012,5974.100037,,1572.599976,1572.599976,,,,3433.0,,,,,529.10022,,,529.10022,5534.700195,1759.0,,,,718.099976,,,,718.099976,2477.099976,8011.800171,0,831.599976,,,-10.5,,2107.699951,2928.799927,,2928.799927,10940.600098,
04/30/1991,11231.599609,1110.900024,296.700012,814.200012,3325.899902,,777.599976,,,,,3.3,,,,,5217.700195,1313.0,,,4152.100098,,548.799988,,,,,,,548.799988,6013.900085,,1613.099976,1613.099976,,,,3659.0,,,,,536.299927,,,536.299927,5808.399902,1845.099976,,,,631.0,,,,631.0,2476.099976,8284.499878,0,834.0,,,-11.8,,2124.900098,2947.100098,,2947.100098,11231.599976,
07/31/1991,11232.5,1062.799973,218.699997,844.099976,3156.800049,,672.5,,,,,2.7,,,,,4894.799805,1330.300049,,,4458.799805,,548.599976,,,,,,,548.599976,6337.699829,,1591.0,1591.0,,,,3328.199951,,,,,562.800049,,,562.800049,5482.0,2187.899902,,,,622.0,,,,622.0,2809.899902,8291.899902,0,837.200012,,,-12.1,,2115.499903,2940.599915,,2940.599915,11232.499817,
10/31/1991,11649.400391,1135.099976,278.5,856.599976,2966.600098,,538.099976,,,,,17.799999,,,,,4657.600098,1420.0,3742.0,-2322.0,4854.5,,717.299988,,,,,,,717.299988,6991.799988,,1803.599976,1803.599976,,,,3471.100098,,,,,581.400024,,,581.400024,5856.100098,2206.300049,,,,751.200012,,,,751.200012,2957.500061,8813.600159,0,838.700012,,,-12.6,,2009.699976,2835.799988,,2835.799988,11649.400147,
01/31/1992,11622.799805,1227.900024,364.5,863.400024,3035.300049,,674.099976,,,,,12.2,,,,,4949.5,1425.300049,,,4518.799805,,729.200012,,,,,,,729.200012,6673.299866,,1710.900024,1710.900024,,,,3303.0,,,,,585.700073,,,585.700073,5599.600098,2519.600098,,,,733.099976,,,,733.099976,3252.700073,8852.300171,0,839.0,,,-13.2,,1944.7,2770.5,,2770.5,11622.800171,
04/30/1992,11949.700195,1214.899963,325.299988,889.599976,3290.800049,,746.0,,,,,13.7,,,,,5265.399902,1417.199951,,,4542.100098,,725.0,,,,,,,725.0,6684.300049,,1675.699951,1675.699951,,,,3399.399902,,,,,614.100342,,,614.100342,5689.200195,2764.300049,,,,720.099976,,,,720.099976,3484.400024,9173.60022,0,840.099976,,,-14.5,,1950.5,2776.099976,,2776.099976,11949.700195,
07/31/1992,12075.099609,1220.300018,314.600006,905.700012,3134.600098,,722.599976,,,,,20.4,,,,,5097.899902,1460.599976,,,4786.100098,,730.5,,,,,,,730.5,6977.200073,,1650.199951,1650.199951,,,,3562.100098,,,,,645.099854,,,645.099854,5857.399902,2711.600098,,,,743.900024,,,,743.900024,3455.500122,9312.900024,0,839.200012,,,-10.1,,1933.1,2762.200012,,2762.200012,12075.100037,
