Date,Assets,Cash & Near Cash Items,Interbanking Assets,Short-Term Investments,Net Loans,Total Loans,Reserve for Losses on Loans,Long-Term Investments,Net Fixed Assets,Other Assets,Customers' Acceptance Liability,Total Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Customer Deposits,ST Borrowings & Repos,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,388.739014,381.054993,22.823999,5042.521973,5109.723145,-67.200996,1893.33606,104.996002,200.914001,0,8034.38623,,869.552979,5822.898926,0.0,5822.898926,0,6692.452148,575.125977,0,85.658997,116.241997,7469.479118,0.0,0,163.509995,401.397003,564.906998,8034.386116,
06/30/1990,,387.432007,373.82901,13.79,5145.684082,5215.223145,-69.539001,1869.463013,108.278999,199.673996,0,8098.150879,,920.250977,5734.191895,0.0,5734.191895,0,6654.442871,704.890991,0,81.904999,75.898003,7517.136864,0.0,0,164.358002,416.656006,581.014008,8098.150871,
09/30/1990,,367.497986,321.296997,10.57,5215.182129,5286.523926,-71.342003,1929.009033,110.444,199.658005,0,8153.658203,,918.031006,5852.253906,0.0,5852.253906,0,6770.285156,626.497986,0,81.692001,78.697998,7557.173141,0.0,0,164.389999,432.095001,596.485001,8153.658142,
12/31/1990,,449.036011,234.434006,13.937,5244.918045,5317.998047,-73.080002,1951.33606,114.265999,197.113998,0,8205.041016,,908.241028,6052.624024,2188.825928,3863.798096,0,6960.865234,487.528992,0,74.810997,74.199997,7597.40522,0.0,0,164.473007,443.162994,607.636001,8205.041221,
03/31/1991,,342.35199,180.078003,9.72,5181.097168,5257.452148,-76.355003,2188.835938,114.302002,192.600998,0,8208.986328,,848.846008,5999.923096,2258.030029,3741.893066,0,6848.769043,571.221985,0,80.813004,85.790001,7586.594032,0.0,0,164.535004,457.856995,622.391998,8208.986031,
06/30/1991,,399.761993,238.326004,6.689,5097.47998,5174.452148,-76.972,2293.799072,113.547997,194.931,0,8344.535156,,888.765991,6115.281982,2335.919922,3779.362061,0,7004.047852,555.825012,0,75.758003,68.684998,7704.315865,0.0,0,165.076996,475.141998,640.218994,8344.534859,
09/30/1991,,405.319,253.582001,66.311996,5041.695801,5122.777832,-81.082001,2704.157959,114.480003,200.341003,0,8785.887695,,950.835022,6361.623047,2443.927002,3917.696045,0,7312.458008,672.093018,0,75.456001,69.432999,8129.440025,0.0,0,165.533005,490.915009,656.448013,8785.888039,
12/31/1991,,424.807007,317.325012,61.297001,5024.344139,5111.369141,-87.025002,2692.177979,112.362999,193.824997,0,8826.138672,,977.85498,6336.124024,3246.600098,3089.523926,0,7313.979004,707.698975,0,62.439999,69.411003,8153.528981,0.0,0,166.162994,506.446991,672.609985,8826.138966,
03/31/1992,,437.763,185.759003,56.485001,4928.994141,5025.026855,-96.032997,3051.306885,113.362,191.990005,0,8965.660156,,903.843994,6482.089111,2627.120117,3854.968994,0,7385.933105,800.179016,0,49.605999,78.751999,8314.470119,0.0,0,128.455994,522.734009,651.190002,8965.660122,
06/30/1992,,342.997986,216.018005,55.306999,4848.564941,4951.599121,-103.033997,3034.02002,112.396004,211.733002,0,8821.037109,,916.879028,6369.691162,2735.121094,3634.570068,0,7286.569824,754.788025,0,16.252001,86.426003,8144.035852,0.0,0,143.546997,533.453979,677.000977,8821.036829,
