Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2004,347.577,,,-223.502,,124.075,,-33.342,,,,,,,90.733,-35.213,33.854,38.316,-4.462,,1.359,55.52,13.736,69.256,,,,69.256,,69.256,,,69.256,69.256,,330.950389,0.21,0.21,0.19,331.844228,0.21,0.21,0.19,
03/31/2005,403.794,,,-188.409,,215.385,,-88.886,,,,,3.386,,126.499,-153.686,19.689,27.083,-7.394,0.0,133.997,-27.187,34.299,7.112,0.0,,,7.112,0.0,7.112,0.0,0.0,7.112,7.112,95.967,354.160692,0.02,0.02,0.29,355.029968,0.02,0.02,0.29,
06/30/2005,398.821,,,-184.652,,214.169,,-100.184,,,,,,,113.985,-16.135,10.836,17.969,-7.133,0.0,5.299,97.85,-11.421,86.429,0.0,,,86.429,0.0,86.429,0.0,0.0,86.429,86.429,,354.160692,0.24,0.24,0.27,354.795833,0.24,0.24,0.27,
09/30/2005,437.622,,,-231.962,,205.66,,-96.654,,,,,,,109.006,-22.337,21.96,30.597,-8.637,0.0,0.377,86.669,-6.573,80.096,0.0,,,80.096,0.0,80.096,0.0,0.0,80.096,80.096,,354.160692,0.23,0.23,0.25,354.445509,0.23,0.23,0.25,
12/31/2005,500.675,,,-254.706,,245.969,,-104.567,,,,,,,141.402,-10.798,,20.643,-9.947,0.0,0.102,130.604,-20.555,110.049,0.0,,,110.049,0.0,110.049,0.0,0.0,110.049,110.049,,354.16,0.31,0.31,0.33,354.46,0.31,0.31,0.33,
03/31/2006,530.364,,,-267.549,,262.815,,-112.854,,,,,4.989,,149.961,-12.118,19.514,29.728,-10.214,0.0,-7.396,137.843,-16.06,121.783,0.0,,,121.783,0.0,121.783,0.0,0.0,121.783,121.783,12.324,354.199253,0.34,0.34,0.381,354.592597,0.34,0.34,0.38,
06/30/2006,517.007,,,-277.781,,239.226,,-113.355,,,,,3.321,,125.871,-9.137,8.667,23.685,-15.018,0.0,0.47,116.734,-7.405,109.329,0.0,,,109.329,0.0,109.329,0.0,0.0,109.329,109.329,11.955,354.255635,0.31,0.31,0.342,355.259487,0.31,0.31,0.341,
09/30/2006,553.228,,,-291.297,,261.931,,-128.07,,,,,3.693,,133.861,-25.377,24.314,45.343,-21.029,0.0,1.063,108.484,-11.233,97.251,0.0,,,97.251,0.0,97.251,0.0,0.0,97.251,97.251,20.302,354.296742,0.27,0.27,0.332,355.220167,0.27,0.27,0.331,
12/31/2006,636.26,,,-393.71,,242.55,0.0,-76.226,,,,,,,166.324,-25.139,25.48,45.41,-19.93,0.0,-0.341,141.185,-27.545,113.64,0.0,,,113.64,0.0,113.64,0.0,0.0,113.64,113.64,,354.358181,0.32,0.32,0.375,355.694143,0.32,0.32,0.374,
03/31/2007,628.218,,,-342.285,,285.933,,-154.749,,,,,15.516,,131.184,-29.159,68.768,81.432,-12.664,0.0,-39.609,102.025,-11.111,90.914,0.0,,,90.914,0.0,90.914,0.0,0.0,90.914,90.914,22.562,354.613724,0.26,0.26,0.323,356.114292,0.26,0.26,0.322,
