Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,LT Investments & LT Receivables,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,690,1901,1810,1710,726,6837,8401.0,2361,,,2255,13017,19854,,731,6068,2428,9227,4424,1502,5926,15153,0,171,,4530,4701,19854,
06/30/1990,,921,1998,1835,1677,728,7159,8987.0,2346,,,2174,13507,20666,,739,6411,2267,9417,4959,1481,6440,15857,0,170,,4639,4809,20666,
09/30/1990,,939,1978,1743,1775,637,7072,9344.0,2370,,,2306,14020,21092,,728,6227,2207,9162,5456,1599,7055,16217,0,170,,4705,4875,21092,
12/31/1990,,492,1031,1847,1722,863,5955,7490.0,2506,4850.0,-2344.0,6082,16078,22033,,805,6138,2328,9271,6091,2603,8694,17965,0,171,1029.0,2868,4068,22033,
03/31/1991,,806,1649,1677,1749,964,6845,7769.0,2473,,,4826,15068,21913,,760,6344,1942,9046,6094,2669,8763,17809,0,170,,3934,4104,21913,
06/30/1991,,381,866,1759,1844,888,5738,7835.0,2470,,,5780,16085,21823,,730,5049,1887,7666,6766,2705,9471,17137,0,172,1595.0,2919,4686,21823,
09/30/1991,,1386,1304,1672,1879,875,7116,4877.0,2463,,,7461,14801,21917,,811,5811,2158,8780,7037,3114,10151,18931,0,172,1597.0,1217,2986,21917,
12/31/1991,,545,0,1143,1318,251,3257,102.0,1922,4128.0,-2206.0,5053,7077,10334,,585,2559,1885,5029,1251,281,1532,6561,0,19,1432.0,2322,3773,10334,
03/31/1992,,695,895,1580,1997,550,5717,5083.0,2495,,,7157,14735,20452,,789,6314,2245,9348,4702,2756,7458,16806,0,183,1423.0,2040,3646,20452,
06/30/1992,,697,944,1726,1794,640,5801,4908.0,2431,,,6667,14006,19807,,868,5543,2228,8639,4621,2267,6888,15527,8,189,1950.0,2133,4280,19807,
09/30/1992,,522,761,1632,1817,622,5354,4919.0,2377,,,7066,14362,19716,,773,5429,2257,8459,4326,2734,7060,15519,8,196,1942.0,2051,4197,19716,
12/31/1992,,769,0,1321,1723,701,4514,210.0,2028,4289.0,-2261.0,3093,5331,9845,,609,1554,1972,4135,1341,2113,3454,7589,8,33,1916.0,299,2256,9845,
03/31/1993,,768,0,1188,1050,1032,4038,,1765,,,4619,6384,10422,,520,1512,1850,3882,1320,2800,4120,8002,8,36,1901.0,475,2420,10422,
06/30/1993,,650,0,1304,1532,1183,4669,,1962,,,4490,6452,11121,,565,1495,2133,4193,1336,3700,5036,9229,8,37,1890.0,-43,1892,11121,
09/30/1993,,469,0,1279,1600,1343,4691,,1926,,,4565,6491,11182,,539,912,2208,3659,1936,3670,5606,9265,8,40,1880.0,-11,1917,11182,
12/31/1993,,637,0,1381,1920,836,4774,206.0,1964,4315.0,-2351.0,3609,5779,10553,,656,671,2598,3925,1885,3664,5549,9474,8,34,1868.0,-831,1079,10553,
03/31/1994,,499,0,1273,2006,901,4679,,1901,,,3763,5664,10343,,582,202,2332,3116,1882,3743,5625,8741,12,30,2362.0,-802,1602,10343,
06/30/1994,,426,0,1264,1986,854,4530,0.0,1883,,,3729,5612,10142,,591,120,2095,2806,1881,3802,5683,8489,12,32,2349.0,-740,1653,10142,
09/30/1994,,315,0,1349,2375,785,4824,,1894,,,3783,5677,10501,,677,131,2460,3268,1883,3685,5568,8836,12,36,2336.0,-719,1665,10501,
12/31/1994,,329,0,1194,1293,582,3398,115.0,1282,2965.0,-1683.0,4375,5772,9170,,688,641,1583,2912,1865,2548,4413,7325,12,30,2325.0,-522,1845,9170,
03/31/1995,,291,0,1462,2254,810,4817,127.0,1768,4222.0,-2454.0,3868,5763,10580,,704,831,2139,3674,1884,3208,5092,8766,12,33,2317.0,-548,1814,10580,
06/30/1995,,466,0,1513,2275,782,5036,139.0,1737,,,3912,5788,10824,,732,1102,1974,3808,1566,3596,5162,8970,12,34,2304.0,-496,1854,10824,
