Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/29/2008,,100.0,52.0,152.0,20.0,,20.0,,2.782415,1.446856,4.229271,,0.481556,0.250409,0.731966,
06/28/2008,,48.0,53.0,101.0,34.0,,34.0,,1.267159,1.399155,2.666315,,0.231929,0.256088,0.488017,
09/27/2008,,37.0,48.0,85.0,68.0,,68.0,,1.045493,1.356315,2.401808,,0.178865,0.232041,0.410906,
01/03/2009,,,,,,,,,5.705833,,5.705833,,0.673955,,0.673955,
04/04/2009,,87.0,3.0,90.0,11.0,41.0,52.0,,3.525122,0.121556,3.646677,,0.424059,0.014623,0.438682,
07/04/2009,0.0,85.0,3.0,88.0,7.0,8.0,15.0,0.0,2.910959,0.10274,3.013699,0.0,0.428341,0.015118,0.443459,
10/03/2009,6.0,121.0,88.0,,,29.0,,0.202566,4.085078,2.970966,,0.030063,0.606273,0.440926,,
01/02/2010,7.0,118.0,,125.0,,22.0,22.0,0.2477,4.175513,,4.423213,0.036959,0.62302,,0.659979,
04/03/2010,,125.0,,125.0,,8.0,8.0,,4.399859,,4.399859,,0.690226,,0.690226,
07/03/2010,,2.0,,2.0,,,,,0.068634,,0.068634,,0.01168,,0.01168,
10/02/2010,,77.0,,77.0,,8.0,8.0,,2.578701,,2.578701,,0.480859,,0.480859,
04/02/2011,,97.0,,97.0,,5.0,5.0,,3.178244,,3.178244,,0.644133,,0.644133,
10/01/2011,,39.0,,39.0,,15.0,15.0,,1.177536,,1.177536,,0.255219,,0.255219,
12/29/2012,,17.0,,17.0,,13.0,13.0,,0.568372,,0.568372,,0.130438,,0.130438,
12/28/2013,,,,,,,,,,,0.0,,,,0.0,
01/02/2016,,,,,,,,,,,0.0,,,,0.0,
12/31/2016,,,,,,,,,0.125583,,0.125583,,0.045579,,0.045579,
12/30/2017,,,,,,,,,0.230211,,0.230211,,0.084746,,0.084746,
06/30/2018,,9.0,,9.0,,6.0,6.0,,0.167848,,0.167848,,0.061822,,0.061822,
09/29/2018,,7.0,,7.0,,2.0,2.0,,0.126285,,0.126285,,0.04772,,0.04772,
12/29/2018,,,,,,,,,0.038521,,0.038521,,0.014021,,0.014021,
06/29/2019,,2.0,,2.0,,3.0,3.0,,0.037481,,0.037481,,0.013517,,0.013517,
09/28/2019,,3.0,,3.0,,5.0,5.0,,0.055026,,0.055026,,0.019918,,0.019918,
01/04/2020,,,,,,,,,0.036245,,0.036245,,0.013317,,0.013317,
04/04/2020,,14.0,,14.0,,18.0,,,0.252982,,0.252982,,0.087796,,0.087796,
07/04/2020,,6.0,,6.0,,8.0,8.0,,0.108558,,0.108558,,0.038782,,0.038782,
