Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2984.0,116.500002,8.6,107.900002,552.900024,,,405.799988,,,,,151.899994,,,,,1227.099976,999.799988,,,0.0,757.099976,,,,,757.099976,1756.899963,,,,,,,54.599998,,,,,,571.900002,,,571.900002,626.5,773.700012,,,,,449.100006,,,,,,449.100006,1222.800018,1849.300018,0.0,,,,,,1134.699951,1134.699951,0.0,1134.699951,2983.999969,
06/30/1990,3085.600098,231.0,8.5,222.5,544.700012,,,402.899994,,,,,148.399994,,,,,1327.0,1015.5,,,0.0,743.099976,,,,,743.099976,1758.599976,,,,,,,60.400002,,,,,,595.399986,,,595.399986,655.799988,815.700012,,,,,448.200012,,,,,,448.200012,1263.900024,1919.700012,0.0,,,,,,1165.900024,1165.900024,0.0,1165.900024,3085.600037,
09/30/1990,3043.899902,186.199994,7.3,178.899994,534.700012,,,421.600006,,,,,151.699997,,,,,1294.199951,1056.5,,,0.0,693.200012,,,,,693.200012,1749.700012,,,,,,,61.0,,,,,,607.900024,,,607.900024,668.900024,756.700012,,,,,471.5,,,,,,471.5,1228.200012,1897.100037,0.0,,,,,,1146.800049,1146.800049,0.0,1146.800049,3043.900085,
12/31/1990,3013.0,217.0,30.0,187.0,498.0,,,430.0,,,,,151.0,,,,,1296.0,1086.0,2030.0,-944.0,0.0,631.0,,,,,631.0,1717.0,,241.0,241.0,,,,60.0,,,,,,332.0,,,332.0,633.0,755.0,,,,,485.0,,,,,,485.0,1240.0,1873.0,0.0,294.0,,,,,846.0,1140.0,0.0,1140.0,3013.0,
03/31/1991,2969.0,119.0,11.0,108.0,508.0,,,429.0,,,,,163.0,,,,,1219.0,1055.0,,,0.0,695.0,,,,,695.0,1750.0,,,,,,,79.0,,,,,,568.0,,,568.0,647.0,769.0,,,,,463.0,,,,,,463.0,1232.0,1879.0,0.0,,,,,,1090.0,1090.0,0.0,1090.0,2969.0,
06/30/1991,2934.0,60.0,11.0,49.0,526.0,,,414.0,,,,,152.0,,,,,1152.0,1033.0,,,0.0,749.0,,,,,749.0,1782.0,,,,,,,60.0,,,,,,568.0,,,568.0,628.0,761.0,,,,,455.0,,,,,,455.0,1216.0,1844.0,0.0,,,,,,1090.0,1090.0,0.0,1090.0,2934.0,
09/30/1991,3047.0,114.0,8.0,106.0,527.0,,,422.0,,,,,137.0,,,,,1200.0,1067.0,,,0.0,780.0,,,,,780.0,1847.0,,,,,,,55.0,,,,,,565.0,,,565.0,620.0,860.0,,,,,448.0,,,,,,448.0,1308.0,1928.0,0.0,,,,,,1119.0,1119.0,0.0,1119.0,3047.0,
12/31/1991,3087.0,122.0,21.0,101.0,484.0,,,440.0,,,,,140.0,,,,,1186.0,1111.0,2136.0,-1025.0,0.0,790.0,,,,,790.0,1901.0,,246.0,246.0,,,,132.0,,,,,,321.0,,,321.0,699.0,795.0,,,,,440.0,,,,,,440.0,1235.0,1934.0,0.0,313.0,,,,,840.0,1153.0,0.0,1153.0,3087.0,
03/31/1992,3064.0,45.0,18.0,27.0,562.0,,,437.0,,,,,151.0,,,,,1195.0,1111.0,2136.0,-1025.0,0.0,758.0,,,,,758.0,1869.0,,,,,,,74.0,,,,,,617.0,,,617.0,691.0,780.0,,,,,429.0,,,,,,429.0,1209.0,1900.0,0.0,,,,,,1164.0,1164.0,0.0,1164.0,3064.0,
06/30/1992,3109.0,43.0,22.0,21.0,577.0,,,435.0,,,,,154.0,,,,,1209.0,1129.0,,,0.0,771.0,,,,,771.0,1900.0,,,,,,,67.0,,,,,,610.0,,,610.0,677.0,778.0,,,,,433.0,,,,,,433.0,1211.0,1888.0,0.0,,,,,,1221.0,1221.0,0.0,1221.0,3109.0,
