Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Intracompany Cost,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,545.437012,380.841003,,147.065994,,0.0,17.530001,,-210.757996,122.888,122.888,87.870003,,,334.679016,-257.399994,37.118999,42.332001,42.359001,135.589996,77.278999,-32.303999,,6.12,40.591999,46.712002,-6.12,0.0,-2.168,44.975,-8.2,36.775002,-37.754002,,,74.529002,0.0,74.528999,-9.373,,65.155999,65.155999,,120.839996,0.54,0.226667,,120.839996,0.54,0.226667,0.226667,
06/30/1990,480.665009,391.854004,,67.903,,0.0,20.908001,,-152.824997,120.161003,120.161003,32.664001,,,327.840012,-253.067001,41.723,42.237999,34.583,134.522995,74.773003,-30.966,,6.511,41.076,47.587002,-6.511,0.0,-3.599,43.807003,-4.948,38.859001,0.0,,,38.859003,0.0,38.859001,-9.746,,29.113001,29.113001,,123.718494,0.233333,0.233333,,123.718494,0.233333,0.233333,0.233333,
09/30/1990,616.338013,533.591003,,51.264999,,0.0,31.482,,-172.003998,150.186005,150.186005,21.818001,,,444.334015,-270.326996,42.310001,42.935001,44.620998,140.460999,174.007004,-36.352998,,6.77,44.669998,51.441002,-6.771,0.0,-1.547,137.654006,-37.334,100.32,0.0,,,100.320006,0.0,100.32,-10.571,,89.749,89.749,,124.612495,0.72,0.72,,124.612495,0.72,0.72,0.72,
12/31/1990,516.822998,377.868011,,107.184998,,0.0,31.77,,-188.261002,129.850998,129.850998,58.41,,,328.561996,-321.242004,42.305,43.081001,35.159,200.697006,7.32,-38.358001,,7.685,48.318001,55.181999,-6.864,0.0,-2.275,-31.038001,30.530001,-0.508,0.0,,,-0.508,0.0,-0.508,-10.571,,-11.079,-11.079,,125.024998,-0.086667,-0.086667,,125.024998,-0.086667,-0.086667,-0.086667,
03/31/1991,594.664001,430.485992,,140.313004,,0.0,23.865,,-229.858002,150.007996,150.007996,79.849998,,,364.806,-276.183014,41.259998,46.785999,46.276001,141.860992,88.623001,-36.936001,,11.599,48.422001,55.240002,-6.818,0.0,0.113,51.687,-10.577,41.110001,-19.745001,,,60.855001,0.0,60.855,-10.57,,50.285,50.285,,125.455502,0.4,0.24,0.24,125.455502,0.4,0.24,0.24,
06/30/1991,567.189026,478.889008,,62.918999,,0.0,25.381001,,-172.576996,144.244003,144.244003,28.333,,,394.61203,-275.824005,42.433998,48.540001,36.542,148.307999,118.788002,-39.284,,7.926,48.951,53.612999,-4.662,0.0,-1.741,79.504002,-20.312,59.192001,0.0,,,59.192002,0.0,59.192001,-11.028,,48.164001,48.164001,,125.931004,0.38,0.38,0.38,125.931004,0.38,0.38,0.38,
09/30/1991,702.047974,634.356018,,43.988998,,0.0,23.702999,,-176.423996,159.917007,159.917007,16.507,,,525.623978,-300.303986,39.655998,52.103001,48.742001,159.802994,225.320007,-54.429,,1.852,55.895,56.993,-1.098,0.0,0.386,170.891007,-54.220001,116.670998,0.0,,,116.671006,0.0,116.670998,-10.574,,106.096997,106.096997,,126.312,0.84,0.84,0.84,126.312,0.84,0.84,0.84,
12/31/1991,595.59198,450.794006,,110.973999,,0.0,33.824001,,-200.804001,144.039001,144.039001,56.764999,,,394.787979,-326.063995,50.298,52.208,39.221001,184.337006,68.723999,-49.951999,,2.219,53.959999,55.251999,-1.292,0.0,-1.789,18.772,-2.064,16.708,0.0,,,16.708,0.0,16.708,-10.574,,6.134,6.134,,126.673496,0.048667,0.046667,0.046667,126.673496,0.048667,0.046667,0.046667,
03/31/1992,671.369019,487.266998,,151.513,,0.0,32.589001,,-243.966995,159.227997,159.227997,84.738998,,,427.402023,-297.757996,41.495998,55.492001,48.103001,152.667007,129.643997,-46.215,,3.157,50.66,52.514999,-1.855,,-1.288,83.428997,-24.176001,59.252998,0.0,,,59.252997,0.0,59.252998,-10.573,,48.679998,48.679998,,129.990005,0.374,0.374,0.373333,129.990005,0.374,0.374,0.373333,
06/30/1992,543.150024,446.829987,,67.237999,,0.0,29.082001,,-156.214005,125.998001,125.998001,30.216,,,386.93602,-292.964996,52.876999,55.460999,40.909,143.718002,93.971001,-43.851,,3.205,49.313,51.073002,-1.76,,-2.257,50.120001,-12.071,38.049,0.0,,,38.049001,0.0,38.049,-10.574,,27.474999,27.474999,,135.320999,0.2,0.2,0.2,135.320999,0.2,0.2,0.2,
