Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/30/1990,4267.834961,41.306,66.738998,,263.971008,,,263.971008,3895.819092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1990,-2917.534912,74.139999,67.210999,,221.082993,,,221.082993,-3279.968994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/28/1990,2162.834961,46.078999,70.752998,,312.721985,,,312.721985,1733.281006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/1990,-3695.623047,30.330999,82.025002,,250.460999,,,250.460999,-4058.439941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/1991,-4740.251953,180.970001,66.731003,,392.609009,,,392.609009,-5380.562012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/1991,1271.327026,184.304001,68.875,,240.326004,,,240.326004,777.822021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1991,-2352.366943,160.160004,71.668999,,333.532013,,,333.532013,-2917.728027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/1991,-2774.930908,170.682999,68.849998,,468.212006,,,468.212006,-3482.676025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/27/1992,-3068.258057,217.464996,67.741997,,589.093994,,,589.093994,-3942.559082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/26/1992,404.049988,226.229996,68.663002,,471.588989,,,471.588989,-362.432007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/1992,-2633.418945,228.688995,71.570999,,-979.723022,,,-979.723022,-1953.956055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/1992,82.878998,221.440994,73.251999,,1673.636963,,,1673.636963,-1885.45105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.878998,,,
03/31/1993,-5913.129883,306.966003,69.898003,,425.394989,,,425.394989,-6715.38916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
