Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2004,2026.191,3.75,3.75,,53.176,53.176,,1.683,1.683,,,,7.635,,,,,,,66.244,765.43,,,,,1194.517,1057.007,1057.007,0.0,137.51,1959.947,,13.418,13.418,,,,49.128,,,,,,62.962,,,62.962,125.508,1760.722,,,,,48.115,,,,48.115,1808.837,1934.345,,110.633,,,-0.034,-37.752,-7.371,65.476,26.37,91.846,2026.191,
12/31/2004,1971.167,17.034,17.034,0.0,26.602,26.602,,1.4,,,,,44.976,,,,,,,90.012,749.984,1048.527,-298.543,0.0,,1131.171,1058.235,1058.235,0.0,72.936,1881.155,,5.847,5.847,,,,3.694,,,,,,65.375,,,65.375,74.916,1599.177,,,,,290.603,,,,290.603,1889.78,1964.696,0.0,94.175,,,-0.034,-79.776,-7.894,6.471,,6.471,1971.167,
03/31/2005,1965.85,39.122,39.122,,58.934,58.934,,1.477,1.477,,,,7.828,,,,,,,107.361,745.156,1065.73,-320.574,,,1113.333,1058.235,1058.235,0.0,55.098,1858.489,,7.362,7.362,,,,0.223,0.223,0.0,0.0,,,71.708,,,71.708,79.293,1200.59,1200.59,0.0,0.0,,113.476,,,,113.476,1314.066,1393.359,,941.975,,,-3.193,-340.306,-25.985,572.491,,572.491,1965.85,
06/30/2005,1974.479,60.129,60.129,,58.513,58.513,,1.641,1.641,,,,7.378,,,,,,,127.661,735.146,1079.23,-344.084,,,1111.672,1058.235,1058.235,0.0,53.437,1846.818,,7.079,7.079,,,,0.208,0.208,0.0,0.0,,,86.653,,,86.653,93.94,1190.556,1190.556,0.0,0.0,,125.252,,,,125.252,1315.808,1409.748,,916.893,,,-1.573,-322.232,-28.357,564.731,,564.731,1974.479,
09/30/2005,1952.1,46.721,46.721,,59.503,59.503,,1.356,1.356,,,,7.701,,,,,,,115.281,727.315,1093.75,-366.435,,,1109.504,1058.215,1058.215,0.0,51.289,1836.819,,10.904,10.904,,,,0.123,0.123,0.0,0.0,,,85.342,,,85.342,96.369,1180.555,1180.555,0.0,0.0,,99.245,,,,99.245,1279.8,1376.169,,921.898,,,-1.461,-321.233,-23.273,575.931,,575.931,1952.1,
12/31/2005,4935.8,11.9,11.9,0.0,252.7,252.7,,36.9,,,,,104.4,,,,,,,405.9,2958.5,7333.0,-4374.5,2.0,,1569.4,1536.4,1218.7,317.7,33.0,4529.9,,133.5,133.5,,,,22.1,22.1,0.0,0.0,,,219.7,,,219.7,375.3,238.7,238.7,0.0,0.0,,832.6,,,,832.6,1071.3,1446.6,0.0,0.0,,,,2033.5,1455.7,3489.2,0.0,3489.2,4935.8,
03/31/2006,1957.304,69.848,69.848,,54.496,54.496,,1.373,1.373,,,,11.061,,,,,,,136.778,707.578,1101.8,-394.222,,,1112.948,1057.007,1057.007,0.0,55.941,1820.526,,9.881,9.881,,,,0.016,0.016,0.0,0.0,,,79.13,,,79.13,89.027,1180.555,1180.555,0.0,0.0,,121.638,,,,121.638,1302.193,1391.22,,892.717,,,-0.433,-321.319,-4.881,566.084,,566.084,1957.304,
06/30/2006,1969.885,92.169,92.169,,23.841,23.841,,1.513,1.513,,,,38.616,,,,,,,156.139,698.172,1113.731,-415.559,,,1115.574,1057.007,1057.007,0.0,58.567,1813.746,,11.769,11.769,,,,,0.0,0.0,0.0,,,84.826,,,84.826,96.595,1180.555,1180.555,0.0,0.0,,132.667,,,,132.667,1313.222,1409.817,,884.876,,,-0.296,-321.319,-3.193,560.068,,560.068,1969.885,
09/30/2006,8161.8,373.0,373.0,,420.4,420.4,,40.1,,,,,34.8,,,,,,,868.3,3890.3,8590.0,-4699.7,17.9,,3385.3,3112.2,1999.4,1112.8,273.1,7293.5,,215.4,215.4,,,,21.2,21.2,0.0,0.0,,,415.9,,,415.9,652.5,5477.4,5477.4,0.0,0.0,,1429.1,,,,1429.1,6906.5,7559.0,,556.8,,,-0.3,71.6,-25.3,602.8,,602.8,8161.8,
12/31/2006,8030.7,386.8,386.8,0.0,337.2,337.2,,43.5,43.5,0.0,0.0,0.0,109.2,,,,,,,876.7,3939.8,8724.3,-4784.5,7.7,,3206.5,3065.4,1965.0,1100.4,141.1,7154.0,,169.5,169.5,,,,32.2,32.2,0.0,0.0,,,482.9,,,482.9,684.6,5456.2,5456.2,0.0,0.0,,1420.1,,,,1420.1,6876.3,7560.9,0.0,550.5,,,0.0,70.1,-150.8,469.8,0.0,469.8,8030.7,
