Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,190,190.0,,812.83197,0.23375,0.23375,0.23375,812.83197,0.23375,0.23375,0.23375,
12/31/1988,2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,163,163.0,,809.935974,0.20125,0.20125,0.20125,809.935974,0.20125,0.20125,0.20125,
03/31/1989,2680,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,141,141.0,,811.512024,0.17375,0.17375,0.17375,811.512024,0.17375,0.17375,0.17375,
06/30/1989,3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,141,141.0,,811.512024,0.17375,0.17375,0.17375,811.512024,0.17375,0.17375,0.17375,
09/30/1989,2643,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,108,108.0,,807.47998,0.13375,0.13375,0.13375,807.47998,0.13375,0.13375,0.13375,
12/31/1989,2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,107,107.0,,815.23999,0.13125,0.13125,0.13125,815.23999,0.13125,0.13125,0.13125,
03/31/1990,2937,,,-2395.0,,,542.0,,-394.0,,,,148.0,-2.0,,62.0,,,,-60.0,146.0,-47.0,99.0,0.0,,,99.0,0.0,99,0.0,,99,99.0,,811.200012,0.12125,0.12125,,811.200012,0.12125,0.12125,0.12125,
06/30/1990,2947,,,-2441.0,,,506.0,,-406.0,,,,100.0,-45.0,,74.0,,,,-29.0,55.0,-9.0,46.0,0.0,,,46.0,0.0,46,0.0,,46,46.0,,811.200012,0.0575,0.0575,,811.200012,0.0575,0.0575,0.0575,
09/30/1990,2795,,,-2279.0,,,516.0,,-411.0,,,,105.0,-31.0,,62.0,,,,-31.0,74.0,-20.0,54.0,0.0,,,54.0,0.0,54,0.0,,54,54.0,,809.599976,0.0675,0.0675,,809.599976,0.0675,0.0675,0.0675,
12/31/1990,2757,,,-2251.0,,,506.0,,-465.0,,,,41.0,-58.0,,60.0,,,,-2.0,-17.0,-2.0,11.0,0.0,,,-19.0,0.0,11,0.0,,11,11.0,,807.244019,0.01375,0.01375,,807.244019,0.01375,0.01375,0.01375,
03/31/1991,2675,,,-2253.0,,,422.0,,-385.0,,,,37.0,-84.0,,73.0,,,,11.0,-47.0,15.0,-32.0,0.0,,,-32.0,0.0,-32,0.0,,-32,-32.0,,807.200012,-0.04,-0.04,,807.200012,-0.04,-0.04,-0.04,
06/30/1991,2691,,,-2278.0,,,413.0,,-387.0,,,,26.0,-54.0,,72.0,,,,-18.0,-28.0,11.0,-17.0,0.0,,,-17.0,0.0,-17,0.0,,-17,-17.0,,807.200012,-0.02,-0.02,,807.200012,-0.02,-0.02,-0.02,
09/30/1991,2358,,,-1973.0,,,385.0,,-404.0,,,,-19.0,-39.0,,75.0,,,,-36.0,-58.0,21.0,-37.0,0.0,,,-37.0,0.0,-37,0.0,,-37,-37.0,,807.200012,-0.04625,-0.04625,,807.200012,-0.04625,-0.04625,-0.04625,
12/31/1991,2458,,,-2122.0,,,336.0,,-473.0,,,,-137.0,-295.0,,74.0,,,,221.0,-432.0,105.0,-318.0,0.0,,,-327.0,0.0,-318,0.0,,-318,-318.0,,807.291992,-0.395,-0.395,,807.291992,-0.395,-0.395,-0.395,
03/31/1992,2183,,,-1960.0,,,223.0,,-404.0,,,,-181.0,-72.0,,79.0,,,,-7.0,-253.0,96.0,-157.0,2217.0,,,-2374.0,0.0,-2374,0.0,,-2374,-2374.0,,807.200012,-2.94125,-0.195,,807.200012,-2.94125,-0.195,-0.195,
06/30/1992,2600,,,-2217.0,,,383.0,,-425.0,,,,-42.0,-48.0,,85.0,,,,-37.0,-90.0,26.0,-64.0,0.0,,,-64.0,0.0,-64,0.0,,-64,-64.0,,807.200012,-0.07875,-0.07875,,807.200012,-0.07875,-0.07875,-0.07875,
09/30/1992,2677,,,-2183.0,,,494.0,,-415.0,,,,79.0,-61.0,,76.0,,,,-15.0,18.0,-13.0,5.0,0.0,,,5.0,0.0,5,0.0,,5,5.0,,807.200012,0.00625,0.00625,,807.200012,0.00625,0.00625,0.00625,
12/31/1992,2734,,,-2257.0,,,477.0,,-422.0,,,,55.0,-62.0,,84.0,,5.0,,-27.0,-7.0,5.0,-2.0,0.0,,,-2.0,0.0,-2,0.0,,-2,-2.0,,807.616028,-0.0025,-0.0025,,807.616028,-0.0025,-0.0025,-0.0025,
03/31/1993,2697,,,-2214.0,,,483.0,,-396.0,,,,87.0,-43.0,,69.0,,,,-26.0,44.0,-10.0,34.0,0.0,,,34.0,0.0,34,0.0,,34,34.0,,808.0,0.0425,0.0425,,808.0,0.0425,0.0425,0.0425,
06/30/1993,2905,,,-2340.0,,,565.0,,-427.0,,,,138.0,-49.0,,72.0,,,,-23.0,89.0,-22.0,67.0,0.0,,,67.0,0.0,67,0.0,,67,67.0,,808.640015,0.0825,0.0825,,808.640015,0.0825,0.0825,0.0825,
09/30/1993,2845,,,-2268.0,,,577.0,,-425.0,,,,152.0,226.0,,66.0,,,,-292.0,378.0,54.0,432.0,0.0,,,432.0,0.0,432,0.0,,432,432.0,,811.952026,0.5325,0.5325,,811.952026,0.5325,0.5325,0.5325,
12/31/1993,3168,,,-2425.0,,,743.0,,-494.0,,,,249.0,-37.0,,61.0,,,,-24.0,212.0,-64.0,148.0,29.0,,,119.0,0.0,119,0.0,,119,119.0,,814.296021,0.14625,0.18125,,814.296021,0.14625,0.18125,0.18125,
03/31/1994,3286,,,-2529.0,,,757.0,,-432.0,,,,325.0,-54.0,,51.0,,,,3.0,271.0,-79.0,192.0,0.0,,,192.0,0.0,192,0.0,,192,192.0,,815.335999,0.23625,0.23625,,815.335999,0.23625,0.23625,0.23625,
06/30/1994,3605,,,-2781.0,,,824.0,,-460.0,,,,364.0,-24.0,,50.0,,,,-26.0,340.0,-100.0,240.0,0.0,,,240.0,0.0,240,0.0,,240,240.0,,813.895996,0.295,0.295,,813.895996,0.295,0.295,0.295,
09/30/1994,3509,,,-2728.0,,,781.0,,-447.0,,,,334.0,-15.0,,49.0,,,,-34.0,319.0,-75.0,244.0,0.0,,,244.0,0.0,244,0.0,,244,244.0,,812.192017,0.3,0.3,,812.192017,0.3,0.3,0.3,
12/31/1994,3928,,,-3006.0,,,922.0,,-511.0,,,,411.0,-32.0,,50.0,,,,-18.0,379.0,-100.0,279.0,0.0,,,279.0,0.0,279,0.0,,279,279.0,,811.599976,0.345,0.345,,811.599976,0.345,0.345,0.345,
03/31/1995,3913,,,-2956.0,,,957.0,,-501.0,,,,456.0,-13.0,,48.0,,,,-35.0,443.0,-143.0,300.0,0.0,,,300.0,0.0,300,0.0,,300,300.0,,800.400024,0.375,0.375,0.375,800.400024,0.375,0.375,0.375,
06/30/1995,4213,,,-3182.0,,,1031.0,,-535.0,,,,496.0,-17.0,,48.0,,,,-31.0,479.0,-156.0,323.0,0.0,,,323.0,0.0,323,0.0,,323,323.0,,798.799988,0.405,0.405,0.405,798.799988,0.405,0.405,0.405,
09/30/1995,3733,,,-2958.0,,,775.0,,-498.0,,,,277.0,5.0,,48.0,,,,-53.0,282.0,-69.0,213.0,0.0,,,213.0,0.0,213,0.0,,213,213.0,,793.200012,0.2675,0.2675,0.2675,793.200012,0.2675,0.2675,0.2675,
12/31/1995,4213,,,-3197.0,,,1016.0,,-564.0,,,,452.0,-19.0,,47.0,,,,-28.0,433.0,-133.0,300.0,0.0,,,300.0,0.0,300,0.0,,300,300.0,,783.440002,0.3825,0.3825,0.3825,783.440002,0.3825,0.3825,0.3825,
03/31/1996,3844,,,-2853.0,,,991.0,,-547.0,,,,444.0,-5.0,,49.0,,,,-44.0,439.0,-143.0,296.0,0.0,,,296.0,0.0,296,0.0,,296,296.0,,775.599976,0.38,0.38,0.38,784.0,0.38,0.38,0.38,
06/30/1996,4180,,,-3052.0,,,1128.0,,-568.0,,,,560.0,-5.0,,49.0,,,,-44.0,555.0,-181.0,374.0,0.0,,,374.0,0.0,374,0.0,,374,374.0,,773.599976,0.485,0.485,0.485,781.799988,0.48,0.48,0.48,
09/30/1996,4033,,,-2988.0,,,1045.0,,-596.0,,,,449.0,-1.0,,48.0,,,,-47.0,448.0,-138.0,310.0,0.0,,,310.0,0.0,310,0.0,,310,310.0,,768.0,0.405,0.405,0.405,777.799988,0.4,0.4,0.4,
12/31/1996,4470,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,,,381,381.0,,763.219971,0.4975,0.4975,0.4975,763.219971,0.4975,0.4975,0.4975,
03/31/1997,4262,,,-3060.0,,,1202.0,0.0,-615.0,498.0,,117.0,587.0,3.0,,52.0,,,,-42.0,590.0,-196.0,394.0,0.0,,,394.0,0.0,394,0.0,0.0,394,394.0,,758.323976,0.52,0.52,0.52,767.599976,0.515,0.515,0.515,
06/30/1997,4870,,,-3535.0,,,1335.0,0.0,-682.0,547.0,,135.0,653.0,-15.0,,58.0,,,14.0,-43.0,638.0,-217.0,435.0,,,,435.0,0.0,435,0.0,0.0,435,435.0,,754.2,0.575,0.575,0.575,767.2,0.565,0.565,0.565,
09/30/1997,4600,,,-3374.0,,,1226.0,0.0,-693.0,561.0,,132.0,533.0,9.0,,53.0,,,9.0,-62.0,542.0,-166.0,385.0,0.0,,,385.0,,385,0.0,0.0,385,385.0,,749.4,0.515,0.515,0.515,762.8,0.505,0.505,0.505,
12/31/1997,5193,,,-3778.0,,,1415.0,,-770.0,,,,645.0,23.0,,56.0,,,,-79.0,668.0,-217.0,451.0,0.0,,,451.0,0.0,451,0.0,,451,451.0,,739.666016,0.61,0.61,0.61,751.169983,0.6,0.6,0.6,
03/31/1998,4794,,,-3435.0,,,1359.0,0.0,-742.0,587.0,,155.0,617.0,20.0,,61.0,,,,-73.0,637.0,-207.0,430.0,,,,430.0,,430,,0.0,430,430.0,,734.2,0.585,0.585,0.585,745.0,0.575,0.575,0.575,
06/30/1998,5604,,,-4099.0,,,1505.0,0.0,-799.0,634.0,,165.0,706.0,-40.0,,69.0,,,,-29.0,666.0,-220.0,446.0,,,,446.0,,446,,0.0,446,446.0,,731.8,0.61,0.61,0.61,743.6,0.6,0.6,0.6,
09/30/1998,5173,,,-3883.0,,,1290.0,0.0,-794.0,631.0,,163.0,496.0,-22.0,,68.0,,,,-43.0,474.0,-138.0,336.0,0.0,,,336.0,0.0,336,,0.0,336,336.0,,723.799988,0.465,0.465,0.465,733.599976,0.46,0.46,0.46,
12/31/1998,5406,,,-4103.0,,,1303.0,0.0,-869.0,709.0,,160.0,434.0,-33.0,,66.0,,,,-40.0,401.0,-100.0,301.0,,,,301.0,,301,,0.0,301,301.0,,716.146,0.42,0.42,0.42,725.172,0.415,0.415,0.415,
03/31/1999,4867,,,-3707.0,,,1160.0,0.0,-808.0,653.0,,155.0,352.0,-51.0,,67.0,,,,-16.0,301.0,-96.0,205.0,0.0,,,205.0,,205,,0.0,205,205.0,,712.6,0.29,0.29,0.29,721.0,0.285,0.285,0.285,
06/30/1999,5101,,,-3879.0,,,1222.0,0.0,-784.0,632.0,,152.0,438.0,-16.0,,65.0,,,-3.0,-49.0,422.0,-136.0,283.0,,,,283.0,,283,,0.0,283,283.0,,711.8,0.4,0.4,0.4,722.2,0.39,0.39,0.39,
09/30/1999,4715,,,-3612.0,,,1103.0,0.0,-767.0,616.0,,151.0,336.0,-9.0,,71.0,,,-4.0,-62.0,327.0,-104.0,219.0,,,,219.0,,219,,0.0,219,219.0,,710.0,0.31,0.31,0.31,719.8,0.305,0.305,0.305,
12/31/1999,5019,,,-3843.0,,,1176.0,0.0,-808.0,640.0,,168.0,368.0,-66.0,,66.0,,,-13.0,-69.0,371.0,-119.0,239.0,0.0,,,239.0,0.0,239,0.0,0.0,239,239.0,,708.739384,0.337218,0.337218,0.337218,711.93828,0.335703,0.335703,0.335703,
03/31/2000,4919,,,-3711.0,,,1208.0,0.0,-792.0,637.0,,155.0,416.0,-35.0,71.0,71.0,,,,-41.0,381.0,-123.0,258.0,0.0,,,258.0,0.0,258,0.0,0.0,258,258.0,,703.152,0.365,0.365,0.365,708.42,0.365,0.365,0.365,
06/30/2000,5363,,,-4010.0,,,1353.0,0.0,-804.0,647.0,,157.0,549.0,-83.0,74.0,74.0,,,,1.0,466.0,-151.0,315.0,0.0,,,315.0,0.0,315,0.0,0.0,315,315.0,,694.132,0.455,0.455,0.455,698.756,0.45,0.45,0.45,
09/30/2000,4779,,,-3657.0,,,1122.0,0.0,-811.0,650.0,,161.0,311.0,-50.0,71.0,71.0,,,,-25.0,261.0,-45.0,216.0,0.0,,,216.0,0.0,216,0.0,0.0,216,216.0,,689.012,0.315,0.315,0.315,692.596,0.31,0.31,0.31,
12/31/2000,5114,,,-3807.0,,,1307.0,,-846.0,,,,461.0,-69.0,,76.0,,,,-7.0,392.0,-128.0,264.0,0.0,,,264.0,0.0,264,0.0,0.0,264,264.0,,687.048,0.385,0.385,0.385,690.866,0.38,0.38,0.38,
03/31/2001,4810,,,-3644.0,,,1166.0,0.0,-857.0,621.0,,236.0,309.0,-72.0,,78.0,,,,-4.0,237.0,-75.0,162.0,0.0,,,162.0,0.0,162,0.0,0.0,162,162.0,,686.63,0.235,0.235,0.235,693.27,0.235,0.235,0.235,
06/30/2001,5488,,,-4130.0,,,1358.0,0.0,-900.0,655.0,,245.0,458.0,-59.0,,75.0,,,,-19.0,399.0,-128.0,271.0,0.0,,,271.0,0.0,271,0.0,0.0,271,271.0,,686.68,0.395,0.395,0.395,695.558,0.39,0.39,0.39,
