Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/22/1997,2237.0,,,-1256.0,,981.0,,-831.0,,,,150.0,-54.0,66.0,66.0,,,0.0,,-12.0,96.0,-44.0,,52.0,0.0,,,52.0,0.0,52.0,,,52.0,52.0,-12.0,,,,,,,,,
06/14/1997,2353.0,,,-720.0,,1633.0,,-1435.0,,,,198.0,-31.0,65.0,0.0,,,0.0,,-34.0,167.0,-46.0,,121.0,0.0,,,121.0,0.0,121.0,,,121.0,121.0,-34.0,,,,,,,,,
09/06/1997,2300.0,,,-698.0,,1602.0,,-1443.0,,,,159.0,-21.0,57.0,57.0,,,0.0,,-36.0,138.0,-59.0,,79.0,0.0,,,79.0,0.0,79.0,0.0,,79.0,79.0,-36.0,,,,,,,,,
12/27/1997,2791.0,,,-2329.0,,462.0,,-307.0,,,,155.0,-591.0,,88.0,,,0.0,,503.0,-436.0,73.0,,-363.0,0.0,,,-363.0,0.0,-363.0,0.0,0.0,-363.0,-363.0,,608.0,-0.5975,-0.5975,-0.5975,608.0,-0.5975,-0.5975,-0.5975,
03/21/1998,1921.0,,,-579.0,,1342.0,,-1203.0,,,,139.0,-40.0,,69.0,,,0.0,,-29.0,99.0,-45.0,,54.0,0.0,,,54.0,0.0,54.0,0.0,,54.0,54.0,,608.0,0.09,0.09,0.065,616.0,0.0875,0.0875,0.0625,
06/13/1998,2007.0,,,-591.0,,1416.0,,-1227.0,,,,189.0,6.0,67.0,71.0,,,0.0,,-73.0,195.0,-83.0,,112.0,0.0,,,112.0,0.0,112.0,0.0,,112.0,112.0,,608.0,0.185,0.185,0.1175,620.0,0.18,0.18,0.1125,
09/05/1998,2021.0,,,-592.0,,1429.0,,-1209.0,,,,220.0,-3.0,,62.0,,,0.0,,-59.0,217.0,-89.0,,128.0,0.0,,,128.0,0.0,128.0,0.0,,128.0,128.0,,612.0,0.21,0.21,0.15,628.0,0.205,0.205,0.145,
12/26/1998,2529.0,,,-759.0,,1770.0,,-1550.0,,,,220.0,25.0,,74.0,,,0.0,,-99.0,245.0,-94.0,,151.0,0.0,,,151.0,0.0,151.0,0.0,,151.0,151.0,,612.0,0.2475,0.2475,0.1475,612.0,0.2375,0.2375,0.1375,
03/20/1999,1813.0,,,-528.0,,1285.0,,-1083.0,,,,202.0,-18.0,48.0,52.0,-4.0,,,,-30.0,184.0,-78.0,,106.0,0.0,,,106.0,0.0,106.0,0.0,,106.0,106.0,-19.32,612.0,0.1725,0.1725,0.1425,644.0,0.165,0.165,0.135,
06/12/1999,1886.0,,,-534.0,,1352.0,,-1132.0,,,,220.0,78.0,51.0,53.0,-2.0,,,,-129.0,298.0,-119.0,,179.0,0.0,,,179.0,0.0,179.0,0.0,,179.0,179.0,-77.4,616.0,0.29,0.29,0.165,652.0,0.275,0.275,0.15,
