Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,436.519012,-158.237,278.282013,-230.929001,47.353001,0,1.05,48.403001,-17.667999,30.735001,0.0,0,30.735001,0,30.735001,,30.735001,,0.29,0.29,107.032997,,,,,
03/31/1990,451.256989,-157.097,294.159988,-251.423004,42.737,0,-0.492,42.244999,-15.418,26.827,0.0,0,26.827,0,26.827,,26.826999,,0.25,0.25,109.303001,,,,,
06/30/1990,472.028015,-169.438995,302.58902,-252.115997,50.473,0,-0.499,49.974,-17.538,32.436001,0.0,0,32.436001,0,32.436001,,32.435999,,0.3,0.3,109.530998,,,,,
09/30/1990,506.069,-183.145996,322.923004,-274.799988,48.123001,0,-1.513,46.610001,-14.776,31.834,0.0,0,31.834,0,31.834,,31.834001,0.29,0.29,0.29,105.370003,0.29,0.29,0.29,105.370003,
12/31/1990,443.786011,-170.317001,273.469009,-260.654999,12.814,0,-1.771,11.043,-4.031,7.012,0.0,0,7.012,0,7.012,,7.012,,0.07,0.07,106.300003,,,,,
03/31/1991,489.364014,-192.322998,297.041016,-267.360992,29.68,0,-1.346,28.334,-10.342,17.992001,0.0,0,17.992001,0,17.992001,,17.992,,0.17,0.17,107.247002,,,,,
06/30/1991,479.881989,-185.287994,294.593994,-281.15799,13.436,0,-0.307,13.129,-5.842,7.287,0.0,0,7.287,0,7.287,,7.287,,0.07,0.07,108.317001,,,,,
09/30/1991,509.147003,-209.979004,299.167999,-295.957001,3.211,0,1.472,4.683,-1.803,2.88,0.0,0,2.88,0,2.88,,2.88,0.02,0.02,0.02,107.780998,0.02,0.02,0.02,107.780998,
12/31/1991,454.510986,-185.436005,269.074982,-284.424011,-15.349,0,-96.760002,-112.109002,17.5,-94.609001,0.0,0,-94.609001,0,-94.609001,,-94.609002,,-0.88,-0.88,108.065002,,,,,
03/31/1992,502.873993,-202.587997,300.285995,-288.341003,11.945,0,0.963,12.908,-4.1,8.808,0.0,0,8.808,0,8.808,,8.808,,0.08,0.08,109.871002,,,,,
06/30/1992,503.246002,-203.270996,299.975006,-278.623993,21.351,0,0.83,22.181,-4.8,17.381001,0.0,0,17.381001,0,17.381001,,17.381,,0.16,0.16,110.615997,,,,,
09/30/1992,576.286011,-238.442993,337.843018,-285.204987,52.638,0,-7.22,45.418,-18.181999,27.236,0.0,0,27.236,0,27.236,,27.236001,0.26,0.26,0.26,110.405502,0.26,0.26,0.26,110.405502,
12/31/1992,483.877991,-191.774002,292.103989,-284.665985,7.438,0,0.696,8.134,-2.993,5.141,12.371,0,17.511999,0,17.511999,,5.141,,0.05,0.16,112.714996,,,,,
03/31/1993,517.646973,-215.884995,301.761978,-285.205994,16.556,0,1.013,17.569,-6.466,11.103,0.0,0,11.103,0,11.103,,11.103,,0.1,0.1,113.509003,,,,,
06/30/1993,475.579987,-221.882004,253.697983,-297.886993,-44.188999,0,-450.341003,-494.530003,-55.0,-549.530029,0.0,0,-549.530029,0,-549.530029,,-549.530003,,-4.88,-4.88,112.611,,,,,
09/30/1993,553.85498,-256.513,297.34198,-292.585999,4.756,0,0.932,5.688,-2.5,3.188,0.0,0,3.188,0,3.188,,3.188,0.03,0.03,0.03,113.177002,0.03,0.03,0.03,113.177002,
12/31/1993,475.553009,-220.891006,254.662003,-250.591003,4.071,0,23.433001,27.504001,-2.6,24.903999,0.0,0,24.903999,0,24.903999,,24.904001,,0.22,0.22,111.797997,,,,,
03/31/1994,484.127991,-218.270996,265.856995,-237.990997,27.865999,0,0.417,28.282999,-2.5,25.783001,0.0,0,25.783001,0,25.783001,,25.782999,,0.23,0.23,113.518997,,,,,
06/30/1994,543.940979,-245.268997,298.671982,-247.990005,50.681999,0,0.328,51.009999,-2.5,48.509998,0.0,0,48.509998,0,48.509998,,48.509999,,0.43,0.43,113.510002,,,,,
09/30/1994,604.413025,-270.837006,333.576019,-259.601013,73.974998,0,0.428,74.402998,-3.4,71.002998,0.0,0,71.002998,0,71.002998,,71.002998,0.62,0.62,0.62,114.970001,0.62,0.62,0.62,114.970001,
12/31/1994,445.893005,-202.791,243.102005,,,0,-211.936996,,,31.165001,4.06,0,35.224998,0,35.224998,,,0.27,0.27,0.3,117.986,,,,,
03/31/1995,428.683014,-205.975998,222.707016,,,0,-208.548004,,,14.159,7.527,0,21.686001,0,21.686001,,,0.12,0.12,0.18,119.084,,,,,
06/30/1995,499.151001,-237.766998,261.384003,-223.194,38.189999,0,1.135,39.324999,-11.324,28.000999,2.843,0,30.844,0,30.844,-2.843,25.157998,0.24,0.24,0.26,118.055,,,,,
09/30/1995,546.708984,-276.980988,269.727997,-236.035004,33.693001,0,1.063,34.756001,-11.67,23.086,-3.295,0,19.791,0,19.791,,23.086001,0.2,0.2,0.17,117.742996,,,,,
12/31/1995,420.979004,-207.382004,213.597,-228.927994,-15.331,0,0.343,-14.988,-6.944,-21.931999,23.898001,0,1.966,0,1.966,,-21.932,-0.18,-0.183,0.02,117.452003,,,,,
03/31/1996,469.94101,-236.343994,233.597015,-221.061005,12.536,0,-51.634998,-39.098998,-7.894,-46.993,-2.564,0,-49.556999,0,-49.556999,,-46.992998,-0.4,-0.4,-0.42,117.310997,,,,,
06/30/1996,465.778015,-227.011002,238.767014,-208.531998,30.235001,0,0.022,30.257001,-6.919,23.337999,-15.44,0,7.898,0,7.898,15.44,38.778,0.2,0.2,0.07,118.977997,,,,,
09/30/1996,543.244995,-270.872986,272.372009,-225.205002,47.167,0,0.238,47.405,-7.243,40.161999,-23.226,0,16.936001,0,16.936001,,40.162,0.34,0.335,0.14,118.884003,,,,,
12/31/1996,435.731995,-208.882996,226.848999,-213.285004,13.564,0,6.2,19.764,-8.0,11.764,0.0,0,11.764,0,11.764,,11.764,0.1,0.1,0.1,120.830002,,,,,
03/31/1997,467.322998,-227.735001,239.587997,-207.440994,32.146999,0,1.357,33.503999,-8.5,25.004,0.989,0,25.993,0,25.993,,25.003999,0.21,0.21,0.22,120.249001,,,,,
06/30/1997,502.574005,-235.354004,267.220001,-217.033005,50.187,0,2.049,52.236,-9.0,43.236,0.0,0,43.236,0,43.236,,43.236,0.36,0.36,0.36,119.524002,,,,,
