Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,2.918,-2.06,13.224,0.492,,,0.492,-8.738,,,-8.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,42.686001,9.606,14.112,4.502,,,4.502,14.466,,,14.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,66.677002,19.742001,14.263,11.988,,,11.988,20.684,,,20.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-9.114,-10.121,19.031,-17.892,,,-17.892,-0.132,,,-0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,-7.395,-9.982,18.951,-4.993,,,-4.993,-11.371,,,-11.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,51.41,4.479,20.077999,7.165,,,7.165,19.688,,,19.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,23.450001,16.736,20.533001,12.769,,,12.769,-26.587999,,,-26.587999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,15.078,-0.895,25.964001,-14.226,,,-14.226,4.235,,,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,-6.331,-20.249001,23.118999,-2.128,,,-2.128,-7.073,,,-7.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,29.461,-17.774,22.830999,-11.342,,,-11.342,35.745998,,,35.745998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
