Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2006,7788,865,865,0.0,1285,1285,,680,,,,,1085,,,,,3915,1660,,,1383,,830,444,444,0,,,,830.0,-444,3873,,797,797,,,,483,,,,,,806,,,806,2086,15,,,,,5144,,,,,5144,5159,7245,0,0,,,0,,456,456,87,543,7788,
06/30/2006,7956,871,871,0.0,1352,1352,,681,,,,,1057,,,,,3961,1703,,,1442,,850,439,439,0,,,,,411,3995,,1039,1039,,,,502,,,,,,949,,,949,2490,16,,,,,4886,,,,,4886,4902,7392,0,0,,,0,,484,484,80,564,7956,
09/30/2006,7451,785,785,,1266,1266,,732,,,,,920,,,,,3703,1805,,,1316,,627,409,409,0,,,,,218,3748,,861,861,,,,478,,,,,,954,,,954,2293,16,,,,,4937,,,,,4937,4953,7246,0,0,,,0,,123,123,82,205,7451,
12/31/2006,6664,704,704,0.0,1131,1131,,725,274.0,451.0,,0.0,694,,,,,3254,1776,,,663,,971,416,416,0,,,,,555,3410,,886,886,,,,293,,,,,,837,,,837,2016,22,,,,,5460,,,,,5460,5482,7498,0,351,,,0,80.0,-1265,-834,0,-834,6664,
03/31/2007,6971,1250,1250,0.0,1334,1334,,729,300.0,429.0,,,618,,,,,3931,1746,,,1061,,233,302,302,0,,,,233.0,-302,3040,,1051,1051,,,,361,,,,,,1796,,,1796,3208,21,,,,,4603,,,,,4603,4624,7832,0,0,,,0,,-861,-861,0,-861,6971,
06/30/2007,6907,1001,1001,0.0,1411,1411,,773,322.0,451.0,,,737,,,,,3922,1732,,,1042,,211,423,423,0,,,,,-212,2985,,1146,1146,,,,265,,,,,,1833,,,1833,3244,20,,,,,4218,,,,,4218,4238,7482,0,0,,,0,,-575,-575,0,-575,6907,
09/30/2007,6846,1035,1035,0.0,1410,1410,,843,348.0,495.0,,,511,,,,,3799,1741,,,1099,,207,435,435,0,,,,,-228,3047,,1135,1135,,,,192,,,,,,1759,,,1759,3086,21,,,,,4275,,,,,4275,4296,7382,0,0,,,0,,-536,-536,0,-536,6846,
12/31/2007,6425,1271,1271,0.0,1197,1197,,812,331.0,481.0,,0.0,512,,,,,3792,1763,,,349,,521,349,349,0,,,,,172,2633,,1072,1072,,,,1183,,,,,,697,,,697,2952,19,,,,,4236,,,,,4236,4255,7207,0,352,,,0,-468.0,-666,-782,0,-782,6425,
03/31/2008,7703,1283,1283,0.0,1444,1444,,1017,383.0,634.0,,,487,,,,,4231,2049,,,252,,1171,988,310,678,,,,183.0,0,3472,,1214,1214,,,,127,,,,,,965,,,965,2306,1321,,,,,907,,,,,907,2228,4534,771,2268,,,0,-29.0,44,3054,115,3169,7703,
06/30/2008,7482,1191,1191,0.0,1431,1431,,1041,401.0,640.0,,,442,,,,,4105,2039,,,269,,1069,897,248,649,,,,172.0,0,3377,,1203,1203,,,,62,,,,,,926,,,926,2191,1318,,,,,879,,,,,879,2197,4388,771,2311,,,0,-177.0,74,2979,115,3094,7482,
09/30/2008,6555,1007,1007,,1205,1205,,1000,413.0,587.0,,,314,,,,,3526,1915,,,255,,859,716,117,599,,,,143.0,0,3029,,1047,1047,,,,67,,,,,,688,,,688,1802,1320,,,,,851,,,,,851,2171,3973,771,2319,,,0,-456.0,-162,2472,110,2582,6555,
