Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
05/31/1999,13.376,,-7.746,,5.630001,,-9.837,,,,,,-4.207,,,,0.0,,0.0,,,-4.136,0.0,,,,0.0,-14.851,-0.043,,-14.894,-14.894,,51.877998,-0.08,-0.08,-0.08,51.877998,-0.08,-0.08,-0.08,
08/31/1999,16.306,,-9.84,,6.466,,-14.289,,,,,,-7.823,,,,-0.337,,0.337,,,-7.739,0.0,,,,0.0,-4.844,-0.039,,-4.883,-4.883,,70.584,-0.11,-0.11,-0.11,70.584,-0.11,-0.11,-0.11,
11/30/1999,16.764999,,-10.653,,6.112,,-13.849,,,,,,-7.737,,,,0.0,,0.0,,,-6.468,0.0,,,,0.0,-6.468,0.0,,-6.468,-6.468,,140.839996,-0.05,-0.05,-0.05,140.839996,-0.05,-0.05,-0.05,
02/29/2000,18.33,,-10.867,,7.463,,-34.383999,,,,,,-26.921,,,,,,,,,-24.084,0.0,,,,0.0,-24.084,0.0,,-24.084,-24.084,,147.503006,-0.16,-0.16,-0.16,147.503006,-0.16,-0.16,-0.16,
05/31/2000,22.159,,-11.22,,10.939,,-33.778,,,,,,-22.839001,5.482,,,-5.415,0.0,-0.067,-17.357001,-0.064,-17.422001,0.0,,,-17.421001,0.0,-17.422001,0.0,0.0,-17.422001,-17.422001,,159.464005,-0.11,-0.11,-0.02,159.464005,-0.11,-0.11,-0.02,
08/31/2000,25.052999,,-12.508,,12.544999,,-38.139999,,,,,,-25.594999,5.624,,,-5.672,0.0,0.048,-19.970999,-0.035,-20.006001,0.0,,,-20.005999,0.0,-20.006001,0.0,0.0,-20.006001,-20.006001,,163.975998,-0.12,-0.12,-0.02,163.975998,-0.12,-0.12,-0.02,
11/30/2000,29.195999,,-13.185,,16.010999,,-46.240002,,,,,,-30.229,5.162,,,-5.381,0.0,0.219,-25.067,0.0,-25.066999,0.0,,,-25.067,0.0,-25.066999,0.0,0.0,-25.066999,-25.066999,,167.143997,-0.15,-0.15,0.0,169.968002,-0.15,-0.15,0.0,
02/28/2001,21.976,,-8.982,,12.993999,,-38.652,,,,,,-25.658001,4.597,,,,0.0,-4.597,-21.061001,0.0,-21.061001,3.159,,,-24.220001,0.0,-24.219999,0.0,0.0,-24.219999,-24.219999,,168.156006,-0.14,-0.12,0.0,168.156006,-0.14,-0.12,0.0,
05/31/2001,21.361,,-8.512,,12.849,,-43.200001,,,,,,-30.351,4.48,,,,0.0,-4.48,-25.871,0.0,-25.871,1.689,,,-27.56,0.0,-27.559999,0.0,0.0,-27.559999,-27.559999,,169.003006,-0.16,-0.15,0.0,169.003006,-0.16,-0.15,0.0,
08/31/2001,18.927,,-6.329,,12.598,,-32.298,,,,,,-19.700001,-32.630001,,,,0.0,32.630001,-52.330002,0.0,-52.330002,3.02,,,-55.350002,0.0,-55.349998,0.0,0.0,-55.349998,-55.349998,,169.968002,-0.33,-0.31,-0.31,169.968002,-0.33,-0.31,-0.31,
11/30/2001,20.052999,,-7.308,,12.744999,,-26.157,,,,,,-13.412,1.365,,,,0.0,-1.365,-12.047,0.0,-12.047,3.009,,,-15.056,0.0,-15.056,0.0,0.0,-15.056,-15.056,,169.242004,-0.09,-0.07,0.01,169.242004,-0.09,-0.07,0.01,
02/28/2002,18.569,,-6.388,,12.181,,-25.915001,,,,,,-13.734,-15.532,,,,0.0,15.532,-29.266,0.0,-29.266001,12.984,,,-42.25,0.0,-42.25,0.0,0.0,-42.25,-42.25,,169.593002,-0.25,-0.17,0.01,169.593002,-0.25,-0.17,0.01,
05/31/2002,19.521999,,-7.269,,12.252999,,-18.108999,,,,,,-5.856,1.529,,,,0.0,-1.529,-4.327,0.0,-4.327,0.261,,,-4.588,0.0,-4.588,0.0,0.0,-4.588,-4.588,,169.826004,-0.03,-0.03,0.0,169.826004,-0.03,-0.03,0.0,
08/31/2002,21.233999,,-7.619,,13.614999,,-18.209,,,,,,-4.594,2.643,,,,0.0,-2.643,-1.951,0.0,-1.951,0.0,,,-1.951,0.0,-1.951,0.0,0.0,-1.951,-1.951,,169.977005,-0.01,-0.01,-0.01,169.977005,-0.01,-0.01,-0.01,
11/30/2002,24.278,,-8.188,,16.09,,-18.983999,,,,,,-2.894,3.108,,,,0.0,-3.108,0.214,0.0,0.214,0.0,,,0.214,0.0,0.214,0.0,0.0,0.214,0.214,,170.182999,0.0,0.0,0.0,178.268005,0.0,0.0,0.0,
02/28/2003,25.891001,,-8.386,,17.505001,,-19.865,,,,,,-2.36,2.085,,,,0.0,-2.085,-0.275,0.0,-0.275,0.0,,,-0.275,0.0,-0.275,0.0,0.0,-0.275,-0.275,,170.656006,0.0,0.0,0.0,170.656006,0.0,0.0,0.0,
05/31/2003,26.124001,,-8.382,,17.742001,,-19.275999,,,,,,-1.534,2.581,,,,0.0,-2.581,1.047,0.0,1.047,0.0,,,1.047,0.0,1.047,0.0,0.0,1.047,1.047,,171.145996,0.01,0.01,0.01,180.671005,0.01,0.01,0.01,
08/31/2003,28.959,,-7.844,,21.115,,-20.573999,,,,,,0.541,3.097,,,,0.0,-3.097,3.638,0.0,3.638,0.0,,,3.638,0.0,3.638,0.0,0.0,3.638,3.638,,172.126999,0.02,0.02,0.02,182.376999,0.02,0.02,0.02,
11/30/2003,32.883,,-8.793,,24.09,,-22.474,,,,,,1.616,2.645,0.049,0.049,,0.0,-2.694,4.261,0.0,4.261,0.0,,,4.261,0.0,4.261,0.0,0.0,4.261,4.261,,173.996,0.02,0.02,0.02,184.21,0.02,0.02,0.02,
02/29/2004,36.965,,-9.024,,27.941,,-25.407,,,,,,2.534,2.45,,,,0.0,-2.45,4.984,0.0,4.997,0.0,,,4.984,0.0,4.997,0.0,0.0,4.997,4.997,,178.847,0.03,0.03,0.03,191.641006,0.03,0.03,0.03,
05/31/2004,41.764,,-8.345,,33.419,,-28.275,,,,,,5.144,5.773,,1.563,,0.0,-7.336,10.917,0.0,10.917,0.0,,,10.917,0.0,10.917,0.0,0.0,10.917,10.917,,182.481995,0.06,0.06,0.06,195.632996,0.06,0.06,0.06,
08/31/2004,46.324001,,-8.846,,37.478001,,-30.733999,,,,,,6.744,4.44,,,,0.0,-4.44,11.184,0.641,11.825,0.0,,,11.825,0.0,11.825,0.0,0.0,11.825,11.825,,183.421997,0.06,0.06,0.06,195.391006,0.06,0.06,0.06,
11/30/2004,50.925,,-10.089,,40.836,,-33.245,,,,,,7.591,3.7,1.684,1.684,,0.0,-5.384,11.291,-0.447,10.844,0.0,,,10.844,0.0,10.844,0.0,0.0,10.844,10.844,,182.34,0.06,0.06,0.06,192.226,0.06,0.06,0.06,
02/28/2005,57.453,,-10.593,,46.86,,-39.393,,,,,,7.467,4.082,,1.634,,0.0,-5.716,11.549,0.291,11.84,0.0,,,11.84,0.0,11.84,0.0,0.0,11.84,11.84,,178.233,0.07,0.07,0.07,210.956,0.06,0.06,0.06,
05/31/2005,60.78,,-11.968,,48.812,,-41.165,,,,,,7.647,6.169,1.566,1.566,,0.0,-7.735,13.816,-1.381,12.435,0.0,,,12.435,0.0,12.435,0.0,0.0,12.435,12.435,,176.781,0.07,0.07,0.07,206.907,0.07,0.07,0.07,
08/31/2005,65.718,,-11.592,,54.126,,-42.199,,,,,,11.927,6.664,1.556,1.556,,0.0,-8.22,18.591,-1.859,16.732,0.0,,,16.732,0.0,16.732,0.0,0.0,16.732,16.732,,177.208,0.09,0.09,0.09,208.583,0.09,0.09,0.09,
11/30/2005,73.112,,-11.857,,61.255,,-42.506,,,,,,18.749,5.155,1.49,1.49,,0.0,-6.645,23.904,-0.701,23.203,0.0,,,23.203,0.0,23.203,0.0,0.0,23.203,23.203,,177.615,0.13,0.13,0.13,211.783,0.12,0.12,0.12,
02/28/2006,78.72,,-13.09,,65.63,,-45.871,,,,,,19.759,5.946,,1.507,,0.0,-7.453,25.705,1.61,27.315,0.0,,,27.315,0.0,27.315,0.0,0.0,27.315,27.315,,180.898,0.15,0.15,0.15,213.482,0.13,0.13,0.13,
05/31/2006,84.002,,-13.445,,70.557,,-57.945,44.13,30.501,,,13.815,12.612,9.218,,1.484,,0.0,-10.702,21.83,-8.077,13.753,0.0,,,13.753,0.0,13.753,0.0,0.0,13.753,13.753,,183.579,0.07,0.07,0.07,214.325,0.07,0.07,0.07,
08/31/2006,99.673,,-16.42,,83.253,,-73.801,55.733,37.807,,,18.068,9.452,8.083,,1.49,,0.0,-9.573,17.535,-6.488,11.047,0.0,,,11.047,0.0,11.047,0.0,0.0,11.047,11.047,,190.292,0.06,0.06,0.06,219.94,0.05,0.05,0.05,
11/30/2006,105.826,,-17.44,,88.386,,-74.799,55.599,37.575,,,19.2,13.587,9.619,,1.494,,0.0,-11.113,23.206,-8.586,14.62,0.0,,,14.62,0.0,14.62,0.0,0.0,14.62,14.62,,191.298,0.08,0.08,0.08,219.458,0.07,0.07,0.07,
02/28/2007,111.121,,-17.429,,93.692,,-77.054,57.1,39.68,,,19.954,16.638,10.353,,1.549,,0.0,-11.902,26.991,-6.504,20.487,0.0,,,20.487,0.0,20.487,0.0,0.0,20.487,20.487,,192.303,0.11,0.11,0.11,220.594,0.1,0.1,0.1,
05/31/2007,118.873,,-18.264,,100.609,,-85.657,63.87,46.209,,,21.787,14.952,12.083,,1.495,,0.0,-13.578,27.035,-10.814,16.221,0.0,,,16.221,0.0,16.221,0.0,0.0,16.221,16.221,0.0,193.082,0.08,0.08,0.08,221.407,0.08,0.08,0.08,
08/31/2007,127.27,,-20.064,,107.206,,-89.41,66.026,46.093,,,23.384,17.796,12.465,,1.565,,0.0,-14.03,30.261,-12.104,18.157,0.0,,,18.157,0.0,18.157,0.0,0.0,18.157,18.157,0.0,193.634,0.09,0.09,0.09,221.688,0.09,0.09,0.09,
11/30/2007,135.381,,-20.926,,114.455,,-95.002,69.072,47.653,,,25.93,19.453,12.859,,1.581,,0.0,-14.44,32.312,-12.029,20.283,0.0,,,20.283,0.0,20.283,0.0,0.0,20.283,20.283,0.0,194.038,0.1,0.1,0.1,221.547,0.1,0.1,0.1,
02/29/2008,141.493,,-21.4,,120.093,,-101.921,75.605,52.093,,,26.316,18.172,16.76,,1.611,,0.0,-18.371,34.932,-12.926,22.006,0.0,,,22.006,0.0,22.006,0.0,0.0,22.006,22.006,0.0,193.189,0.11,0.11,0.11,220.356,0.1,0.1,0.1,
05/31/2008,156.635,156.635,-26.429,26.429,130.206,0.0,-110.296,81.385,59.271,22.114,28.911,0.0,19.91,8.434,,1.586,,,-10.02,28.344,-11.054,17.29,0.0,0.0,0.0,17.29,0.0,17.29,0.0,0.0,17.29,17.29,0.0,190.779,0.09,0.09,0.09,218.853,0.08,0.08,0.08,
08/31/2008,164.383,164.383,-27.508,27.508,136.875,0.0,-115.471,83.743,59.566,24.177,31.728,0.0,21.404,13.248,,1.53,,,-14.778,34.652,-13.514,21.138,0.0,0.0,0.0,21.138,0.0,21.138,0.0,0.0,21.138,17.888,-3.25,191.485,0.11,0.11,0.093417,220.039,0.1,0.1,0.08523,
11/30/2008,165.332,165.332,-26.536,26.536,138.796,0.0,-117.826,83.282,58.514,24.768,34.544,0.0,20.97,12.546,,1.249,,,-13.795,33.516,-9.211,24.305,0.0,0.0,0.0,24.305,0.0,24.305,0.0,0.0,24.305,21.64,-2.665,190.665,0.13,0.13,0.113497,208.408,0.12,0.12,0.107213,
