Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,-4.407,4.138,1.273,0.029,,,0.029,-9.847,,,-9.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,-4.593,1.833,2.911,-0.042,,,-0.042,-9.295,,,-9.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/29/1990,15.964,2.827,2.617,-0.11,,,-0.11,10.63,,,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/1990,-12.304,3.749,3.054,0.123,,,0.123,-19.23,,,-19.23,,,,,,,,,,,,,,,,,,,,,,,,,,-12.304,,,
03/30/1991,8.474,5.831,3.294,,,,,-0.651,,,-0.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1991,-12.25,-4.368,3.754,,,,,-11.636,,,-11.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/28/1991,10.849,6.247,3.957,0.179,,,0.179,0.466,,,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/1991,-48.790001,7.281,4.323,-0.179,,,-0.179,-60.215,,,-60.215,,,,,,,,,,,,,,,,,,,,,,,,,,-48.790001,,,
03/28/1992,11.883,9.351,4.719,,,,,-2.187,,,-2.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/27/1992,-7.446,6.451,5.104,,,,,-19.000999,,,-19.000999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/1992,37.140999,9.758,5.411,,,,,21.972,,,21.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/1992,-52.988998,13.628,5.558,,,,,-72.175003,,,-72.175003,,,,,,,,,,,,,,,,,,,,,,,,,,-52.988998,,,
03/27/1993,68.703003,14.138,6.024,0.0,,,0.0,48.541,,,48.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/26/1993,-12.323,12.587,7.524,0.0,,,0.0,-32.433998,,,-32.433998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/1993,71.724998,42.205002,20.539,0.0,,,0.0,8.981,,,8.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/1993,-41.879002,27.854,,-19.523,,,-19.523,-50.209999,,,-50.209999,,,,,,,,,,,,,,,,,,,,,,,,,,-41.879002,,,
04/01/1994,-0.625,24.546,11.152,,,,,-36.323002,,,-36.323002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/25/1994,8.514,20.957001,11.732,0.0,,,0.0,-24.174999,,,-24.174999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/24/1994,24.504,28.886999,13.098,0.0,,,0.0,-17.481001,,,-17.481001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,14.133,34.598,13.926,13.635002,,,13.635002,-48.026001,,,-48.026001,,,,,,,,,,,,,,,,,,,,,,,,,,14.133,,,
04/01/1995,-22.813999,32.473999,14.534,,,,,-69.821999,,,-69.821999,,,-47.326,,,,-47.326,,,,,,,,,,47.326,,,,,,,,,,,,
07/01/1995,-64.466003,27.417999,15.843,0.0,,,0.0,-107.726997,,,-107.726997,,,-50.773998,,,,-50.773998,,,,,,,,,,50.773998,,,,,,,,,,,,
09/30/1995,150.988998,36.841999,16.875,2.349,,,2.349,94.922997,,,94.922997,,,-56.272999,,,,-56.272999,,,,,,,,,,56.272999,,,,,,,,,,,,
12/30/1995,-37.735001,35.665001,17.577999,16.427,,,16.427,-107.404999,,,-107.404999,,-65.518997,-65.518997,,,,-65.518997,,,,,,,,,,0.0,,,,,,,,,-103.253998,,,
03/30/1996,14.576,33.483002,19.091,5.225,,,5.225,-43.223,,,-43.223,,,-28.174999,,,,-28.174999,,,,,,,,,,28.174999,,,,,,,,,,,,
06/29/1996,-68.470001,28.237,19.934,5.09,,,5.09,-121.731003,,,-121.731003,,,-51.205002,,,,-51.205002,,,,,,,,,,51.205002,,,,,,,,,,,,
09/28/1996,132.684006,31.858,21.333,26.492001,,,26.492001,53.000999,,,53.000999,,,-48.446999,,,,-48.446999,,,,,,,,,,48.446999,,,,,,,,,,,,
12/28/1996,34.173,35.464001,22.167,-16.962999,,,-16.962999,-6.495,,,-6.495,,,-49.061001,,,,-49.061001,,,,,,,,,,49.061001,,,,,,,,,,,,
03/29/1997,193.087006,38.786999,23.691,16.16,,,16.16,114.448997,,,114.448997,,-21.183001,-21.183001,0.0,,,-21.183001,,,0.0,0.0,0.0,,,,,0.0,-138.717004,0.0,-140.576004,2.779,2.779,0.0,-0.92,,33.187,,,
06/28/1997,2.117,30.474001,24.207001,15.503,,,15.503,-68.067001,,,-68.067001,,-18.291,-18.291,0.0,,,-18.291,,,0.0,0.0,0.0,,,,,0.0,1.494,0.0,-0.647,2.338,2.338,0.0,-0.197,,-14.68,,,
09/27/1997,136.227005,61.737999,24.466,3.729,,,3.729,46.293999,,,46.293999,,-13.775,-13.775,0.0,,,-13.775,,,0.0,0.0,0.0,,,,,0.0,1.736,0.0,-0.632,2.492,2.492,0.0,-0.124,,124.188004,,,
12/27/1997,115.543999,103.862,47.112,77.039001,,,77.039001,-112.469002,,,-112.469002,,-87.806999,-107.836997,4.127,,,-111.963997,,,0.0,0.0,0.0,,,,,20.029998,1.619,0.0,-10.033,12.35,12.35,0.0,-0.698,,29.356001,,,
