Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/14/2001,1364.313965,19.620001,19.620001,0.0,90.401001,,,788.77301,0.0,0.0,788.77301,0.0,18.878,,,,,917.671997,400.972992,611.749023,-210.776001,0.0,45.668999,,,,45.668999,446.641991,,401.039001,401.039001,,,,0.0,,,,,,189.609009,,,,189.609009,590.64801,554.81897,,,,,39.487999,,,39.487999,594.306969,1184.954979,0.0,373.252991,,,0.0,,-193.893997,179.358994,0.0,179.358994,1364.313972,
12/29/2001,1950.615,18.117,18.117,0.0,93.704,,,982.0,0.0,0.0,982.0,0.0,42.027,,,,,1135.848,711.282,950.486,-239.204,0.0,103.485,,,,103.485,814.767,,429.041,429.041,,,,58.463,,,,,,206.245,,,,206.245,693.749,932.022,,,,,36.273,,,36.273,968.295,1662.044,0.0,496.541,,,0.0,,-207.97,288.571,0.0,288.571,1950.615,
07/13/2002,2070.0979,39.543999,39.543999,0.0,118.100998,,,1074.652954,0.0,0.0,1074.652954,0.0,49.970001,,,,,1282.267944,715.697021,1001.002014,-285.304993,0.0,72.133003,,,,72.133003,787.830024,,585.119019,585.119019,,,,11.549,,,,,,248.867992,,,,248.867992,845.536011,762.27002,,,,,35.400002,,,35.400002,797.670022,1643.206033,0.0,606.249023,,,0.0,,-179.356995,426.892028,0.0,426.892028,2070.098061,
10/05/2002,2083.202881,56.842999,56.842999,0.0,131.957001,,,1078.387939,0.0,0.0,1078.387939,0.0,32.064999,,,,,1299.253052,718.35199,1010.869019,-292.516998,0.0,65.598,,,,65.598,783.94999,,554.609009,554.609009,,,,11.542,,,,,,258.958,,,,258.958,825.109009,761.226013,,,,,40.676998,,,40.676998,801.903011,1627.01202,0.0,607.192993,,,0.0,,-151.001999,456.190994,0.0,456.190994,2083.203014,
04/19/2003,1989.851,24.738,24.738,,101.483,101.483,,1066.366,0.0,0.0,1002.563,63.803,42.936,,,,,1235.523,716.804,1057.155,-340.351,0.0,37.524,,,,37.524,754.328,,520.472,520.472,,,,20.775,,,,,,236.287,,,,236.287,777.534,660.314,,,,,65.857,,,65.857,726.171,1503.705,0.0,622.038,,,0.0,-135.234,-0.658,486.146,,486.146,1989.851,
07/12/2003,2002.088,46.074,46.074,,93.35,93.35,,1079.884,,,,,34.664,,,,,1253.972,711.222,1070.502,-359.28,,36.894,,,,36.894,748.116,,591.827,591.827,,,,18.949,,,,,,251.123,,,,251.123,861.899,531.512,,,,,67.698,,,67.698,599.21,1461.109,,635.092,,,,-91.776,-2.337,540.979,,540.979,2002.088,
10/04/2003,2011.249,49.858,49.858,,92.828,92.828,,1102.565,,,,,24.453,,,,,1269.704,707.309,1084.648,-377.339,,34.236,,,,34.236,741.545,,606.343,606.343,,,,24.233,,,,,,258.77,,,,258.77,889.346,456.089,,,,,68.527,,,68.527,524.616,1413.962,,644.9,,,,-46.612,-1.001,597.287,,597.287,2011.249,
01/03/2004,1983.071045,11.487,11.487,0.0,84.799004,,,1113.781006,0.0,0.0,1113.781006,0.0,16.386999,,,,,1226.453979,712.702026,1107.729004,-395.027008,0.0,43.915001,,,,43.915001,756.617027,,568.275024,568.275024,,,,53.305,,,,,,232.364983,,,,232.364983,853.945007,422.779999,,,,,75.101997,,,75.101997,497.881996,1351.827003,0.0,647.112976,,,0.0,-15.34,-0.529,631.243976,0.0,631.243976,1983.070979,
04/24/2004,2063.28,12.867,12.867,,94.299,94.299,,1174.001,0.0,0.0,1109.982,64.019,24.254,,,,,1305.421,710.503,1128.127,-417.624,0.0,47.356,,,,47.356,757.859,,603.148,603.148,,,,32.557,,,,,,286.83,,,,286.83,922.535,374.385,,,,,77.468,,,77.468,451.853,1374.388,0.0,653.291,,,0.0,35.951,-0.35,688.892,0.0,688.892,2063.28,
07/12/2004,2125.947,19.817,19.817,,99.262,99.262,,1189.567,,,,,27.734,,,,,1336.38,743.945,1181.717,-437.772,,45.622,,,,45.622,789.567,,629.915,629.915,,,,28.533,,,,,,313.938,,,,313.938,972.386,317.976,,,,,75.837,,,75.837,393.813,1366.199,,670.307,,,0.0,89.186,0.255,759.748,,759.748,2125.947,
