Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,1084.959961,32.487999,32.487999,0.0,140.440994,,,136.414993,,,,,18.134001,,,,,,327.477997,674.940979,1360.427979,-685.487,0.0,,82.541,,,,,,82.541,757.481979,,76.856003,76.856003,,,,14.043,,,,,,54.957,,,54.957,145.856003,81.403999,,,,,157.466995,,,,,,157.466995,238.870994,384.726997,0.0,702.778015,,,0,,-2.545,700.233015,0.0,700.233015,1084.960012,
03/31/1994,1113.06897,39.178001,39.178001,0.0,165.785995,,,140.033997,,,,,16.598,,,,,,361.596008,668.445007,1369.233032,-700.788025,0.0,,83.028,,,,,,83.028,751.473007,,76.476997,76.476997,,,,14.448,,,,,,60.32601,,,60.32601,151.251007,389.509003,,,,,164.242996,,,,,,164.242996,553.751999,705.003006,0.0,399.919006,,,0,,8.147,408.066007,0.0,408.066007,1113.069013,
06/30/1994,1128.764038,36.219002,36.219002,0.0,175.544998,,,142.274002,,,,,15.213,,,,,,369.251007,673.64502,1399.354004,-725.708984,0.0,,85.867996,,,,,,85.867996,759.513016,,76.25,76.25,,,,15.113,,,,,,69.392997,,,69.392997,160.755997,271.294006,,,,,171.084,,,,,,171.084,442.378006,603.134003,0.0,499.397003,,,0,,26.233,525.630003,0.0,525.630003,1128.764006,
09/30/1994,1162.916992,59.606998,59.606998,0.0,177.942993,,,146.957993,,,,,20.742001,,,,,,405.25,672.164001,1415.178955,-743.015015,0.0,,85.502998,,,,,,85.502998,757.667,,79.137001,79.137001,,,,19.007,,,,,,84.322994,,,84.322994,182.466995,256.446991,,,,,177.632996,,,,,,177.632996,434.079987,616.546982,0.0,499.385986,,,0,,46.984001,546.369987,0.0,546.369987,1162.916969,
12/31/1994,1139.189941,32.113998,32.113998,0.0,182.041,,,156.556,,,,,19.42,,,,,,390.131012,665.130005,1426.470947,-761.341003,0.0,,83.929001,,,,,,83.929001,749.059006,,99.110001,99.110001,,,,18.635,,,,,,63.333994,,,63.333994,181.078995,237.826996,,,,,175.274994,,,,,,175.274994,413.10199,594.180984,0.0,499.385986,,,0,,45.623001,545.008987,0.0,545.008987,1139.189972,
03/31/1995,1199.439941,31.495001,31.495001,0.0,197.714005,,,170.391006,,,,,19.968,,,,,,419.567993,692.026978,1484.003052,-791.976013,0.0,,87.845001,,,,,,87.845001,779.871979,,113.25,113.25,,,,22.576,,,,,,66.332996,,,66.332996,202.158997,236.723007,,,,,189.126007,,,,,,189.126007,425.849014,628.008011,0.0,499.385986,,,0,,72.045998,571.431984,0.0,571.431984,1199.439995,
06/30/1995,1221.380005,33.731998,33.731998,0.0,211.550003,,,164.889008,,,,,20.056,,,,,,430.22699,702.200989,1516.04895,-813.848022,0.0,,88.952003,,,,,,88.952003,791.152992,,106.994003,106.994003,,,,21.327,,,,,,65.938,,,65.938,194.259003,253.468002,,,,,190.643005,,,,,,190.643005,444.111008,638.37001,0.0,499.385986,,,0,,83.624001,583.009987,0.0,583.009987,1221.379997,
09/30/1995,1244.709961,46.563999,46.563999,0.0,215.947998,,,169.089005,,,,,21.686001,,,,,,453.286987,680.786987,1468.55603,-787.768982,0.0,,110.636002,,,,,,110.636002,791.422989,,107.522003,107.522003,,,,22.457001,,,,,,83.832993,,,83.832993,213.811996,253.487,,,,,179.192001,,,,,,179.192001,432.679001,646.490997,0.0,499.385986,,,0,,98.833,598.218987,0.0,598.218987,1244.709984,
12/31/1995,1204.490967,33.130001,33.130001,0.0,198.125,,,177.597,,,,,19.934999,,,,,,428.786987,685.89502,1493.845947,-807.950989,0.0,,89.808998,,,,,,89.808998,775.704018,,102.788002,102.788002,,,,17.02,,,,,,74.410992,,,74.410992,194.218994,200.091995,,,,,187.613998,,,,,,187.613998,387.705994,581.924988,0.0,499.488007,,,0,,123.078003,622.56601,0.0,622.56601,1204.490997,
03/31/1996,1165.484985,329.692993,329.692993,0.0,157.147003,,,86.055,,,,,22.134001,,,,,,595.028992,480.770996,1095.339966,-614.56897,0.0,,89.684998,,,,,,89.684998,570.455994,,78.882004,78.882004,,,,0.461,,,,,,173.429991,,,173.429991,252.772995,9.249,,,,,172.414993,,,,,,172.414993,181.663993,434.436988,0.0,500.062988,,,0,,230.985001,731.047989,0.0,731.047989,1165.484977,
