Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,529.765991,-347.975006,181.790985,-114.121002,67.669998,-55.492001,,,12.177997,-7.765,4.413,3.174,0.0,7.587,-2.0,5.587,2.412997,,0.09,0.21,27.239,,,,,
06/30/1990,533.14801,-359.177002,173.971008,-107.112,66.859001,-57.688999,,,9.170002,-5.429,3.741,5.453,0.0,9.194,-2.0,7.194,1.741002,,0.06,0.26,27.458,,,,,
09/30/1990,500.984009,-336.158997,164.825012,-113.635002,51.189999,-59.812,,-82.961998,-91.584,6.224,-85.360001,0.703,0.0,-84.656998,-2.0,-86.656998,-87.36,,-3.04,-3.02,28.726999,,,,,
12/31/1990,308.700012,-406.0,-97.299988,,-97.300003,,,-144.388,-241.688003,39.487999,-202.199997,-10.3,0.0,-212.5,-1.8,-214.3,-204.000004,-6.79,-6.79,-7.13,30.069,-6.79,-6.79,-7.13,30.069,
03/31/1991,366.484009,-244.261002,122.223007,-89.107002,33.116001,-40.799,,-1.132,-8.814999,-1.065,-9.88,37.783998,0.0,27.903999,-0.702,27.201999,-10.581999,,-0.33,0.86,31.806673,,,,,
06/30/1991,344.308014,-243.688995,100.619019,-88.931999,11.687,-42.949001,,-1.949,-33.211001,9.784,-23.427,9.655,0.0,-13.772,-0.695,-14.467,-24.122001,,-0.75,-0.45,32.273476,,,,,
09/30/1991,349.078003,-228.507996,120.570007,-73.735001,46.834999,-38.171001,,-1.08,7.583998,-2.477,5.107,36.101002,0.0,41.208,-0.694,40.514,4.412998,,0.12,1.16,34.796104,,,,,
12/31/1991,284.5,-305.399994,-20.899994,,-20.9,,,-28.851999,-49.751999,20.152,-29.6,-4.2,0.0,-33.799999,-0.687,-34.486999,-30.286999,-0.84,-0.84,-0.96,36.092999,-0.84,-0.84,-0.96,36.092999,
03/31/1992,331.773987,-213.597,118.176987,-80.663002,37.514,-33.160999,,,4.353001,-1.709,2.644,1.856,0.0,4.5,-0.694,3.806,1.950001,,0.05,0.1,37.032104,,,,,
06/30/1992,332.222992,-223.738998,108.483994,-72.119003,36.365002,-32.276001,,,4.089001,-0.989,3.1,1.057,0.0,4.157,-0.694,3.463,2.406001,,0.06,0.09,37.650501,,,,,
09/30/1992,333.358002,-226.369003,106.988998,-71.681999,35.306999,-31.635,,,3.671999,-2.239,1.433,16.385,0.0,17.818001,-0.694,17.124001,0.738999,,0.02,0.43,39.616749,,,,,
12/31/1992,283.571044,-218.873002,64.698042,41.781997,106.479999,-28.987998,,-104.460999,-26.968998,10.764,-16.205,1.504,0.0,-14.701001,-0.696,-15.397001,-16.900998,-0.37,-0.37,-0.34,45.202068,-0.37,-0.37,-0.34,45.202068,
03/31/1993,334.963013,-227.479996,107.483017,-69.259003,38.223999,-30.487,,,7.737,-3.9,3.837,-36.287002,0.0,-32.450001,-0.694,-33.144001,3.142999,,0.07,-0.72,46.123459,,,,,
06/30/1993,327.872009,-232.158997,95.713013,-62.043999,33.668999,-28.615999,,,5.052999,-2.7,2.353,0.0,0.0,2.353,-0.694,1.659,1.658999,,0.04,0.04,46.495548,,,,,
09/30/1993,173.681,-129.520996,44.160004,,44.16,-24.702999,0.0,0.0,19.457001,-8.254,11.203,-5.308,0.0,5.895,-0.694,5.201,10.509001,,0.22,0.11,48.731998,,,,,
12/31/1993,483.580994,-440.949005,42.631989,-46.493,-3.861,-45.944,0.0,-3.052,-52.857,18.954,-33.903,11.123,0.484,-22.296,-0.696,-22.992,-34.115,-0.73,-0.73,-0.49,46.844318,-0.73,-0.73,-0.49,46.844318,
03/31/1994,212.289001,-140.356003,71.932999,-49.428001,22.504999,-33.240002,0.0,-3.33,-14.065002,5.6,-8.465,-15.728,-1.179,-25.372,-0.694,-26.066,-10.338003,,-0.23,-0.56,48.888,,,,,
06/30/1994,238.436996,-196.25,42.186996,,42.187,-31.843,0.0,0.0,10.344,-4.1,6.244,-51.098,-0.079,-44.932999,-0.694,-45.626999,5.471,,0.12,-0.97,46.900002,,,,,
09/30/1994,261.290985,-209.072998,52.217987,,52.217999,-32.331001,0.0,3.236,23.122997,-10.0,13.123,0.0,-1.349,11.774,-0.694,11.08,11.079997,,0.24,0.24,46.924,,,,,
