Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1997,24.236,57.962,56.178,-89.904,,17.345,-107.249,0.0,,0.0,,-640.153,-78.241,0,,,-78.241,,,0,0,0,,,,,-561.912,689.23,0.0,171.364,,,,517.868,517.868,0.0,-0.002,,73.313,,,
06/30/1997,81.34,87.296,75.406,126.168,,18.886,107.282,-207.53,-85.89,-121.64,,-653.29,-130.497,0,,,-130.497,,,0,0,0,,,,,-522.793,542.318,0.0,538.466,,,,12.252,12.252,0.0,-8.4,,-29.632,,,
09/30/1997,1115.93,55.4,849.51,-121.819,,-295.605,173.786,332.839,21.15,311.689,,345.391,-651.151,0,,,-651.151,,,0,0,0,,,,,996.542,-1658.606,-232.248,-553.376,,,,-841.947,61.014,-902.961,-31.035,,-197.285,,,
12/31/1997,844.4,-1139.553,410.716,1374.032,,-116.169,1490.201,199.205,19.503,179.702,,-829.476,-472.318,0,,,-472.318,,,0,0,0,,,,,-357.158,-23.68,-77.329,81.312,,,,-29.373,67.874,-97.247,1.71,,-8.756,,,
03/31/1998,400.047,181.416,356.302,15.927,,50.155,-34.228,-153.598,78.521,-232.119,,-1733.789,-282.31,0,,,-282.31,,,0,0,0,,,,,-1451.479,1506.581,-78.598,1491.329,,,,80.0,80.0,0.0,13.85,,172.839,,,
06/30/1998,338.806,242.87,387.363,4.812,,0.252,4.56,-296.239,-163.937,-132.302,,-778.837,-453.491,0,,,-453.491,,,0,0,0,,,,,-325.346,487.333,-4.638,-400.254,,,,921.763,921.763,0.0,-29.538,,47.302,,,
09/30/1998,582.837,-1258.473,381.381,912.75,,-550.684,1463.434,547.179,-112.262,659.441,,-712.547,-355.303,0,,,-355.303,,,0,0,0,,,,,-357.244,-100.964,-0.004,-172.092,,,,76.05,76.05,0.0,-4.918,,-230.674,,,
12/31/1998,180.345,63.485,373.666,265.827,,50.119,215.708,-522.633,-59.044,-463.589,,-1329.964,-560.385,0,,,-560.385,,,0,0,0,,,,,-769.579,1057.083,-10.57,1076.004,,,,0.33,0.33,0.0,-8.681,,-92.536,,,
03/31/1999,374.304,364.274,350.329,167.449,,131.99,35.459,-507.748,-34.666,-473.082,,-314.65,-281.272,0,,,-281.272,,,0,0,0,,,,,-33.378,-87.163,0.0,-109.466,,,,0.0,0.0,0.0,22.303,,-27.509,,,
06/30/1999,410.501,318.262,390.336,95.71,,115.017,-19.307,-393.807,-226.926,-166.881,,-435.893,-332.813,0,,,-332.813,,,0,0,0,,,,,-103.08,47.027,0.0,-97.645,,,,165.11,165.11,0.0,-20.438,,21.635,,,
09/30/1999,507.625,-947.773,462.07,667.132,,-136.068,803.2,326.196,139.668,186.528,,-866.991,-262.815,0,,,-262.815,,,0,0,0,,,,,-604.176,500.229,0.0,489.733,,,,10.334,10.334,0.0,0.162,,140.863,,,
12/31/1999,397.159,-114.741,411.43,305.374,,,305.374,-204.904,,-204.904,,-399.379,-449.784,0,,,-449.784,,,0,0,0,,,,,50.405,-38.285,-6.196,-23.168,,,,0.417,0.417,0.0,-9.338,,-40.505,,,
03/31/2000,675.229004,55.002998,350.408997,167.860992,,,167.860992,101.956001,,101.956001,,-290.696014,-248.565002,0,,,-248.565002,,,0,0,0,,,,,-42.131012,-418.467985,0.0,-416.874985,,,,0.0,0.0,0.0,-1.593,,-33.935001,13.0,173.0,
06/30/2000,427.167,0.315,362.308,235.252,,79.79,155.462,-170.708,210.522,-381.23,,676.219,-315.317,0,,,-315.317,,,0,0,0,,,,,991.536,-1147.263,0.0,-1146.124,,,,1.222,1.222,0.0,-2.361,,-43.877,,,
09/30/2000,560.309021,-190.841995,366.61499,477.263,,,477.263,-92.726997,,-92.726997,,648.35199,-349.194,0,,,-349.194,,,0,0,0,,,,,997.54599,-1167.409057,0.0,-1166.508057,,,,0.0,0.0,0.0,-0.901,,41.251999,,,
12/31/2000,462.295013,39.0,349.667999,-30.851999,,,-30.851999,104.478996,,104.478996,,38.125,-399.924011,0,,,-399.924011,,,0,0,0,,,,,438.049011,-550.859981,-6.0,-563.492981,,,,18.778,18.778,0.0,-0.145,,-50.439999,,,
03/31/2001,400.0,124.0,335.0,53.0,,,53.0,-112.0,,-112.0,,-104.0,-144.0,0,,,-144.0,,,0,0,0,,,,,40.0,497.0,0.0,479.0,,,,18.0,18.0,0.0,0.0,,793.0,11.0,128.0,
06/30/2001,466.0,191.0,341.0,41.0,,,41.0,-107.0,,-107.0,,-345.0,-330.0,0,,,-330.0,,,0,0,0,,,,,-15.0,-612.0,0.0,-612.0,,,,20.0,20.0,0.0,-20.0,,-491.0,8.0,184.0,
09/30/2001,642.0,30.0,352.0,289.0,,,289.0,-29.0,,-29.0,,-338.0,-369.0,0,,,-369.0,,,0,0,0,,,,,31.0,-625.0,0.0,-632.0,,,,8.0,8.0,0.0,-1.0,,-321.0,14.0,118.0,
