Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2007,33734,3379,1830,1549.0,1140,1140,,246,,,,,1484,,,,6249,11469,11623,-154,,,,16016,15291,12373,2918,725,27485,,1288,1288,,,,1386,,,,,,5057,,,5057,7731,7553,,,,,8978,,,,8978,16531,24262,,9428,,,-128,164,8,9472,,9472,33734,
09/30/2007,32773,2390,1623,767.0,1213,1213,,257,257.0,0.0,0.0,0.0,1785,,,,5645,11558,11947,-389,0.0,,,15570,14166,12169,1997,1404,27128,,975,975,,,,1201,,,,,,4528,,,4528,6704,7430,,,,,8891,,,,8891,16321,23025,0.0,9479,,,-130,384,15,9748,0.0,9748,32773,
12/31/2007,32423,2786,2648,138.0,1066,1066,,262,262.0,,,,1126,,,,5240,11701,12309,-608,,,,15482,14101,12104,1997,1381,27183,,1045,1045,,,,1309,,,,,,4251,,,4251,6605,7986,7527.0,459.0,459.0,,7719,,,,7719,15705,22310,,9512,,,-148,314,435,10113,,10113,32423,
03/31/2008,26755,2595,2492,103.0,1325,1325,,263,263.0,0.0,0.0,0.0,1146,,,,5329,11945,12781,-836,0.0,,,9481,8761,6010,2751,720,21426,,322,322,,,,732,,,,,,5617,,,5617,6671,8387,,,,,7746,,,,7746,16133,22804,0.0,9528,,,-151,-6076,650,3951,0.0,3951,26755,
06/30/2008,27651,3342,3239,103.0,1418,1418,,225,225.0,,,,2182,,,,7167,11999,13053,-1054,,,,8485,7511,5169,2342,974,20484,,347,347,,,,796,,,,,,6989,,,6989,8132,8338,,,,,7460,,,,7460,15798,23930,,9541,,,-151,-7120,1451,3721,,3721,27651,
09/30/2008,25598,3081,2160,921.0,1240,1240,,243,243.0,0.0,0.0,0.0,924,,,,5488,12060,13329,-1269,0.0,,,8050,6851,5168,1683,1199,20110,,347,347,,,,865,,,,,,5576,,,5576,6788,9274,,,,,7145,,,,7145,16419,23207,0.0,9561,,,-152,-7170,152,2391,0.0,2391,25598,
12/31/2008,45084,4467,4255,212.0,1513,1513,,388,388.0,,,,2606,,,,8974,20627,22185,-1558,,,0.0,15483,14675,9731,4944,808,36110,,1604,1604,,,,1160,,,,,,8328,,,8328,11092,15411,14938.0,473.0,473.0,,17707,,,,17707,33118,44210,0.0,13714,,,-152,-8608,-4080,874,0.0,874,45084,
03/31/2009,44395,4508,4441,67.0,1419,1419,0.0,380,,,,,1750,39.0,,1272.0,8057,20896,22794,-1898,0.0,,,15442,14647,9729,4918,756,36338,,3568,1434,591.0,,1543.0,1853,0.0,,,,1853.0,6106,3428.0,50.0,0,11527,14743,14743.0,,,,17606,,11005.0,1901.0,1222,32349,43876,0.0,13738,,,-154,-9402,-3663,519,0.0,519,44395,
06/30/2009,44480,4942,4851,91.0,1410,1410,0.0,372,,,,,1575,14.0,,1012.0,8299,20916,23159,-2243,0.0,,,15265,14625,9737,4888,626,36181,,3637,1474,673.0,,1490.0,1824,0.0,,,,1824.0,5688,3367.0,19.0,0,11149,14774,14774.0,,,,17577,,11101.0,1886.0,1204,32351,43500,0.0,13765,,,-163,-9659,-2963,980,0.0,980,44480,
09/30/2009,44853,5488,5396,92.0,1469,1469,0.0,356,,,,,1549,,,1099.0,8862,20658,23242,-2584,0.0,,,15333,14642,9778,4864,691,35991,,3503,1479,540.0,,1484.0,1029,0.0,,,,1029.0,5062,3365.0,52.0,0,9594,16655,16655.0,,,,17704,,11217.0,1861.0,1209,34359,43953,0.0,13791,,,-164,-9820,-2907,900,0.0,900,44853,
