Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/1990,15.26,9.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,32.738998,10.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,8.362,8.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,30.434999,8.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,3.747,8.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,31.267,9.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,17.084,9.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,31.089001,10.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,11.5,11.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,22.040001,11.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,6.776,10.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,38.27,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,10.063,6.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,19.892,6.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,5.461,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,29.834999,-21.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,47.262001,0.816,8.678,9.845,,,9.845,27.923,,,27.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,32.060001,9.669,8.788,-0.892,,,-0.892,14.495,,,14.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,9.245,10.226,8.835,0.185,,,0.185,-10.001,,,-10.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,26.023001,10.289,9.168,36.264999,,,36.264999,-29.698999,,,-29.698999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,0.311,10.662,9.303,0.895,,,0.895,-20.549,,,-20.549,,,-4.976,,,,-4.976,,,,,,,,,,4.976,,,,,,,,,,,,,
06/30/1995,32.978001,22.615,8.224,-11.275,,,-11.275,13.414,,,13.414,,,-8.264,,,,-8.264,,,,,,,,,,8.264,,,,,,,,,,,,,
09/30/1995,-0.731,8.154,8.116,-2.131,,,-2.131,-14.87,,,-14.87,,,-6.645,,,,-6.645,,,,,,,,,,6.645,,,,,,,,,,,,,
12/31/1995,32.830002,10.849,8.818,11.374,,,11.374,1.789,,,1.789,,,-11.861,,,,-11.861,,,,,,,,,,11.861,,,,,,,,,,,,,
03/31/1996,-1.956,12.216,9.065,-1.982,,,-1.982,-21.254999,,,-21.254999,,,-6.391,,,,-6.391,,,,,,,,,,6.391,,,,,,,,,,,,,
06/30/1996,31.724001,12.967,9.058,-0.319,,,-0.319,10.018,,,10.018,,,-8.52,,,,-8.52,,,,,,,,,,8.52,,,,,,,,,,,,,
09/30/1996,16.094999,12.956,8.449,-5.453,,,-5.453,0.143,,,0.143,,,-8.604,,,,-8.604,,,,,,,,,,8.604,,,,,,,,,,,,,
12/31/1996,26.209,13.051,6.087,-1.519,,,-1.519,8.59,,,8.59,,-15.561,-15.561,,,,-15.561,,,,,,,,,,0.0,,,,,,,,,,,,10.648,
03/31/1997,-2.232,11.593,8.359,0.26,,0.181,0.079,-22.444,,,-22.444,,-7.898,-6.645,,,,-6.645,,,,,,,,,,-1.253,9.679,-1.966,10.922,,,,0.693,0.693,,0.03,,-0.451,
09/30/1997,23.382,8.38,8.238,9.574,,,9.574,-2.81,,,-2.81,,-10.28,-11.462,0.0,,,-11.462,,,0.0,0.0,0.0,,,,,1.182,-21.096999,-1.981,-16.997999,,,,2.814,2.814,0.0,-4.932,,-7.995,
12/31/1997,17.285999,13.608,8.475,-11.15,,,-11.15,6.353,,,6.353,,-7.179,-13.224,0.0,,,-13.224,,,0.0,0.0,0.0,,,,,6.045,-12.013,-1.984,-6.605,,,,-4.084,1.291,-5.375,0.66,,-1.906,
03/31/1998,6.47,14.884,9.896,-0.171,,-0.071,-0.1,-18.139,,,-18.139,,-117.721,-13.401,,,,-13.401,,,,,,,,,,-104.32,111.888,-1.974,120.136,,,,-5.997,2.944,-8.941,-0.277,,0.637,
06/30/1998,23.854,30.273,19.596,-1.306,,0.555,-1.861,-24.709,,,-24.709,,-137.936,-22.469,,,,-22.469,,,,,,,,,,-115.467,120.071,-3.951,129.569,,,,-5.547,3.394,-8.941,,,5.989,
09/30/1998,53.612,44.323,29.104,-6.463,,0.797,-7.26,-13.352,,,-13.352,,-155.453,-36.939,,,,-36.939,,,,,,,,,,-118.514,107.181,-5.911,150.293,,,,-24.836,,-24.836,-12.365,,5.34,
12/31/1998,24.774,6.126,9.265,2.65,,,2.65,6.733,,,6.733,,-8.036,-12.902,0.0,,,-12.902,,,0.0,0.0,0.0,,,,,4.866,-12.994,-1.926,4.959,,,,1.63,1.63,0.0,-17.657,,3.744,
03/31/1999,16.914,14.596,9.286,-1.273,,,-1.273,-5.695,,,-5.695,,-33.234001,-6.819,0.0,,,-6.819,,,0.0,0.0,0.0,,,,,-26.415001,15.129,-1.93,16.148,,,,0.911,0.911,0.0,0.0,,-1.191,
06/30/1999,39.808,30.16,18.724,0.385,,0.371,0.014,-9.461,,,-9.461,,-64.501,-13.663,,,,-13.663,,,,,,,,,,-50.838,22.43,-3.86,23.081,,,,3.209,3.209,,,,-2.263,
09/30/1999,55.446,45.753,28.315,0.186,,3.03,-2.844,-18.808,,,-18.808,,-139.583,-19.757,,,,-19.757,,,,,,,,,,-119.826,83.971,-5.816,85.432,,,,,,,4.355,,-0.166,
12/31/1999,75.123001,15.014,11.31,-0.072,,,-0.072,48.870998,,,48.870998,,-8.448,-10.574,0.0,,,-10.574,,,0.0,0.0,0.0,,,,,2.126,-67.641001,-1.928,-56.720001,,,,-9.095,0.186,-9.281,0.102,,-0.966,
03/31/2000,7.912,16.754,10.802,3.979,,,3.979,-23.622999,,,-23.622999,,-4.611,-5.558,0.0,,,-5.558,,,0.0,0.0,0.0,,,,,0.947,-7.115,-1.916,-4.258,,,,-0.941,0.67,-1.611,0.0,,-3.814,
06/30/2000,26.964,33.977,21.095,5.72,,2.71,3.01,-33.828,,,-33.828,,-9.412,-11.669,,,,-11.669,,,,,,,,,,2.257,-22.794,-3.837,-19.372,,,,0.415,2.026,-1.611,,,-5.242,
09/30/2000,51.299,51.295,31.084,8.163,,4.402,3.761,-39.243,,,-39.243,,-96.57,-17.658,,,,-17.658,,,,,,,,,,-78.912,43.577,-5.763,48.017,,,,-1.611,,-1.611,2.934,,-1.694,
12/31/2000,28.424999,17.237,12.173,-13.434,,,-13.434,12.449,,,12.449,,-10.83,-11.896,0.0,,,-11.896,,,0.0,0.0,0.0,,,,,1.066,-17.349999,-1.934,-20.130999,,,,4.715,4.715,0.0,0.0,,0.245,
03/31/2001,-0.863,18.271999,11.256,-1.437,,,-1.437,-28.954,,,-28.954,,-5.711,-7.013,0.0,,,-7.013,,,0.0,0.0,0.0,,,,,1.302,6.594,-1.961,3.302,,,,5.253,5.253,0.0,0.0,,0.02,
06/30/2001,-26.027,18.653,10.766,-48.157001,,,-48.157001,-7.289,,,-7.289,,-34.713001,-7.062,0.0,,,-7.062,,,0.0,0.0,0.0,,,,,-27.651001,61.339002,-1.979,58.643002,,,,4.675,4.675,0.0,0.0,,0.599,
09/30/2001,30.421,17.726999,11.276,0.026,,,0.026,1.392,-45.0,,46.392,,-43.549999,-7.301,0.0,,,-7.301,,,0.0,0.0,0.0,,,,,-36.248999,13.266001,-1.978,25.193001,,,,-9.949,1.679,-11.628,0.0,,0.137,
12/31/2001,52.602999,11.459002,13.152001,43.620001,,,43.620001,-15.628,,,-15.628,,-68.550002,-8.039001,0.0,,,-8.039001,,,0.0,0.0,0.0,,,,,-60.511001,22.143002,-1.96,23.208998,,,,0.894,0.894,0.0,4e-06,,6.196,
03/31/2002,8.955,19.665001,7.932,-0.199,,,-0.199,-18.443001,,,-18.443001,,-5.276,-4.052,0.0,,,-4.052,,,0.0,0.0,0.0,,,,,-1.224,-5.458,-1.967,-7.492,,,,4.001,4.001,0.0,0.0,,-1.779,
06/30/2002,47.778999,21.325001,8.336,-6.336,,,-6.336,24.454,,,24.454,,-8.66,-3.885,0.0,,,-3.885,,,0.0,0.0,0.0,,,,,-4.775,-36.057,-1.98,-37.216,,,,3.139,3.139,0.0,0.0,,3.062,
09/30/2002,23.562,21.381001,8.274,1.829,,,1.829,-7.922,,,-7.922,,-2.119,-4.763,0.0,,,-4.763,,,0.0,0.0,0.0,,,,,2.644,-18.596,-1.975,-10.991,,,,-5.63,1.716,-7.346,0.0,,2.847,
12/31/2002,23.367001,21.327,8.408,9.284,,,9.284,-15.652,,,-15.652,,-3.674,-4.674,0.0,,,-4.674,,,0.0,0.0,0.0,,,,,1.0,-24.478999,-1.974,-27.063999,,,,4.559,4.559,0.0,0.0,,-4.786,
03/31/2003,25.948999,19.718,8.586,3.796,,,3.796,-6.151,,,-6.151,,-116.754997,-3.491,0.0,,,-3.491,,,0.0,0.0,0.0,,,,,-113.263997,98.592999,-1.966,105.590999,,,,-5.032,0.816,-5.848,0.0,,7.787,
