Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,710,,-488,,222,,-162,,,,60,-51,,36.0,,,,15,9,-3,6,211.0,,,-205,0.0,-205,0.0,,-205,-205.0,,166.744003,-1.23,0.03,0.13,167.181,-1.23,0.03,0.13,
06/30/1999,788,,-530,,258,,-156,,,,102,-35,,32.0,,,,3,67,-21,46,-9.0,,,55,0.0,55,0.0,,55,55.0,,167.130005,0.33,0.28,0.28,167.457001,0.33,0.28,0.28,
09/30/1999,799,,-571,,228,,-160,,,,68,-37,38.0,38.0,,,,-1,31,-27,4,-8.0,,,12,0.0,12,0.0,,12,12.0,,167.459,0.06,0.01,0.01,167.725006,0.06,0.01,0.01,
12/31/1999,816,,-573,,243,,-159,,,,84,-350,108.0,40.0,,,,242,-266,98,-168,38.0,,,-206,0.0,-206,0.0,0.0,-206,-206.0,,168.288254,-1.22,-1.0,-0.08,168.290756,-1.22,-1.0,-0.08,
03/31/2000,738,,-539,,199,,-122,,,,77,-27,34.0,34.0,,,,-7,50,-21,29,-134.0,,,163,0.0,163,0.0,0.0,163,163.0,,167.747696,0.97,0.17,0.17,167.794937,0.97,0.17,0.17,
06/30/2000,820,,-585,,235,,-135,,,,100,-31,33.0,33.0,,,,-2,69,-29,40,,,,40,-1.0,39,,,39,39.0,,162.303345,0.24,0.24,0.24,162.351791,0.24,0.24,0.24,
09/30/2000,777,,-549,,228,,-128,,,,100,-34,34.0,,,,,0,66,-28,38,0.0,,,38,0.0,38,0.0,0.0,38,38.0,,158.205765,0.24,0.24,0.24,158.25647,0.24,0.24,0.24,
12/31/2000,778,,-562,,216,,-108,,,,108,-86,33.0,33.0,,,,53,22,-13,9,0.0,,,9,-2.0,7,0.0,0.0,7,7.0,,158.199997,0.05,0.05,0.26,158.199997,0.05,0.05,0.26,
03/31/2001,680,,-489,,191,,-110,,,,81,-30,29.0,29.0,,,,1,51,-21,30,-4.0,,,34,-1.0,33,0.0,0.0,33,33.0,,158.360962,0.2,0.18,0.18,158.644058,0.2,0.18,0.18,
06/30/2001,728,,-510,,218,,-112,,,,106,-29,28.0,28.0,,,,1,77,-32,45,-24.0,,,69,0.0,69,0.0,0.0,69,69.0,,158.689896,0.43,0.28,0.28,159.250519,0.43,0.28,0.28,
09/30/2001,694,,-475,,219,,-116,,,,103,-25,25.0,25.0,,,,0,78,-32,46,,,,46,-1.0,45,,,45,45.0,,158.978928,0.28,0.28,0.28,159.881744,0.28,0.28,0.28,
12/31/2001,710,,-476,,234,,-127,,,,107,-29,25.0,25.0,,,,4,78,-33,45,0.0,,,45,1.0,46,0.0,0.0,46,46.0,,160.399994,0.29,0.29,0.29,160.399994,0.29,0.29,0.29,
03/31/2002,647,,-438,,209,,-116,,,,93,-23,23.0,23.0,,,,0,70,-28,42,72.0,,,-30,0.0,-30,0.0,0.0,-30,-30.0,,159.194,-0.19,0.26,0.26,160.919998,-0.19,0.26,0.26,
06/30/2002,728,,-494,,234,,-113,,,,121,-20,24.0,24.0,,,,-4,101,-40,61,0.0,,,61,-1.0,60,0.0,0.0,60,60.0,,158.229996,0.38,0.38,0.36,160.539001,0.38,0.38,0.36,
09/30/2002,727,,-499,,228,,-107,,,,121,-23,24.0,24.0,,,,-1,98,-39,59,0.0,,,59,0.0,59,0.0,0.0,59,59.0,,158.315994,0.37,0.37,0.37,160.059998,0.37,0.37,0.37,
12/31/2002,778,,-536,,242,,-118,,,,124,-26,25.0,25.0,,,,1,98,-39,59,0.0,,,59,0.0,59,0.0,0.0,59,59.0,,160.5,0.37,0.37,0.37,160.5,0.37,0.37,0.37,
03/31/2003,717,,-508,,209,,-114,,,,95,-24,24.0,24.0,,,,0,71,-27,44,0.0,,,44,0.0,44,0.0,0.0,44,44.0,,159.011002,0.27,0.27,0.27,161.281006,0.27,0.27,0.27,
06/30/2003,810,,-571,,239,,-120,,,,119,-23,24.0,24.0,,,,-1,96,-36,60,0.0,,,60,-1.0,59,0.0,0.0,59,59.0,,158.584,0.37,0.37,0.37,160.619995,0.37,0.37,0.37,
09/30/2003,793,,-550,,243,,-121,,,,122,-79,23.0,23.0,,,,56,43,-17,26,0.0,,,26,0.0,26,0.0,0.0,26,26.0,,157.181,0.17,0.17,0.39,159.173996,0.16,0.16,0.38,
12/31/2003,818,,-577,,241,,-110,,,,131,-27,25.0,25.0,,,,2,104,-38,66,12.0,,,54,0.0,54,0.0,0.0,54,54.0,,157.557007,0.35,0.42,0.42,159.5,0.34,0.41,0.41,
03/31/2004,775,,-552,,223,,-126,,,,97,-97,25.0,25.0,,,,72,0,0,0,0.0,,,0,0.0,0,0.0,0.0,0,0.0,,154.865005,0.0,0.0,0.28,157.270996,0.0,0.0,0.28,
06/30/2004,858,,-611,,247,,-125,,,,122,-40,,25.0,,,,15,82,-30,52,0.0,,,52,0.0,52,0.0,0.0,52,52.0,,151.914001,0.34,0.34,0.39,154.445007,0.33,0.33,0.38,
09/30/2004,652,,-464,,188,,-91,,,,97,-20,22.0,22.0,,0.0,,-2,77,-28,49,-7.0,,,56,0.0,56,0.0,0.0,56,56.0,,149.32341,0.38,0.33,0.32,151.745438,0.37,0.32,0.31,
12/31/2004,663,,-483,,180,,-90,,,,90,-18,8.0,13.0,,,,10,72,-22,42,-5.0,,,55,0.0,47,0.0,0.0,47,47.0,,146.899994,0.32,0.28,0.31,150.899994,0.31,0.28,0.3,
03/31/2005,613,,-463,,150,,-92,,,,58,-25,20.0,20.0,,0.0,,5,33,-12,21,-1.0,,,22,0.0,22,0.0,0.0,22,22.0,,148.904373,0.15,0.14,0.16,151.11821,0.15,0.14,0.16,
06/30/2005,707,,-525,,182,,-102,,,,80,-22,20.0,20.0,,0.0,,2,58,-21,37,79.0,,,-42,0.0,-42,0.0,0.0,-42,-42.0,,149.329239,-0.28,0.25,0.25,151.208649,-0.28,0.24,0.24,
09/30/2005,695,,-507,,188,,-100,,,,88,-22,20.0,20.0,,0.0,,2,66,-24,42,3.0,,,39,0.0,39,0.0,0.0,39,39.0,,147.645905,0.26,0.28,0.28,149.017212,0.26,0.28,0.28,
12/31/2005,741,,-540,,201,,-111,,,,90,-23,14.0,22.0,,,,9,67,-24,43,7.0,,,36,0.0,35,0.0,0.0,35,35.0,,144.2,0.25,0.3,0.3,144.2,0.25,0.3,0.3,
03/31/2006,680,,-482,,198,,-101,,,,97,-16,16.0,18.0,-2.0,0.0,,0,81,-30,51,0.0,,,51,0.0,51,0.0,0.0,51,51.0,,142.097794,0.36,0.36,0.36,143.733704,0.35,0.35,0.35,
06/30/2006,750,,-511,,239,,-114,,,,125,-17,17.0,18.0,-1.0,,,0,108,-39,69,,,,69,0.0,69,,,69,69.0,,139.927612,0.5,0.5,0.5,141.436813,0.49,0.49,0.49,
09/30/2006,749,,-518,,231,,-128,,,,103,15,17.0,18.0,-1.0,-31.0,,-1,118,-14,104,2.0,,,102,,102,,,102,102.0,,136.16199,0.74,0.76,0.4,138.083567,0.73,0.75,0.4,
12/31/2006,738,,-516,,222,,-122,,,,100,-16,17.0,19.0,-2.0,,,-1,84,-31,53,1.0,,,52,0.0,52,0.0,0.0,52,52.0,,133.276325,0.4,0.4,0.4,135.1,0.39,0.39,0.39,
03/31/2007,677,,-471,,206,,-103,,,,103,-16,16.0,18.0,-2.0,,,0,87,-30,57,0.0,,,57,0.0,57,0.0,0.0,57,57.0,,131.706833,0.43,0.43,0.43,133.538773,0.43,0.43,0.43,
06/30/2007,828,,-588,,240,,-112,,,,128,-19,19.0,20.0,-1.0,,,0,109,-39,70,-1.0,,,71,-1.0,70,0.0,0.0,70,70.0,,130.496124,0.53,0.52,0.52,132.285645,0.53,0.52,0.52,
09/30/2007,872,,-626,,246,,-124,,,,122,-28,28.0,29.0,-1.0,,,0,94,-35,59,0.0,,,59,0.0,59,0.0,0.0,59,59.0,,130.648285,0.46,0.46,0.46,132.197723,0.45,0.45,0.45,
12/31/2007,876,,-637,,239,,-120,,,,119,-28,28.0,29.0,-1.0,,,0,91,-31,60,0.0,,,60,-1.0,59,0.0,0.0,59,59.0,,130.797672,0.45,0.45,0.45,133.456607,0.44,0.44,0.44,
03/31/2008,808,,-598,,210,,-117,,,,93,-40,26.0,27.0,-1.0,,,14,53,-18,35,1.0,,,34,0.0,34,0.0,0.0,34,34.0,,130.593231,0.26,0.26,0.33,132.10704,0.26,0.26,0.33,
06/30/2008,951,,-704,,247,,-116,,,,131,-29,27.0,27.0,0.0,0.0,,2,102,-38,64,3.0,,,61,0.0,61,0.0,0.0,61,61.0,,130.809708,0.47,0.5,0.51,131.980484,0.46,0.49,0.5,
09/30/2008,925,,-711,,214,0.0,-114,67.0,,47.0,100,-22,25.0,26.0,-1.0,,,-3,78,-24,54,0.0,,,54,-1.0,53,0.0,0.0,53,53.0,-1.38,130.90754,0.4,0.4,0.389459,132.098844,0.4,0.4,0.389459,
12/31/2008,883,,-647,,236,0.0,-122,73.0,,49.0,114,-29,27.0,27.0,,,,2,85,-30,55,0.0,,,55,,55,0.0,0.0,55,55.0,1.3,131.392971,0.41,0.41,0.42,133.70747,0.41,0.41,0.42,
03/31/2009,766,766.0,-495,495.0,271,0.0,-126,80.0,46.0,0.0,145,-23,23.0,23.0,0.0,,,0,122,-45,77,0.0,0.0,0.0,77,,77,0.0,0.0,77,77.0,0.0,131.708127,0.58,0.58,0.58,132.485534,0.58,0.58,0.58,
06/30/2009,901,901.0,-601,601.0,300,0.0,-147,100.0,46.0,1.0,153,-23,23.0,24.0,-1.0,,,0,130,-49,81,1.0,1.0,0.0,80,,80,0.0,0.0,80,80.35,-0.65,131.931203,0.6,0.61,0.60903,132.472333,0.6,0.61,0.605093,
09/30/2009,839,839.0,-562,562.0,277,0.0,-129,83.0,46.0,0.0,148,-23,23.0,23.0,0.0,,0.0,0,125,-45,80,-15.0,-15.0,0.0,95,-1.0,94,0.0,0.0,94,79.0,0.0,131.972681,0.72,0.6,0.6,133.193283,0.7,0.59,0.59,
12/31/2009,854,854.0,-583,583.0,271,0.0,-138,86.0,46.0,6.0,133,-24,24.0,24.0,0.0,,,0,109,-38,71,-1.0,-1.0,0.0,72,0.0,72,0.0,0.0,72,71.0,0.0,133.9,0.54,0.54,0.54,133.9,0.54,0.53,0.53,
03/31/2010,777,777.0,-560,560.0,217,0.0,-115,69.0,46.0,0.0,102,-24,24.0,24.0,0.0,,,0,78,-30,48,0.0,0.0,0.0,48,,48,0.0,0.0,48,50.676222,2.676222,132.569709,0.36,0.36,0.382261,133.811094,0.36,0.36,0.38,
06/30/2010,973,973.0,-699,699.0,274,0.0,-133,83.0,50.0,0.0,141,-25,25.0,25.0,0.0,,,0,116,-41,75,0.0,0.0,0.0,75,,75,0.0,0.0,75,101.65,26.65,132.913791,0.57,0.57,0.764781,134.083053,0.56,0.56,0.758757,
09/30/2010,944,944.0,-696,696.0,248,2.0,-133,84.0,49.0,0.0,117,-24,25.0,25.0,0.0,,-1.0,0,93,-13,80,-2.0,-2.0,0.0,82,-1.0,81,0.0,0.0,81,106.3,27.3,132.998767,0.6,0.59,0.799256,134.366631,0.6,0.59,0.793175,
