Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1991,1427.767944,12.777,12.777,0.0,30.68,,,13.489,,,,,58.261002,,,,,115.207001,1309.875,2108.600098,-798.724976,0.0,2.686,,,,2.686,1312.561,,52.832001,52.832001,,,,0.0,,,,,,65.775002,,,,65.775002,118.607002,413.069,,,,,277.828003,,,,,277.828003,690.897003,809.504005,0.0,511.263,,,0.0,,107.000999,618.264,0.0,618.264,1427.768005,
06/30/1991,1416.520996,11.15,3.396,7.754,21.759001,,,14.533,,,,,43.034,,,,,90.475998,1318.312988,2140.729004,-822.416016,0.0,7.732,,,,7.732,1326.044988,,58.617001,58.617001,,,,0.0,,,,,,45.424,,,,45.424,104.041,410.540009,,,,,278.778992,,,,,278.778992,689.319,793.360001,0.0,511.263,,,0.0,,111.898003,623.161003,0.0,623.161003,1416.521004,
09/30/1991,1414.142944,5.552,5.449,0.103,22.138,,,12.685,,,,,42.250999,,,,,82.625999,1324.875977,2168.093018,-843.21698,0.0,6.641,,,,6.641,1331.516976,,61.299,61.299,,,,0.0,,,,,,54.312,,,,54.312,115.611,396.441986,,,,,268.397003,,,,,268.397003,664.838989,780.449989,0.0,511.263,,,0.0,,122.43,633.693001,0.0,633.693001,1414.14299,
12/31/1991,1455.608032,3.799,3.799,0.0,33.467999,,,13.221,,,,,59.217999,,,,,109.706001,1339.666016,2228.634033,-888.968018,0.0,6.236,,,,6.236,1345.902016,,73.647003,73.647003,,,,0.0,,,,,,39.663994,,,,39.663994,113.310997,422.391998,,,,,269.701996,,,,,269.701996,692.093994,805.404991,0.0,511.263,,,0.0,,138.940002,650.203002,0.0,650.203002,1455.607993,
03/31/1992,1437.779053,17.271,17.271,0.0,23.226,,,12.256,,,,,43.909,,,,,96.662003,1329.858032,2252.77002,-922.911987,0.0,11.259,,,,11.259,1341.117032,,57.111,57.111,,,,0.0,,,,,,30.651001,,,,30.651001,87.762001,418.289001,,,,,265.858002,,,,,265.858002,684.147003,771.909004,0.0,511.263,,,0.0,,154.606995,665.869995,0.0,665.869995,1437.778999,
06/30/1992,1466.074951,11.584,11.584,0.0,32.966,,,10.119,,,,,53.583,,,,,108.251999,1339.786987,2275.523926,-935.737,0.0,18.035999,,,,18.035999,1357.822987,,70.203003,70.203003,,,,0.0,,,,,,28.649994,,,,28.649994,98.852997,426.729004,,,,,264.553009,,,,,264.553009,691.282013,790.13501,0.0,511.117004,,,0.0,,164.822998,675.940002,0.0,675.940002,1466.075012,
09/30/1992,1658.469971,182.511993,182.511993,0.0,40.160999,,,9.954,,,,,50.094002,,,,,282.721008,1358.107056,2333.605957,-975.499023,0.0,17.642,,,,17.642,1375.749056,,89.342003,89.342003,,,,0.0,,,,,,29.627998,,,,29.627998,118.970001,159.936996,,,,,579.159973,,,,,579.159973,739.09697,858.066971,0.0,622.715027,,,0.0,,177.688004,800.40303,0.0,800.40303,1658.470001,
12/31/1992,1731.011963,132.617996,132.617996,0.0,50.832001,,,9.534,,,,,54.028,,,,,247.011993,1468.010986,2475.371094,-1007.359985,0.0,15.989,,,,15.989,1483.999986,,128.695007,128.695007,,,,0.0,,,,,,66.020996,,,,66.020996,194.716003,150.0,,,,,552.291992,,,,,552.291992,702.291992,897.007995,0.0,622.546997,,,0.0,,211.457001,834.003998,0.0,834.003998,1731.011993,
03/31/1993,1678.686035,39.861,39.861,0.0,112.317001,,,8.384,,,,,3.313,,,,,163.875,1497.078979,2560.100098,-1063.020996,0.0,17.732,,,,17.732,1514.81098,,117.808998,117.808998,,,,0.0,,,,,,23.894005,,,,23.894005,141.703003,150.0,,,,,536.317017,,,,,536.317017,686.317017,828.02002,0.0,619.635986,,,0.0,,231.029999,850.665985,0.0,850.665985,1678.686005,
06/30/1993,1699.196045,42.146999,42.146999,0.0,49.574001,,,12.106,,,,,68.085999,,,,,171.912994,1509.102051,2627.460938,-1118.359009,0.0,18.181,,,,18.181,1527.283051,,127.182999,127.182999,,,,0.0,,,,,,32.787003,,,,32.787003,159.970001,150.0,,,,,514.107971,,,,,514.107971,664.107971,824.077972,0.0,617.810974,,,0.0,,257.307007,875.117981,0.0,875.117981,1699.195953,
