Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,18.507,,-14.289,,4.218,,-2.72,,,,,,1.498,0.099,,0.142,,,0.0,,-0.241,1.597,0.076,,,1.673,0.55,,,1.123,0.0,1.123,0.0,,1.123,1.123,,1.90636,1.0,1.25,,1.90636,1.0,1.25,1.25,
03/31/1990,31.327999,,-24.282,,7.046,,-4.169,,,,,,2.877,0.447,,0.748,,,0.0,,-1.195,3.324,-0.268,,,3.056,0.36,,,2.696,0.0,2.696,0.0,,2.696,2.696,,2.00576,1.5,1.75,,2.00576,1.5,1.75,1.75,
06/30/1990,41.733002,,-32.143002,,9.59,,-6.437,,,,,,3.153,1.524,,1.148,,,0.0,,-2.672,4.677,-0.784,,,3.893,0.0,,,3.893,0.0,3.893,0.0,,3.893,3.893,,2.35,1.75,1.75,,2.35,1.75,1.75,1.75,
09/30/1990,47.405998,,-33.555,,13.850998,,-8.784,,,,,,5.067,2.26,,1.313,,,0.0,,-3.573,7.327,-1.387,,,5.94,-0.91,,,6.85,0.0,6.85,0.0,,6.85,6.85,,,2.5,2.5,,,2.5,2.5,2.5,
12/31/1990,57.395,,-43.965,,13.43,,-7.612,,,,,,5.818,0.288,,1.138,,,,,-1.426,6.106,-0.856,,,5.25,0.0,,,5.25,0.0,5.25,0.0,,5.25,5.25,,2.38616,2.25,2.25,,2.38616,2.25,2.25,2.25,
03/31/1991,63.994999,,-49.123001,,14.871998,,-8.259,,,,,,6.613,0.627,,1.274,,,,,-1.901,7.24,-1.044,,,6.196,0.0,,,6.196,0.0,6.196,0.0,,6.196,6.196,,2.45964,2.5,2.5,,2.45964,2.5,2.5,2.5,
06/30/1991,58.695999,,-42.967999,,15.728001,,-8.409,,,,,,7.319,0.15,,1.361,,,,,-1.511,7.469,-0.695,,,6.774,0.0,,,6.774,0.0,6.774,0.0,,6.774,6.774,,2.52064,2.75,2.75,,2.52064,2.75,2.75,2.75,
09/30/1991,60.025002,,-42.863998,,17.161004,,-10.078,,,,,,7.083,1.925,,0.509,,,-0.139,,-2.295,9.008,-0.171,,,8.837,0.0,,,8.837,0.0,8.837,0.0,,8.837,8.837,,2.46148,3.5,3.5,3.5,2.46148,3.5,3.5,3.5,
12/31/1991,68.412003,,-49.723,,18.689003,,-10.213,,,,,,8.476,0.584,,1.251,,,,,-1.835,9.06,-0.838,,,8.222,0.0,,,8.222,0.0,8.222,0.0,,8.222,8.222,,2.54956,3.25,3.25,,2.54956,3.25,3.25,3.25,
03/31/1992,75.254997,,-55.558998,,19.695999,,-10.844,,,,,,8.852,-0.322,,1.38,,,,,-1.058,8.53,-0.319,,,8.211,0.0,,,8.211,0.0,8.211,0.0,,8.211,8.211,,2.57464,3.25,3.25,,2.57464,3.25,3.25,3.25,
