Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,818.085999,6.189,6.189,0.0,427.174011,,,143.225006,,,,,22.322001,,,,598.909973,198.279007,323.613007,-125.334,0.0,,20.896999,,,,,20.896999,219.176006,,33.396999,33.396999,,,,46.924999,,,,,,117.269005,,,117.269005,197.591003,7.7,,,,,19.785,,,,19.785,27.485,225.076003,0.0,46.862999,,,0.0,,546.146973,593.009972,0.0,593.009972,818.085975,
06/30/1990,862.60498,4.772,4.772,0.0,443.334015,,,167.574997,,,,,21.849001,,,,637.530029,204.018005,334.515015,-130.496994,0.0,,21.056999,,,,,21.056999,225.075005,,32.674999,32.674999,,,,72.425003,,,,,,122.735996,,,122.735996,227.835999,7.275,,,,,27.638,,,,27.638,34.913001,262.748999,0.0,47.594002,,,0.0,,552.262024,599.856026,0.0,599.856026,862.605025,
09/29/1990,890.854004,6.116,6.116,0.0,455.04599,,,175.604996,,,,,24.996,,,,661.763,207.992004,341.488007,-133.496002,0.0,,21.099001,,,,,21.099001,229.091005,,31.819,31.819,,,,77.425003,,,,,,117.097992,,,117.097992,226.341995,7.275,,,,,27.820999,,,,27.820999,35.095999,261.437994,0.0,50.155998,,,0.0,,579.26001,629.416008,0.0,629.416008,890.854002,
12/29/1990,907.854004,6.584,6.584,0.0,459.381012,,,182.065002,,,,,27.007999,,,,675.038025,210.414001,347.179993,-136.766006,0.0,,22.402,,,,,22.402,232.816002,,37.070999,37.070999,,,,76.925003,,,,,,122.806,,,122.806,236.802002,7.275,,,,,27.374001,,,,27.374001,34.649001,271.451003,0.0,50.610001,,,0.0,,585.79303,636.40303,0.0,636.40303,907.854033,
03/30/1991,919.924988,6.01,6.01,,466.886993,,,164.600006,,,,,27.927999,,,,665.424988,207.865005,349.937988,-142.072998,,,46.634998,,,,,46.634998,254.500004,,22.188,22.188,,,,65.425003,,,,,,131.813999,,,131.813999,219.427002,7.275,,,,,90.886002,,,,90.886002,98.161002,317.588004,,51.652,,,,,550.684998,602.336998,,602.336998,919.925002,
06/29/1991,936.614014,10.172,10.172,,467.44101,,,164.960999,,,,,30.597,,,,673.171021,208.578995,357.903015,-149.324005,,,54.863998,,,,,54.863998,263.442993,,22.68,22.68,,,,46.521999,,,,,,140.046001,,,140.046001,209.248001,7.26,,,,,98.254997,,,,98.254997,105.514997,314.762999,,75.220001,,,,,546.630981,621.850983,,621.850983,936.613981,
09/28/1991,932.270996,13.602,13.602,,466.528992,,,158.733002,,,,,32.5,,,,671.364014,206.598007,360.803009,-154.205002,,,54.308998,,,,,54.308998,260.907005,,22.698999,22.698999,,,,26.535999,,,,,,135.100008,,,135.100008,184.335007,7.215,,,,,97.851997,,,,97.851997,105.066998,289.402004,,76.030998,,,,,566.838013,642.869011,,642.869011,932.271015,
12/28/1991,915.374023,10.93,10.93,,461.596008,,,160.147995,,,,,33.949001,,,,666.622986,206.481003,361.869995,-155.389008,,,42.27,,,,,42.27,248.751003,,32.243,32.243,,,,0.54,,,,,,143.866994,,,143.866994,176.649994,7.179,,,,,78.825996,,,,78.825996,86.004996,262.65499,,77.787003,,,,,574.932007,652.719009,,652.719009,915.374,
03/28/1992,947.911987,43.450001,43.450001,0.0,462.144012,,,157.882996,,,,,34.763,,,,698.23999,204.311005,364.460999,-160.149994,0.0,,45.361,,,,,45.361,249.672005,,30.358,30.358,,,,17.476999,,,,,,156.866005,,,156.866005,204.701004,6.766,,,,,79.740997,,,,79.740997,86.506997,291.208001,0.0,79.101997,,,0.0,,577.60199,656.703987,0.0,656.703987,947.911988,
06/27/1992,961.969971,48.549999,48.549999,0.0,464.911011,,,166.768997,,,,,35.863998,,,,716.093994,200.610001,365.588989,-164.979004,0.0,,45.265999,,,,,45.265999,245.875999,,30.179001,30.179001,,,,21.076,,,,,,161.504002,,,161.504002,212.759003,6.466,,,,,83.974998,,,,83.974998,90.440999,303.200001,0.0,81.724998,,,0.0,,577.044983,658.769981,0.0,658.769981,961.969983,
