Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/26/2009,120.383,,,,,,10.517933,,,,2.461646,,,,
03/27/2010,663.299,,,663.299,0.168,0.168,58.383497,,,58.383497,14.311272,,,14.311272,
09/25/2010,,,,,0.304,0.304,,,,,,,,,
12/25/2010,132.022,0.0,0.0,132.022,,,12.550169,0.0,0.0,12.550169,2.88924,0.0,0.0,2.88924,
03/26/2011,,5.144,,5.144,0.331,0.331,,0.475266,,0.475266,,0.114107,,0.114107,
06/25/2011,,0.211,,0.211,0.502,0.502,,0.019968,,0.019968,,0.004867,,0.004867,
09/24/2011,,1.677,,1.677,0.038,0.038,,0.15217,,0.15217,,0.040211,,0.040211,
12/31/2011,88.088,44.699,0.0,132.787,,,7.986791,4.052783,0.0,12.039575,2.072179,1.051498,0.0,3.123677,
03/31/2012,,1.131,,1.131,415.016,,,0.095217,,0.095217,,0.027417,,0.027417,
06/30/2012,,0.265,,0.265,396.547,,,0.024028,,0.024028,,0.006696,,0.006696,
09/29/2012,,0.146,,0.146,0.43,0.43,,0.013729,,0.013729,,0.003696,,0.003696,
12/29/2012,72.169,143.758,0.0,215.927,,,6.886355,13.717366,0.0,20.603721,1.799277,3.584094,0.0,5.383371,
12/28/2013,,933.0,,933.0,1359.0,1359.0,,44.050992,,44.050992,,12.478267,,12.478267,
03/29/2014,,957.0,,,1361.0,,,47.423191,,,,13.458023,,,
06/28/2014,,948.0,,948.0,,,,51.298701,,51.298701,,13.595296,,13.595296,
12/27/2014,,930.0,,930.0,1341.0,1341.0,,57.371993,,57.371993,,13.763505,,13.763505,
03/28/2015,,938.0,,938.0,1628.0,,,57.82984,,57.82984,,14.324985,,14.324985,
06/27/2015,,919.0,,919.0,1325.0,,,58.054327,,58.054327,,14.449686,,14.449686,
09/26/2015,,919.0,,919.0,1313.0,1313.0,,58.164557,,58.164557,,14.228209,,14.228209,
12/26/2015,,997.0,,997.0,1307.0,1307.0,,62.195883,,62.195883,,15.47656,,15.47656,
03/26/2016,,1000.0,,1000.0,1290.0,,,60.204696,,60.204696,,16.572754,,16.572754,
06/25/2016,,1005.0,,1005.0,1292.0,1292.0,,54.032258,,54.032258,,16.280577,,16.280577,
09/24/2016,,997.0,,997.0,1019.0,1019.0,,53.921038,,53.921038,,16.952899,,16.952899,
12/31/2016,,,,,,,,52.537797,,52.537797,,17.563177,,17.563177,
04/01/2017,,972.0,,972.0,994.0,994.0,,49.744115,,49.744115,,17.884085,,17.884085,
07/01/2017,,968.0,,968.0,993.0,993.0,,49.012658,,49.012658,,17.886179,,17.886179,
09/30/2017,,963.0,,963.0,988.0,988.0,,47.159647,,47.159647,,17.843246,,17.843246,
12/30/2017,,955.0,,955.0,1730.0,1730.0,,44.667914,,44.667914,,15.10359,,15.10359,
03/31/2018,,937.0,,937.0,1706.0,1706.0,,43.08046,,43.08046,,14.663537,,14.663537,
06/30/2018,,932.0,,932.0,1687.0,1687.0,,43.2282,,43.2282,,14.656393,,14.656393,
09/29/2018,,930.0,,930.0,,1667.0,,42.330451,,42.330451,,14.369592,,14.369592,
12/29/2018,,926.0,,926.0,1438.0,1438.0,,43.555974,,43.555974,,15.01784,,15.01784,
03/30/2019,,927.0,,927.0,1417.0,1417.0,,44.017094,,44.017094,,12.407978,,12.407978,
06/29/2019,,923.0,,923.0,1393.0,1393.0,,44.332373,,44.332373,,12.5527,,12.5527,
09/28/2019,,917.0,,917.0,1367.0,1367.0,,43.112365,,43.112365,,12.488084,,12.488084,
12/28/2019,,910.0,,910.0,1344.0,1344.0,,41.877589,,41.877589,,12.446998,,12.446998,
03/28/2020,,92.0,,92.0,559.0,559.0,,4.309133,,4.309133,,1.425473,,1.425473,
06/27/2020,,151.0,,151.0,200.0,200.0,,8.794409,,8.794409,,2.574595,,2.574595,
