Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2007,448,305,305,,,,,,,,,,,,,,,,82,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,273,,273,,
12/31/2008,505,297,297,,,,,,,,,,,,,,,,131,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,335,,335,,
12/31/2009,1109,633,633,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,633.0,148,,,0.0,328.0,11.0,11.0,0.0,317.0,476,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,241.0,241.0,0.0,0.0,,0.0,0.0,,,,0.0,241.0,,,,,,0.0,,868,868,,868,,
12/31/2010,2990,1785,1785,,373.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,2246.0,574,820.0,-246.0,0.0,170.0,96.0,37.0,59.0,74.0,744,,29.0,29.0,,,,106.0,0.0,106.0,106.0,,0.0,0.0,0.0,254.0,389.0,367.0,250.0,117.0,117.0,,72.0,0.0,0.0,0.0,0.0,72.0,439.0,828.0,615.0,947.0,,,0.0,606.0,-6,2162,,2162,2990.0,
12/31/2011,6331,3908,1512,2396.0,547.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,,0.0,0.0,149.0,4604.0,1475,1925.0,-450.0,0.0,252.0,162.0,82.0,80.0,90.0,1727,,359.0,63.0,0.0,0.0,296.0,279.0,0.0,279.0,279.0,,261.0,0.0,0.0,171.0,899.0,398.0,0.0,398.0,398.0,,135.0,0.0,0.0,0.0,0.0,135.0,533.0,1432.0,615.0,2684.0,0.00798,2683.99202,0.0,1606.0,-6,4899,,4899,6331.0,
03/31/2012,6859,3910,1282,2628.0,482.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,,,,302.0,4694.0,1855,2392.0,-537.0,0.0,310.0,189.0,82.0,107.0,121.0,2165,,466.0,129.0,,,337.0,302.0,0.0,302.0,302.0,,271.0,,,178.0,1039.0,404.0,0.0,404.0,404.0,,144.0,,,,,144.0,548.0,1587.0,615.0,2853.0,0.011394,2852.988606,0.0,1811.0,-7,5272,,5272,6859.0,
06/30/2012,14928,10188,2098,8090.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,634.0,,567.0,0.0,11967.0,2105,2734.0,-629.0,0.0,856.0,809.0,100.0,709.0,47.0,2961,,484.0,43.0,,,441.0,312.0,0.0,312.0,312.0,,238.0,,,153.0,1034.0,394.0,0.0,394.0,394.0,,191.0,,,,,191.0,585.0,1619.0,0.0,11684.0,0.012852,11683.987148,0.0,1654.0,-29,13309,0.0,13309,14928.0,
09/30/2012,16038,10452,2478,7974.0,635.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,,,567.0,631.0,12285.0,2289,3023.0,-734.0,0.0,1464.0,1423.0,590.0,833.0,41.0,3753,,468.0,59.0,,,409.0,372.0,0.0,372.0,372.0,,240.0,,,155.0,1080.0,530.0,0.0,530.0,530.0,,254.0,,,,,254.0,784.0,1864.0,0.0,12585.0,0.012996,12584.987004,0.0,1595.0,-6,14174,,14174,16038.0,
12/31/2012,15103,9626,2384,7242.0,719.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,,,451.0,471.0,11267.0,2391,3273.0,-882.0,0.0,1445.0,1388.0,587.0,801.0,57.0,3836,,488.0,65.0,0.0,0.0,423.0,365.0,0.0,365.0,365.0,,199.0,0.0,,169.0,1052.0,1991.0,1500.0,491.0,491.0,,305.0,0.0,0.0,0.0,0.0,305.0,2296.0,3348.0,0.0,10094.0,0.014232,10093.985768,0.0,1659.0,2,11755,0.0,11755,15103.0,
03/31/2013,15163,9472,2325,7147.0,659.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,,,426.0,485.0,11042.0,2533,3535.0,-1002.0,0.0,1588.0,1501.0,654.0,847.0,87.0,4121,,505.0,75.0,,,430.0,338.0,0.0,338.0,338.0,,220.0,,,190.0,1063.0,1920.0,1500.0,420.0,420.0,,356.0,,,,,356.0,2276.0,3339.0,0.0,9961.0,0.014466,9960.985534,0.0,1878.0,-15,11824,,11824,15163.0,
06/30/2013,15724,10252,3001,7251.0,775.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,,,7.0,387.0,11421.0,2577,3591.0,-1014.0,0.0,1726.0,1631.0,762.0,869.0,95.0,4303,,560.0,55.0,,,505.0,316.0,0.0,316.0,316.0,,204.0,,,172.0,1080.0,1851.0,1500.0,351.0,351.0,,444.0,,,,,444.0,2295.0,3375.0,0.0,10167.0,0.014586,10166.985414,0.0,2211.0,-29,12349,,12349,15724.0,
