Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1989,140.152985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.867999,,,8.867999,8.867999,,0.0,0.130824,0.130824,,0.0,0.130824,0.130824,0.130824,
02/28/1990,81.431,,,,-71.572998,,,9.858002,,-4.811,,,,5.047,0.0,,0.0,,0.0,,0.0,5.047,-1.767,3.28,0.0,,,3.28,0.0,3.28,0.0,,3.28,3.28,,67.595316,0.049059,0.049059,,67.595316,0.049059,0.049059,0.049059,
05/31/1990,86.531998,,,,-75.711998,,,10.82,,-5.084,,,,5.736,0.0,,0.0,,0.0,,0.0,5.736,-2.007,3.729,0.0,,,3.729,0.0,3.729,0.0,,3.729,3.729,,67.642402,0.055006,0.055006,,67.642402,0.055006,0.055006,0.055006,
08/31/1990,87.648003,,,,-77.802002,,,9.846001,,-4.839,,,,5.007,0.0,,0.0,,0.0,,0.0,5.007,-1.753,3.254,0.0,,,3.254,0.0,3.254,0.0,,3.254,3.254,,67.622227,0.047573,0.047573,,67.622227,0.047573,0.047573,0.047573,
11/30/1990,95.259003,,,,-84.262001,,,10.997002,,-5.774,,,,5.223,0.0,,0.0,,0.0,,0.0,5.223,-1.828,3.395,0.0,,,3.395,0.0,3.395,0.0,,3.395,3.395,,67.154727,0.050546,0.050546,0.050546,67.154727,0.050546,0.050546,0.050546,
02/28/1991,72.328003,,,,-60.108002,,,12.220001,,-4.265,,,,7.955,0.0,,0.0,,0.0,,0.0,7.955,-2.784,5.171,0.0,,,5.171,0.0,5.171,0.0,,5.171,5.171,,67.070643,0.077305,0.077305,,67.070643,0.077305,0.077305,0.077305,
05/31/1991,73.537003,,,,-61.347,,,12.190002,,-4.23,,,,7.96,0.0,,0.0,,0.0,,0.0,7.96,-2.945,5.015,0.0,,,5.015,0.0,5.015,0.0,,5.015,5.015,,67.326254,0.074332,0.074332,,67.326254,0.074332,0.074332,0.074332,
08/31/1991,80.544998,,,,-67.824997,,,12.720001,,-4.537,,,,8.183,0.0,,0.0,,0.0,,0.0,8.183,-2.946,5.237,0.0,,,5.237,0.0,5.237,0.0,,5.237,5.237,,67.88456,0.077305,0.077305,,67.88456,0.077305,0.077305,0.077305,
11/30/1991,99.333,,,,-86.101997,,,13.231003,,-4.286,,,,8.945,0.0,,0.0,,0.0,,0.0,8.945,-3.22,5.725,0.0,,,5.725,0.0,5.725,0.0,,5.725,5.725,,67.64913,0.083252,0.083252,0.083252,67.64913,0.083252,0.083252,0.083252,
02/29/1992,84.901001,,,,-68.137001,,,16.764,,-3.935,,,,12.829,0.0,,0.0,,0.0,,0.0,12.829,-4.747,8.082,0.0,,,8.082,0.0,8.082,0.0,,8.082,8.082,,68.752286,0.118931,0.118931,,68.752286,0.118931,0.118931,0.118931,
