Date,P/E,Average,High,Low,P/Book,P/Sales,EV/Sales,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
08/02/1980,,,,,,,,,2.302404,,
11/02/1980,,,,,,,,,2.177273,,
02/02/1981,,,,,,,,,2.364969,,
05/02/1981,,,,,,,,,2.715335,,
08/02/1981,,,,,,,,,2.846722,,
11/02/1981,,,,,,,,,2.752874,,
02/02/1982,,,,,,,,,2.827953,,
05/02/1982,,,,,,,,,3.328475,,
08/02/1982,,,,,,,,,3.10324,,
11/02/1982,,,,,,,,,3.904076,,
02/02/1983,,,,,,,,,3.828998,,
05/02/1983,,,,,,,,,4.704913,,
08/02/1983,,,,,,,,,4.191877,,
11/02/1983,,,,,,,,,5.236718,,
02/02/1984,,,,,,,,,5.818575,,
05/02/1984,,,,,,,,,5.180409,,
08/02/1984,,,,,,,,,5.856115,,
11/02/1984,,,,,,,,,6.269046,,
02/02/1985,,,,,,,,,6.606898,,
05/02/1985,,,,,,,,,6.944751,,
08/02/1985,,,,,,,,,7.977079,,
11/02/1985,,,,,,,,,8.596476,,
02/02/1986,,,,,,,,,9.384799,,
05/02/1986,,,,,,,,,12.312856,,
08/02/1986,,,,,,,,,13.439032,,
11/02/1986,,,,,,,,,13.026101,,
02/02/1987,,,,,,,,,13.626728,,
05/02/1987,,,,,,,,,12.951023,,
08/02/1987,,,,,,,,,14.9406,,
11/02/1987,,,,,,,,,12.951023,,
02/02/1988,,,,,,,,,11.862386,,
05/02/1988,,,,,,,,,12.350395,,
08/02/1988,,,,,,,,,12.575631,,
11/02/1988,,,,,,,,,13.851963,,
02/02/1989,,,,,,,,,14.377512,,
05/02/1989,,,,,,,,,15.090757,,
08/02/1989,,8695.189167,8695.189167,8695.189167,4.387112,,,,18.619441,8634.987125,
11/01/1989,,8605.368618,9179.382627,8156.824617,4.498334,,,,19.14499,9221.425273,
01/31/1990,,9485.759423,10182.696483,8612.620174,4.107672,,,,18.018814,8776.285091,
05/02/1990,16.622691,8968.071099,9730.063854,8227.419567,4.233588,1.376151,1.479199,9.764384,18.919755,9001.942181,
08/01/1990,17.984694,9695.907826,10301.221971,9027.866632,4.469388,1.513057,1.635946,10.579587,21.172106,10131.382924,
10/31/1990,16.044776,9265.225905,10002.879919,8717.849859,3.844426,1.359365,1.500376,9.641036,19.370225,9462.098836,
01/30/1991,16.504854,9917.639075,10332.784669,9333.108343,3.860582,1.3899,1.537874,9.934538,20.421323,10000.881068,
05/01/1991,17.674419,10779.486486,11714.046465,9754.407164,4.334706,1.509811,1.620522,10.38643,22.823831,10771.79792,
07/31/1991,15.039063,10639.306614,10836.697752,10382.645407,4.087381,1.548622,1.611789,10.791474,23.124145,10618.669627,
10/30/1991,15.75,11057.971899,12846.73588,10295.118372,4.169639,1.599611,1.794016,12.302498,23.649693,11725.436839,
01/29/1992,16.803279,11634.041976,12270.339938,11052.321246,4.288942,1.662812,1.864275,13.13608,24.625712,12216.987958,
