Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Associates,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,427.619995,1.739,,,,7.791,,29.237,,,,,,,61.369999,0.0,61.369999,8.431,,,,,,,0.0,388.212996,,148.410004,0.0,,,,,,4.396,,,,,,,,,40.201,193.007004,0.0,3.981,,,-13.006,,243.638003,234.613004,0.0,234.613004,427.620008,
03/31/1990,451.679993,1.268,,,,6.909,,26.938,,,,,,,64.144997,0.0,64.144997,8.34,,,,,,,0.0,415.133993,,167.324005,0.0,,,,,,4.393,,,,,,,,,27.174999,198.892004,0.0,3.981,,,-11.297,,260.104007,252.788007,0.0,252.788007,451.680011,
06/30/1990,460.485992,1.109,,,,9.012,,29.049,,,,,,,60.854,0.0,60.854,19.145,,,,,,,0.0,411.182992,,154.089996,0.0,,,,,,2.12,,,,,,,,,32.491001,188.700997,0.0,3.981,,,-11.155,,278.958985,271.784986,0.0,271.784986,460.485983,
09/30/1990,478.542999,1.703,,,,19.1,,24.107,,,,,,,59.962002,-1.047,58.915001,17.301001,,,,,,,0.0,435.431998,,153.572998,0.115,,,,,,4.053,,,,,,,,,31.975,189.715998,0.0,3.99,,,-13.033,,297.870006,288.827006,0.0,288.827006,478.543004,
12/31/1990,505.13501,1.415,,,,11.013,,24.26,,,,,,,61.445,0.0,61.445,17.618999,,,,,,,0.0,461.84101,,154.634003,0.0,,,,,,4.114,,,,,,,,,45.361,204.109003,0.0,3.991,,,-19.370001,,316.405005,301.026004,0.0,301.026004,505.135006,
03/31/1991,520.414001,1.725,,,,8.577,,24.259001,,,,,,,62.812,0.0,62.812,21.454,,,,,,,0.0,472.976,,167.231995,0.0,,,,,,4.112,,,,,,,,,28.719,200.062994,0.0,3.996,,,-19.275999,,335.63101,320.351011,0.0,320.351011,520.414006,
06/30/1991,545.825989,2.484,,,,11.376,,26.193001,,,,,,,73.394997,0.0,73.394997,21.535,,,,,,,0.0,495.613988,,171.322998,0.0,,,,,,4.102,,,,,,,,,30.142,205.566998,0.0,4.017,,,-19.174,,355.416004,340.259005,0.0,340.259005,545.826003,
09/30/1991,578.609985,3.893,,,,21.07,,29.992001,,,,,,,89.771004,-1.233,88.538002,22.35,,,,,,,0.0,522.374985,,174.132004,1.493,,,,,,4.058,,,,,,,,,35.911999,215.595003,0.0,4.017,,,-19.174,,378.171986,363.014986,0.0,363.014986,578.609989,
12/31/1991,626.664978,2.847,,,,17.357,,29.063999,,,,,,,138.044006,0.0,138.044006,22.434,,,,,,,0.0,572.319979,,186.880997,0.0,,,,,,5.597,,,,,,,,,47.426998,239.904995,0.0,4.001,,,-19.08,,401.839003,386.760003,0.0,386.760003,626.664998,
03/31/1992,625.744995,4.236,,,,17.773001,,31.886999,,,,,,,140.701004,0.0,140.701004,29.004999,,,,,,,0.0,560.616997,,174.792007,0.0,,,,,,5.424,,,,,,,,,32.541,212.757008,0.0,7.88,,,-18.878,,423.986002,412.988002,0.0,412.988002,625.745009,
06/30/1992,638.815979,5.183,,,,17.18,,34.439999,,,,,,,140.309998,0.0,140.309998,30.101999,,,,,,,0.0,569.090981,,163.697998,0.0,,,,,,5.625,,,,,,,,,30.209999,199.532997,0.0,7.88,,,-18.534,,449.937016,439.283015,0.0,439.283015,638.816012,
09/30/1992,834.286987,2.802,,,,17.594999,,35.862999,,,,,,,136.695999,-2.055,134.640999,34.806999,,,,,,,,760.814989,,176.972,1.518,,,,,,154.022995,,,,,,,,,34.566002,367.078997,0.0,7.881,,,-18.534,,477.860996,467.207996,0.0,467.207996,834.286993,
12/31/1992,1376.36499,18.459,,,,13.762,,78.843002,,,,,,,130.240997,0.0,130.240997,53.171001,,,,,,,0.0,1225.891987,,188.787994,8.385,,,,,,510.0,,,,,,,,,94.171997,801.344992,0.0,91.222,,,-18.533001,,502.331005,575.020004,0.0,575.020004,1376.364996,
03/31/1993,1410.376953,21.226999,,,,9.865,,88.088997,,,,,,,129.093994,0.0,129.093994,55.192001,,,,,,,0.0,1245.868956,,187.033997,8.521,,,,,,510.0,,,,,,,,,91.017998,796.572994,0.0,91.779999,,,-0.018,,522.041987,613.803986,0.0,613.803986,1410.37698,
06/30/1993,1461.144043,17.849001,,,,9.816,,107.508003,,,,,,,127.386002,0.0,127.386002,57.292999,,,,,,,0.0,1278.49404,,189.365005,8.029,,,,,,496.0,,,,,,,,,111.639999,805.034005,0.0,91.875999,,,-0.018,,564.252009,656.110008,0.0,656.110008,1461.144013,
09/30/1993,1581.534058,302.951996,,,,9.393,,119.481003,,,,,,,130.292007,-1.472,128.820007,65.990997,,,,,,,,1093.110062,,194.835007,56.724998,,,,,,440.990997,,,,,,,,,168.605001,861.156003,0.0,91.892998,,,0.0,,628.484985,720.377983,0.0,720.377983,1581.533986,
12/31/1993,1627.515991,353.716003,,,,9.398,,150.384003,,,,,,,162.875,0.0,162.875,71.391998,,,,,,,,1052.023987,,216.035995,50.387001,,,,,,439.519989,,,,,,,,,146.890001,852.832987,0.0,98.934998,,,0.0,,675.747986,774.682983,0.0,774.682983,1627.51597,
03/31/1994,1648.897949,259.516998,,,,9.142,,173.792999,,,,,,,196.080002,0.0,196.080002,77.314003,,,,,,,,1138.273949,,212.595001,49.098,,,,,,427.744995,,,,,,,,,133.452,822.889996,0.0,98.934998,,,-10.202,,737.274998,826.007996,0.0,826.007996,1648.897991,
06/30/1994,1651.654053,218.552994,,,,9.017,,113.185997,,,,,,,280.502991,0.0,280.502991,89.942001,,,,,,,,1229.973061,,197.830994,150.707993,,,,,,299.528015,,,,,,,,,133.907999,781.975,0.0,98.977997,,,-25.309999,,796.010988,869.678986,0.0,869.678986,1651.653986,
09/30/1994,1737.984985,210.376007,,,,9.014,,124.960999,,,,,,,391.824005,0.0,391.824005,94.218002,,,,,,,,1308.429977,,190.897995,84.482002,,,,,,383.667999,,,,,,,,,148.122006,807.170002,0.0,100.509003,,,-25.409,,855.71503,930.815033,0.0,930.815033,1737.985035,
12/31/1994,1777.670044,197.858994,,,,9.066,,96.105003,,,,,,,470.25,0.0,470.25,97.580002,,,,,,,0.0,1386.126045,,198.414993,84.586998,,,,,,382.608002,,,,,,,,,123.364997,788.97499,0.0,99.772003,,,-22.160999,,911.083973,988.694977,0.0,988.694977,1777.669967,
03/31/1995,1834.668945,200.177994,,,,8.969,,118.738998,,,,,,,486.519989,-5.424,481.096008,102.285004,,,,,,,0.0,1413.466949,,194.703995,109.793999,,,,,,382.398987,,,,,,,,,110.952002,797.848982,0.0,100.360001,,,-32.709,,969.169022,1036.820023,0.0,1036.820023,1834.669004,
06/30/1995,1871.76001,224.468002,,,,8.727,,129.953995,,,,,,,474.399994,-7.244,467.156006,109.592003,,,,,,,0.0,1407.74601,,183.882004,96.790001,,,,,,382.487,,,,,,,,,120.309,783.468004,0.0,100.311996,,,-47.872002,,1035.851982,1088.291977,0.0,1088.291977,1871.759981,
09/30/1995,2244.680908,261.699005,,,,8.826,,451.652008,,,,,,,459.093994,-9.081,450.012994,118.627998,,,,,,,,1412.701897,,169.373993,317.20401,,,,,,152.367004,,,,,,,,,444.693014,1083.638021,0.0,100.416,,,-48.519001,,1109.145954,1161.042953,0.0,1161.042953,2244.680974,
12/31/1995,2221.045898,323.187988,,,,8.762,,392.77301,,,,,,,416.966003,0.0,416.966003,123.473,,,,,,,0.0,1381.6119,,165.496002,75.918999,,,,,,382.294006,,,,,,,,,409.669996,1033.379004,0.0,108.018997,,,-87.705002,,1167.352951,1187.666946,0.0,1187.666946,2221.04595,
03/31/1996,2261.461914,337.582001,,,,8.89,,417.941986,,,,,,,385.865997,,385.865997,129.695999,,,,,,,0.0,1376.241928,,149.205994,30.333,,,,,,421.18399,,,,,,,,,401.985008,1002.707993,0.0,106.487,,,-86.360001,,1238.626968,1258.753967,0.0,1258.753967,2261.46196,
06/30/1996,2257.370117,383.325989,,,,8.804,,406.605988,,,,,,,367.958008,,367.958008,142.662994,,,,,,,0.0,1324.775146,,145.529999,0.374,,,,,,379.618988,,,,,,,,,406.056013,931.579,0.0,107.158997,,,-86.577003,,1305.208961,1325.790955,0.0,1325.790955,2257.369955,
09/30/1996,2374.166992,502.188995,,,,0.0,,424.712006,,,,,,,354.963013,-9.564,345.398987,161.613007,,,,,,,0.0,1285.652985,,131.218994,129.158005,,,,,,270.730988,,,,,,,,,442.468,973.575987,0.0,109.452003,,,-90.301003,,1381.440041,1400.591042,0.0,1400.591042,2374.167028,
12/31/1996,2726.753906,280.363007,,,,0.0,,387.386993,,,,,,,335.628998,,335.628998,166.037994,,,,,,,0.0,1892.965912,,122.938004,150.531998,,,,,,468.320007,,,,,,,,,436.720009,1178.510017,0.0,96.278999,,,-0.049,,1452.013966,1548.243965,0.0,1548.243965,2726.753983,
03/31/1997,2790.697998,301.355988,,,,0.0,,417.52301,,,,,,,317.377991,,317.377991,168.561005,,,,,,,0.0,1903.257996,,113.600998,150.419998,,,,,,443.492004,,,,,,,,,438.010012,1145.523012,0.0,103.967003,,,0.0,,1541.208008,1645.175011,0.0,1645.175011,2790.698023,
06/30/1997,2881.75293,333.441986,,,,0.0,,423.44101,,,,,,,305.53299,,305.53299,199.087006,,,,,,,0.0,1925.782928,,107.889999,49.584999,,,,,,521.455994,,,,,,,,,459.999989,1138.930981,0.0,102.837997,,,-6.436,,1646.420009,1742.822006,0.0,1742.822006,2881.752987,
09/30/1997,3095.199951,442.740997,,,,0.0,,437.648987,,,,,,,304.747986,-8.56,296.187988,217.085007,,,,,,,0.0,1997.72496,,98.403999,416.617004,,,,,,194.998993,,,,,,,,,530.958992,1240.978988,0.0,103.830002,,,-11.07,,1761.460991,1854.220993,0.0,1854.220993,3095.199981,
12/31/1997,3167.548096,452.792999,,,,0.0,,209.850998,,,,,,,488.44101,,488.44101,258.18399,,1216.458008,,,,,0.0,1030.2621,,100.067001,293.057007,,,,,,299.540985,,,,,,,,,491.030998,1183.695992,0.0,133.972,,,0.0,,1849.880005,1983.852005,0.0,1983.852005,3167.547997,
03/31/1998,3346.689941,545.481995,,,,0.0,,459.042999,,,,,,,290.233002,,290.233002,294.230011,,1207.504028,,,,,0.0,840.430908,,91.307999,328.931,,,,,,301.627991,,,,,,,,,503.856995,1225.723984,0.0,148.863998,,,0.0,,1972.102051,2120.966049,0.0,2120.966049,3346.690033,
06/30/1998,3575.418945,707.307983,,,,0.0,,456.444,,,,,,,290.860992,,290.860992,325.959015,,1262.33606,,,,,0.0,823.371887,,90.913002,338.221985,,,,,,548.68103,,,,,,,,,363.801991,1341.618008,0.0,152.188995,,,0.0,,2081.612061,2233.801056,0.0,2233.801056,3575.419064,
09/30/1998,3480.049072,556.04303,,,,0.0,,317.881012,,,,,,,167.455002,-2.381,165.074005,349.229004,,1253.713013,,,,,0.0,1003.183014,,87.780998,117.956001,,,,,,494.459015,,,,,,,,,499.085999,1199.282013,0.0,118.207001,,,0.0,,2162.560059,2280.767059,0.0,2280.767059,3480.049072,
12/31/1998,3398.153076,651.169983,,,,0.0,,363.710999,,,,,,,192.729996,,192.729996,365.092987,,1244.339966,,,,,,773.839142,,80.216003,58.515999,,,,,,413.233002,,,,,,,,,479.370998,1031.336002,0.0,140.281998,,,0.0,2249.443115,-22.908203,2366.81691,0.0,2366.81691,3398.152912,
