Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,7.048341,0.987389,0.987389,0.0,1.238217,,,0.043413,,,,,0.154685,,,,,,2.423704,4.624637,14.172979,-9.548342,0.0,,0.0,,,,,0.0,4.624637,,0.925302,0.925302,,,,0.049377,,,,,,0.59825,,,,0.59825,1.572929,4.321869,,,,,0.0,,,,,,0.0,4.321869,5.894798,0.009,12.442285,,,0.0,,-11.297742,1.153543,0.0,1.153543,7.048341,
06/30/1990,13.108671,1.991341,1.991341,0.0,1.659409,,,0.041505,,,,,0.221321,,,,,,3.913576,9.095095,22.587053,-13.491959,0.0,,0.1,,,,,0.1,9.195095,,1.148193,1.148193,,,,0.047286,,,,,,0.741332,,,,0.741332,1.936811,4.307849,,,,,0.0,,,,,,0.0,4.307849,6.24466,0.0411,15.744474,,,0.0,,-11.307849,4.477725,2.386286,6.864012,13.108671,
09/30/1990,13.711948,1.702459,1.702459,0.0,2.025484,,,0.008815,,,,,0.205084,,,,,,3.941842,8.992666,22.795864,-13.803199,0.0,,0.77744,,,,,0.77744,9.770106,,1.265028,1.265028,,,,0.057779,,,,,,0.704052,,,,0.704052,2.026859,4.313716,,,,,0.0,,,,,,0.0,4.313716,6.340575,0.0411,16.329391,,,0.0,,-11.35096,5.019532,2.351842,7.371374,13.711949,
12/31/1990,13.764781,1.33676,1.33676,0.0,2.292172,,,,,,,,0.149418,,,,,,3.77835,9.206783,18.440838,-9.234054,,,0.779648,,,,,0.779648,9.986431,,1.782165,1.782165,,,,0.054522,,,,,,1.258638,,,,1.258638,3.095325,4.216215,,,,,0.0,,,,,,0.0,4.216215,7.31154,0.0411,17.712261,,,0.0,,-11.300121,6.45324,,6.45324,13.76478,
03/31/1991,15.60817,1.538229,1.538229,0.0,2.558598,,,,,,,,0.157957,,,,,,4.254784,10.613421,20.280287,-9.666866,0.0,,0.739965,,,,,0.739965,11.353386,,1.575869,1.575869,,,,0.520494,,,,,,1.090522,,,,1.090522,3.186885,4.631264,,,,,0.0,,,,,,0.0,4.631264,7.818149,0.0411,18.552708,,,0.0,,-11.292331,7.301477,0.488544,7.790021,15.60817,
06/30/1991,16.219713,0.527491,0.527491,0.0,3.250208,,,,,,,,0.184918,,,,,,3.962617,11.580395,21.718988,-10.138594,0.0,,0.676702,,,,,0.676702,12.257097,,1.481077,1.481077,,,,0.544179,,,,,,1.168808,,,,1.168808,3.194064,5.566801,,,,,0.0,,,,,,0.0,5.566801,8.760865,0.0386,18.575521,,,0.0,,-11.310791,7.30333,0.155518,7.458848,16.219713,
09/30/1991,21.422747,0.68648,0.68648,0.0,3.365107,,,,,,,,0.408211,,,,,,4.459798,16.328831,26.874876,-10.546046,0.0,,0.634119,,,,,0.634119,16.96295,,1.387585,1.387585,,,,0.7534,,,,,,1.797304,,,,1.797304,3.938289,9.834487,,,,,0.0,,,,,,0.0,9.834487,13.772776,0.0386,18.890186,,,0.0,,-11.278815,7.649971,0.0,7.649971,21.422747,
12/31/1991,24.332003,1.176584,1.176584,0.0,3.164182,,,,,,,,0.41271,,,,,,4.753476,18.174887,28.660154,-10.485267,,,1.40364,,,,,1.40364,19.578527,,2.070963,2.070963,,,,0.754425,,,,,,1.855935,,,,1.855935,4.681323,11.688616,,,,,0.0,,,,,,0.0,11.688616,16.369939,0.0376,19.167425,,,0.0,,-11.242962,7.962063,,7.962063,24.332002,
03/31/1992,26.274551,0.586794,0.586794,0.0,3.548127,,,,,,,,0.298353,,,,,,4.433274,20.499947,31.61574,-11.115794,,,1.341332,,,,,1.341332,21.841279,,2.599404,2.599404,,,,1.398205,,,,,,1.62349,,,,1.62349,5.621099,12.030083,,,,,0.0,,,,,,0.0,12.030083,17.651182,0.0351,19.730515,,,0.0,,-11.221193,8.544421,0.078949,8.62337,26.274552,
06/30/1992,26.09362,0.50981,0.50981,0.0,3.496753,,,,,,,,0.348586,,,,,,4.355149,21.737106,33.197361,-11.460255,0.0,,0.001366,,,,,0.001366,21.738472,,2.152232,2.152232,,,,1.278369,,,,,,1.91135,,,,1.91135,5.341951,12.055641,,,,,0.0,,,,,,0.0,12.055641,17.397592,0.0331,19.698471,,,0.0,,-11.111349,8.620222,0.075807,8.696029,26.093621,
