Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,13.683,-74.001999,53.870998,24.684,,,24.684,9.13,,,,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,7.437,-67.737,52.004002,25.226,,,25.226,-2.056,,,,-2.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,26.322001,-74.533997,55.714001,25.083,,,25.083,20.059,,,,20.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,4.132,-55.102001,54.699001,32.195999,,,32.195999,-27.660999,,,,-27.660999,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.132,,,
03/31/1991,20.006001,-51.855,54.623001,12.049,,,12.049,5.189,,,,5.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,20.327999,-56.042,53.027,24.695999,,,24.695999,-1.353,,,,-1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,18.719999,-50.748001,53.046001,17.441,,,17.441,-1.019,,,,-1.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,27.069,-68.554001,54.630001,27.608999,,,27.608999,13.384,,,,13.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.069,,,
03/31/1992,6.401,-51.348,53.213001,25.441,,,25.441,-20.905001,,,,-20.905001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,30.209,-82.653999,52.757999,62.960999,,,62.960999,-2.856,,,,-2.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,21.632999,-50.602001,17.566,13.157,,,13.157,41.512001,,,,41.512001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,25.945,-70.549004,45.000999,7.463002,,,7.463002,44.029999,,,,44.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.945,,,
03/31/1993,-13.879,-55.688999,46.584,31.348,,,31.348,-36.122002,,,,-36.122002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,44.375999,-48.785999,46.470001,19.886,,,19.886,26.806,,,,26.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,21.909,-55.426998,48.186001,-9.901,,,-9.901,39.050999,,,,39.050999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,36.297001,-85.879997,53.664001,72.373001,,,72.373001,-3.86,,,,-3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.297001,,,
03/31/1994,23.326,-57.126999,54.772999,31.24,,,31.24,-5.56,,,,-5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,20.0,-54.723999,55.321999,30.815001,,,30.815001,-11.413,,,,-11.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,69.906998,-66.880997,65.859001,35.238998,,,35.238998,35.689999,,,,35.689999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,13.392,-136.419006,95.389,64.429001,,,64.429001,-10.007,,,,-10.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.392,,,
03/31/1995,41.348999,-98.501999,82.653999,49.376999,,,49.376999,7.82,,,,7.82,,-52.264,-52.264,,,,-52.264,,,,,,,,,,0.0,,,,,,,,,,,-10.915001,,,
06/30/1995,48.926998,-96.936996,76.883003,41.157001,,,41.157001,27.823999,,,,27.823999,,,-66.916,,,,-66.916,,,,,,,,,,66.916,,,,,,,,,,,,,,
09/30/1995,24.694,-41.679001,77.250999,2.535,,,2.535,-13.413,,,,-13.413,,-69.765999,-69.765999,,,,-69.765999,,,,,,,,,,0.0,,,,,,,,,,,-45.071999,,,
12/31/1995,39.744999,-80.339996,83.140999,41.117001,,,41.117001,-4.173,,,,-4.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.744999,,,
03/31/1996,46.207001,-76.302002,84.694,35.964001,,,35.964001,1.851,,,,1.851,,-77.031998,-77.031998,,,,-77.031998,,,,,,,,,,0.0,,,,,,,,,,,-30.824997,,,
06/30/1996,40.248001,-84.174004,90.473999,49.810001,,,49.810001,-15.862,,,,-15.862,,-101.061996,-101.061996,,,,-101.061996,,,,,,,,,,0.0,,,,,,,,,,,-60.813995,,,
09/30/1996,82.623001,-72.508003,87.572998,15.941,,,15.941,51.617001,,,,51.617001,,-116.088997,-116.088997,,,,-116.088997,,,,,,,,,,0.0,,,,,,,,,,,-33.465996,,,
12/31/1996,31.302,-99.095001,126.240997,36.535,,,36.535,-32.379002,,,,-32.379002,,-154.981995,-154.981995,,,,-154.981995,,,,,,,,,,0.0,,,,,,,,,,,-123.679995,,,
03/03/1997,63.643002,-75.956001,108.004997,37.099998,,,37.099998,-5.506,,,,-5.506,,-292.825989,-93.442004,0.357,,,-93.799004,,,0.0,0.0,0.0,,,,,-199.383985,231.05699,-7.778,243.47599,,,0.095,0.095,0.0,-4.736,,1.874,,,
06/30/1997,54.241001,-92.010002,114.575996,0.435,,,0.435,31.24,,,,31.24,,-594.742004,-108.782001,0.049,,,-108.831001,,,0.0,0.0,0.0,,,,,-485.960003,561.474992,-7.334,612.205994,,,0.322,0.322,0.0,-43.719002,,20.974001,,,
09/30/1997,121.137001,84.046997,140.442001,-94.016998,,,-94.016998,-9.335,,,,-9.335,,-136.281998,-112.033998,1.553,,,-113.586998,,,0.0,0.0,0.0,,,,,-24.248,12.819996,-7.777,125.908996,,,-110.005,2.301,-112.306,4.693,,-2.325,,,
12/31/1997,32.666,220.582001,136.785995,-340.950989,,,-340.950989,16.249001,,,,16.249001,,775.234009,-141.402001,,,,-141.402001,,,0.0,0.0,0.0,,,,,916.63601,-429.849056,-7.335,-421.883056,,,4.948,4.948,,-5.579,,378.006012,,,
03/31/1998,59.091999,-27.204,146.578995,-89.417999,,,-89.417999,29.135,,,,29.135,,178.013,-150.155003,0.298,,,-150.453003,,,0.0,0.0,0.0,,,,,328.168003,-200.274055,0.0,-193.456055,,,-6.795,2.614,-9.409,-0.023,,36.831001,0.0,75.537003,
06/30/1998,3.348,-122.950996,172.367004,21.893,,,21.893,-67.960999,,,,-67.960999,,-182.828995,-98.987997,9.407,,,-108.394997,,,0.0,0.0,0.0,,,,,-83.840998,-94.518062,0.0,99.887939,,,6.092,6.092,0.0,-200.498001,,-273.998993,0.0,123.591003,
09/30/1998,218.686005,-113.613998,178.921997,16.532,,,16.532,136.845993,,,,136.845993,,-138.546005,-128.164993,,,,-128.164993,,,0.0,0.0,0.0,,,,,-10.381012,-103.346939,0.0,-88.986938,,,1.993,1.993,0.0,-16.353001,,-23.207001,0.0,75.231003,
12/31/1998,96.939003,-304.73999,236.238998,96.307999,,,96.307999,69.132004,,,,69.132004,,-325.062012,-174.391006,,,,-174.391006,,,0.0,0.0,0.0,,,,,-150.671006,252.181983,,245.320983,,,1.384,1.384,,5.477,,24.059,,,
03/31/1999,5.427,-238.647003,205.453003,21.183001,,,21.183001,17.438,,,,17.438,,-201.628006,-157.458007,0.155,,,-157.613007,,,0.0,0.0,0.0,,,,,-44.169999,180.949016,0.0,181.192016,,,1.624,2.082,-0.458,-1.867,,-15.252,,84.892998,
06/30/1999,-14.13,-167.847,209.718994,39.84,,,39.84,-95.842003,,,,-95.842003,,-322.691986,-222.961,0.276,,,-223.237,,,0.0,0.0,0.0,,,,,-99.730986,236.537001,0.0,233.901001,,,6.591,6.631,-0.04,-3.955,,-100.285004,,119.887001,
09/30/1999,169.557999,-178.063004,212.737,33.283001,,,33.283001,101.600998,,,,101.600998,,-213.819,-214.287995,0.291,,,-214.578995,,,0.0,0.0,0.0,,,,,0.468995,51.414933,0.0,62.731933,,,2.31,2.311,-0.001,-13.627,,7.154,,147.440002,
12/31/1999,113.262001,-216.050003,265.888,51.418999,,,51.418999,12.005,,,,12.005,,-293.372986,-274.992,0.745,,,-275.737,,,0.0,0.0,0.0,,,,,-18.380986,177.33301,0.0,200.747009,,,4.146,4.146,0.0,-27.559999,,-2.778,,79.865997,
03/31/2000,-4.674,-115.495003,235.916,43.657001,,,43.657001,-168.751999,,,,-168.751999,,-328.584015,-203.264007,0.084,,,-203.348007,,,0.0,0.0,0.0,,,,,-125.320008,321.934011,0.0,326.411011,,,4.443,4.443,0.0,-8.92,,-11.324,,140.580002,
