Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2008,9957.400391,534.700001,483.0,51.700001,1320.599976,1320.599976,,1222.400024,,,,,37.099998,,,,,3114.800049,2995.199951,6707.0,-3711.800049,,,3847.399902,2522.199951,2522.199951,0,,1325.199951,6842.599854,,978.5,978.5,,835.099976,,,,,,656.900024,,,656.900024,2470.5,3187.800049,,,,,1385.0,,,,1385.0,4572.800049,7043.300049,,1080.699951,,,,1887.5,-54.099976,2914.099976,,2914.099976,9957.400024,
03/31/2009,7751.6,378.2,362.3,15.9,920.2,920.2,0.0,1044.8,116.2,0.7,875.6,52.3,73.7,48.4,17.4,,0.0,2416.9,2486.4,5711.0,-3224.6,105.3,105.3,2743.0,2130.3,2130.3,0,,595.3,5334.7,,754.4,754.4,,353.6,336.7,,,,16.9,554.1,,0.9,507.9,1662.1,2964.0,2964.0,,,,1408.8,,937.8,138.6,331.5,4372.8,6034.9,0.0,915.3,,915.3,,2261.6,-1700.4,1476.5,240.2,1716.7,7751.6,
06/30/2009,8614.2,682.0,677.2,4.8,1120.9,1120.9,0.0,1039.0,125.0,1.2,860.3,52.5,75.5,70.0,0.2,,0.0,2917.4,2652.3,6206.3,-3554.0,115.7,115.7,2928.8,2290.8,2290.8,0,,637.8,5696.8,,802.5,802.5,,357.8,357.8,,,,,622.6,,,580.1,1782.9,3284.4,3284.4,,,,1455.3,,951.4,154.2,349.7,4739.7,6522.6,0.0,872.8,,872.8,,2410.9,-1424.4,1859.3,232.3,2091.6,8614.2,
09/30/2009,9119.8,1018.0,1017.1,0.9,1146.6,1146.6,0.0,1035.4,116.9,1.1,862.5,54.9,45.5,45.5,7.2,,0.0,3245.5,2709.9,6559.2,-3849.3,124.0,124.0,3040.4,2382.3,2382.3,0,,650.9,5874.3,,816.1,816.1,,377.6,377.6,,,,,730.8,,14.3,716.2,1924.5,3343.9,3343.9,,,,1478.4,,949.4,160.1,354.6,4822.3,6746.8,0.0,843.0,,843.0,,2537.6,-1250.5,2130.1,242.9,2373.0,9119.8,
12/31/2009,8727.0,756.0,755.0,1.0,983.0,983.0,0.0,889.0,104.0,0.0,734.0,51.0,169.0,77.0,7.0,15.0,0.0,2797.0,2711.0,6553.0,-3842.0,114.0,114.0,3105.0,2381.0,2381.0,0,46.0,637.0,5930.0,,1291.0,850.0,441.0,350.0,300.0,0.0,0.0,,50.0,218.0,0.0,0.0,201.0,1859.0,3258.0,3258.0,0.0,0.0,,1389.0,0.0,845.0,186.0,343.0,4647.0,6506.0,0.0,783.0,,783.0,,2531.0,-1291.0,2023.0,198.0,2221.0,8727.0,
03/31/2010,8371.7,522.0,521.4,0.6,1048.0,1048.0,0.0,902.1,109.9,0.0,742.3,49.9,64.6,64.6,15.6,,0.0,2536.7,2696.5,6510.2,-3813.7,116.3,116.3,3022.2,2346.7,2346.7,0,41.6,618.3,5835.0,,825.6,825.6,,283.1,234.8,,,,48.3,614.9,,,606.3,1723.6,3184.9,3184.9,,,,1325.4,,821.4,175.1,328.9,4510.3,6233.9,0.0,612.6,,612.6,,2616.4,-1300.8,1928.2,209.6,2137.8,8371.7,
06/30/2010,8358.0,649.0,648.0,1.0,1076.0,1076.0,0.0,856.0,94.0,0.0,713.0,49.0,147.0,69.0,26.0,15.0,0.0,2728.0,2598.0,6231.0,-3633.0,106.0,106.0,2926.0,2222.0,2222.0,0,41.0,601.0,5630.0,,791.0,791.0,,272.0,256.0,,,,16.0,681.0,,,647.0,1744.0,3228.0,3228.0,,,,1235.0,,798.0,160.0,262.0,4463.0,6207.0,0.0,614.0,,614.0,,2757.0,-1425.0,1946.0,205.0,2151.0,8358.0,
09/30/2010,9883.2,700.9,700.2,0.7,1186.0,1186.0,0.0,1012.1,120.5,0.0,834.1,57.5,66.6,66.6,32.0,,0.0,2965.6,3072.2,7042.4,-3970.2,286.8,286.8,3558.6,2744.3,2744.3,0,45.5,736.8,6917.6,,862.5,862.5,,339.3,273.0,,,,66.3,779.1,,6.0,755.1,1980.9,4005.7,4005.7,,,,1369.0,,812.1,228.9,322.0,5374.7,7355.6,0.0,565.3,,565.3,,2896.2,-1151.8,2309.7,217.9,2527.6,9883.2,
12/31/2010,9754.0,640.0,640.0,0.0,1075.0,1075.0,0.0,946.0,106.0,0.0,786.0,54.0,77.0,77.0,7.0,,0.0,2738.0,3107.0,7016.0,-3909.0,299.0,299.0,3610.0,2821.0,2821.0,0,54.0,728.0,7016.0,,1363.0,878.0,485.0,354.0,257.0,,,,97.0,192.0,0.0,0.0,167.0,1909.0,3924.0,3924.0,,,,1419.0,0.0,835.0,203.0,381.0,5343.0,7252.0,0.0,507.0,,507.0,,2640.0,-856.0,2291.0,211.0,2502.0,9754.0,
03/31/2011,9976.0,430.0,430.0,0.0,1223.0,1223.0,0.0,1054.0,110.0,0.0,887.0,57.0,78.0,78.0,10.0,,0.0,2785.0,3143.0,7213.0,-4070.0,301.0,301.0,3747.0,2900.0,2900.0,0,59.0,778.0,7191.0,,889.0,889.0,,372.0,237.0,,,,135.0,646.0,,,628.0,1907.0,3991.0,3991.0,,,,1454.0,,836.0,215.0,403.0,5445.0,7352.0,0.0,476.0,,476.0,,2712.0,-765.0,2423.0,201.0,2624.0,9976.0,
