Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,19.452,2.197,2.197,0.0,7.763,,,,0.0,,,,,2.287,,,,12.247,5.08,7.7,-2.62,0.0,,2.125,,,,,2.125,7.205,,1.295,1.295,,,,0.0,,,,,,4.03,,,4.03,5.325,0.0,,,,,9.931,,,,,,9.931,9.931,15.256,0.0,1.547,,,0.0,,2.649,4.196,0.0,4.196,19.452,
06/30/1998,40.056999,21.514999,21.514999,0.0,7.113,,,,0.0,,,,,3.843,,,,32.471001,5.427,8.582,-3.155,0.0,,2.159,1.988,,,,0.171,7.586,,0.919,0.919,,,,0.0,,,,,,7.165,,,7.165,8.084,0.0,,,,,3.868,,,,,,3.868,3.868,11.952,0.0,24.391001,,,0.0,,3.714,28.105001,0.0,28.105001,40.057,
09/30/1998,44.695999,26.052999,26.052999,0.0,8.478,,,,0.0,0.0,0.0,0.0,,2.613,,,,37.144001,5.49,9.395,-3.905,0.0,,2.062,1.909,,,,0.153,7.552,,0.91,0.91,,,,0.0,,,,,,8.941,,,8.941,9.851,0.0,,,,,4.964,,,,,,4.964,4.964,14.815,0.0,24.469,,,0.0,,5.412,29.881,0.0,29.881,44.696,
12/31/1998,51.679001,28.417999,28.417999,0.0,11.107,,,,1.088,,,,,1.754,,,,42.367001,6.27,10.391,-4.121,0.0,,3.042,,,,,3.042,9.312,,1.744,1.744,,,,0.0,,,,,,11.207,,,11.207,12.951,0.0,,,,,6.112,,,,,,6.112,6.112,19.063,0.0,24.658001,,,0.0,,7.958,32.616001,0.0,32.616001,51.679001,
03/31/1999,53.848999,25.101999,25.101999,0.0,14.822,,,,1.539,,,1.539,,2.264,,,,43.727001,6.938,11.592,-4.654,0.0,,3.184,1.751,1.751,0.0,,1.433,10.122,,1.736,1.736,,,,0.0,,,,,,8.931,,,8.931,10.667,0.0,,,,,7.716,,,,,,7.716,7.716,18.383,0.0,24.754,,,0.0,,10.712,35.466,0.0,35.466,53.849,
06/30/1999,56.373001,29.358999,29.358999,0.0,12.665,,,,0.892,0.0,0.0,0.892,,2.148,,,,45.063999,8.334,13.622,-5.288,0.0,,2.975,1.671,1.671,0.0,,1.304,11.309,,1.077,1.077,,,,0.0,,,,,,9.252,,,9.252,10.329,0.0,,,,,7.905,,,,,,7.905,7.905,18.234001,0.0,24.879999,,,0.0,,13.259,38.138999,0.0,38.138999,56.373,
09/30/1999,61.049,33.685001,33.685001,0.0,10.119,,,,1.215,,,1.215,0.0,3.726,,,,48.744999,9.262,15.279,-6.017,0.0,,3.042,1.592,1.592,0.0,,1.45,12.304,,1.181,1.181,,,,0.0,,,,,,10.248,,,10.248,11.429,0.0,,,,,8.558,,,,,,8.558,8.558,19.987,0.0,24.915001,,,0.0,,16.146999,41.062,0.0,41.062,61.049,
12/31/1999,69.026001,42.640999,42.640999,0.0,10.014,,,,1.144,,,,,2.912,,,,56.710999,9.474,16.291,-6.817,0.0,,2.841,1.513,1.513,0.0,,1.328,12.315,,1.435,1.435,,,,0.0,0.0,0.0,0.0,,,11.769001,,,11.769001,13.204,0.0,0.0,0.0,0.0,,10.361,,,,,,10.361,10.361,23.565001,0.0,26.267,,,0.0,,19.194,45.461,0.0,45.461,69.026001,
03/31/2000,72.808998,40.360001,40.360001,0.0,14.59,,,,1.854,,,1.854,0.0,3.74,,,,60.543999,9.376,17.075001,-7.699,0.0,,2.889,1.433,1.433,0.0,,1.456,12.265,,1.771,1.771,,,,0.0,,,,,,9.731,,,9.731,11.502,0.0,,,,,12.0,,,,,,12.0,12.0,23.502,0.0,26.648001,,,0.0,,22.659,49.307001,0.0,49.307001,72.809001,
06/30/2000,83.047997,45.209,45.209,0.0,15.979,,,,1.475,,,,,4.802,,,,67.464996,10.51,19.143999,-8.634,1.955,,3.118,1.354,1.354,0.0,,1.764,15.583,,1.523,1.523,,,,0.0,,,,,,13.034,,,13.034,14.557,0.0,,,,,13.865,,,,,,13.865,13.865,28.422,0.0,27.978001,,,0.0,,26.647949,54.62595,0.0,54.62595,83.04795,
