Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2005,42,-10,63,67,,-23.0,90,-78.0,-125,-8,,55,,-105,-40,0,,,-40,,,0,0,0,,,,,-65,963,0,-5,,,,997,997,0,-29,,900,,,
06/30/2005,148,67,67,181,,5.0,176,-167.0,10,34,,-211,,-33,-32,14,,,-46,,,0,0,0,,,,,-1,-894,-807,-10,,,,0,0,0,-77,,-779,,,
09/30/2005,323,45,70,-22,,3.0,-25,230.0,129,14,,87,,-640,-20,26,,,-46,,,0,0,0,,,,,-620,-241,-8,-237,,,,0,0,0,4,,-558,,,
12/31/2005,188,175,86,-125,,-70.0,-55,52.0,17,-23,,58,,-129,-80,0,,,-80,,,72,221,-149,,,,,-121,-70,-10,-24,,,,0,0,0,-36,,-11,,,
03/31/2006,-1,117,78,-52,,10.0,-62,-144.0,-54,-3,-87.0,0,,-106,-43,0,,,-43,,,0,0,0,,,,,-63,29,-9,34,,,,0,0,0,4,,-78,,,
06/30/2006,168,103,84,-95,,15.0,-110,76.0,8,12,,56,,-58,-70,0,,,-70,,,0,0,0,,,,,12,-68,-9,-67,,,,0,0,0,8,,42,,,
09/30/2006,277,109,82,113,,66.0,47,-27.0,37,-1,,-63,,-58,-58,0,,,-58,,,0,0,0,,,,,0,-60,-9,-50,,,,1,1,0,-2,,159,,,
12/31/2006,751,77,283,373,20.0,125.0,228,18.0,-28,16,-21.0,51,,-268,-252,0,,,-252,,,30,95,-65,,,,,-46,-82,-36,-74,,,,2,2,0,26,,401,,,
03/31/2007,12,201,81,-226,,-34.0,-192,-44.0,34,17,,-95,,325,-49,0,,,-49,,,0,0,0,,,,,374,-13,-8,-30,,,,19,19,0,6,,324,,,
06/30/2007,67,-117,77,90,,8.0,82,17.0,21,7,,-11,,-30,-67,0,,,-67,,,0,0,0,,,,,37,-682,-10,-181,,,,-256,2,-258,-235,,-645,,,
09/30/2007,200,128,80,72,,-33.0,105,-80.0,-89,1,,8,,-99,-101,0,,,-101,,,0,0,0,,,,,2,-40,-8,69,,,,-115,30,-145,14,,61,,,
12/31/2007,354,214,311,-64,,23.0,-87,-107.0,-69,-27,-11.0,0,,143,-288,0,,,-288,,,0,0,0,,,,,431,-675,-35,-119,,,,-334,69,-403,-187,,-178,181.0,414.0,
03/31/2008,166,145,86,8,,20.0,-12,-73.0,-34,-51,12.0,0,,-138,-109,0,,,-109,,,0,0,0,,,,,-29,-90,-9,-52,,,,-53,7,-60,24,,-62,,,
06/30/2008,180,134,92,-17,,-28.0,11,-29.0,20,-43,,-6,,105,-89,0,,,-89,,,0,0,0,,,,,194,-65,-8,-5,,,,-56,10,-66,4,,220,,,
09/30/2008,-1,158,94,-178,,3.0,-181,-75.0,0,-26,,-49,,-136,-136,0,,,-136,,,0,0,0,,,,,0,-262,-9,47,,,,-251,1,-252,-49,,-399,,,
12/31/2008,241,-155,88,36,,-64.0,100,272.0,353,141,-277.0,55,,-32,-125,0,,,-125,,,0,0,0,,,,,93,-117,-8,-88,,,,0,0,0,-21,,92,98.0,259.0,
03/31/2009,199,-20,74,104,,-1.0,105,40.0,-11,42,9.0,0,,311,-115,0,0.0,0.0,-115,-115.0,0.0,0,0,0,0.0,0.0,0.0,0.0,426,-36,-9,-39,-16.0,,-23.0,0,0,0,12,0.0,474,,,
06/30/2009,100,109,82,-91,,4.0,-95,,-59,33,26.0,0,,-128,-129,0,0.0,0.0,-129,-129.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,-23,-8,-1,22.0,,-23.0,1,1,0,-15,46.0,-5,,,
09/30/2009,117,398,86,-336,,-370.0,34,-9.0,-9,11,-11.0,0,,176,34,168,168.0,0.0,-134,-134.0,0.0,0,0,0,167.0,168.0,-1.0,0.0,-25,7,-8,15,25.0,0.0,-10.0,0,0,0,0,24.0,324,,,
12/31/2009,180,6,77,74,,-35.0,109,24.0,0,-56,80.0,0,,-328,-146,3,3.0,0.0,-149,-149.0,0.0,0,0,0,-176.0,-168.0,-8.0,0.0,-6,-60,-8,-64,-40.0,0.0,-24.0,13,13,0,-1,-7.0,-215,,,
03/31/2010,55,14,93,39,,-7.0,46,-88.0,-82,-38,32.0,0,,-132,-124,5,5.0,0.0,-129,-129.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-8,-38,-9,-9,1.0,,-10.0,3,3,0,-23,0.0,-115,,,
06/30/2010,164,160,66,4,,-3.0,7,-66.0,-68,6,-4.0,0,,-143,-85,15,15.0,0.0,-100,-100.0,0.0,0,0,0,-46.0,0.0,-46.0,0.0,-12,-79,-6,-38,-10.0,,-28.0,-19,1,-20,-16,,-58,,,
09/30/2010,144,145,67,-12,,-14.0,2,-56.0,-12,-31,-13.0,0,,-106,-110,2,2.0,0.0,-112,-112.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4,-254,-8,-205,5.0,600.0,-810.0,-17,4,-21,-24,19.0,-197,,,
12/31/2010,89,56,74,-82,,39.0,-121,41.0,72,-35,4.0,0,,-179,-168,4,4.0,0.0,-172,-172.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-11,-56,-8,-61,-12.0,0.0,-49.0,-1,6,-7,14,2.0,-144,,,
03/31/2011,132,142,75,10,,-2.0,12,-93.0,-108,-60,,75,,-151,-127,4,4.0,0.0,-131,-131.0,0.0,0,0,0,-8.0,0.0,-8.0,0.0,-16,-11,-8,-3,-5.0,11.0,-9.0,2,5,-3,-2,12.0,-18,,,
06/30/2011,184,203,76,50,,,50,-145.0,-87,-85,,27,,18,-133,1,1.0,0.0,-134,-134.0,0.0,0,0,0,0.0,0.0,0.0,0.0,151,-187,-8,-173,-29.0,400.0,-544.0,2,12,-10,-8,4.0,19,,,
09/30/2011,165,167,80,-55,,9.0,-64,-27.0,20,-22,,-25,,-163,-149,1,1.0,0.0,-150,-150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-14,-26,-9,5,14.0,0.0,-9.0,-13,2,-15,-9,-13.0,-37,,,
12/31/2011,157,95,80,-110,,86.0,-196,92.0,92,55,,-55,,-145,-138,0,0.0,0.0,-138,-138.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-7,-29,-9,-25,4.0,0.0,-29.0,-2,1,-3,7,-5.0,-22,,,
03/31/2012,215,193,77,-99,,-91.0,-8,44.0,-47,-32,,123,,-155,-127,0,0.0,0.0,-127,-127.0,0.0,0,0,0,-23.0,0.0,-23.0,0.0,-5,-21,-10,2,10.0,0.0,-8.0,-13,7,-20,0,6.0,45,,,
06/30/2012,187,221,78,-10,,-19.0,9,-103.0,-49,8,,-62,,-128,-90,1,1.0,0.0,-91,-91.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-38,25,-9,-35,-24.0,0.0,-11.0,40,48,-8,29,-11.0,73,,,
09/30/2012,259,127,81,-4,,23.0,-27,56.0,34,25,,-3,,-114,-95,0,0.0,0.0,-95,-95.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-19,-25,-12,-6,7.0,0.0,-13.0,-6,3,-9,-1,8.0,128,,,
12/31/2012,61,-169,84,80,,-88.0,168,64.0,112,5,,-53,,-103,-97,0,0.0,0.0,-97,-97.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-6,70,-12,-448,9.0,,-457.0,-4,4,-8,-16,3.0,31,,,
03/31/2013,147,142,80,43,,-8.0,51,-119.0,-100,-55,,36,,-87,-77,0,0.0,0.0,-77,-77.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-10,-35,-12,-24,-19.0,50.0,-55.0,1,1,0,0,-6.0,19,,,
06/30/2013,229,133,78,-34,,2.0,-36,58.0,-4,26,,36,,-90,-66,12,12.0,0.0,-78,-78.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-24,-14,-14,4,11.0,0.0,-7.0,-4,2,-6,0,4.0,129,,,
09/30/2013,232,172,80,-34,,13.0,-47,14.0,-9,-5,,28,,-113,-109,1,1.0,0.0,-110,-110.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-4,-134,-29,-7,99.0,24.0,-130.0,-96,0,-96,-2,8.0,-7,,,
12/31/2013,154,654,81,-633,,337.0,-970,51.0,90,-47,,8,,-132,-112,0,0.0,0.0,-112,-112.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-20,-143,-28,-54,-48.0,0.0,-6.0,-56,6,-62,-5,5.0,-116,,,
