Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,152.068985,,,,,,,,,,,,,,,,,,,,,,,,7.316,,,7.316,7.316,,298.796342,0.025185,0.025185,,298.796342,0.025185,0.025185,0.025185,
03/31/1990,168.914993,,-132.871994,,36.042999,,-17.218,,,,18.825001,-2.865,,,,2.865,15.960001,-6.202,9.758,0.0,,,9.758001,,9.758,0.0,,9.758,9.758,,298.809011,0.032593,0.032593,,298.809011,0.032593,0.032593,0.032593,
06/30/1990,157.591003,,-123.803001,,33.788002,,-16.222,,,,17.566,-1.326,,4.701,,-3.375,16.24,-5.773,10.467,0.0,,,10.467,,10.467,0.0,,10.467,10.467,,298.917003,0.035556,0.035556,,298.917003,0.035556,0.035556,0.035556,
09/30/1990,165.186005,,-131.261993,,33.924011,,-17.214001,,,,16.709999,-3.712,,5.218,,-1.506,12.997999,-4.151,8.847,0.0,,,8.846999,,8.847,0.0,,8.847,8.847,,297.74925,0.02963,0.02963,,297.74925,0.02963,0.02963,0.02963,
12/31/1990,169.052994,,-134.875,,34.177994,,-18.909,,,,15.269,-3.812,,10.899,,-7.087,11.457,-3.191,8.266,0.0,,,8.266,,8.266,0.0,,8.266,8.266,,295.390134,0.028148,0.028148,,295.390134,0.028148,0.028148,0.028148,
03/31/1991,179.190002,,-143.057007,,36.132996,,-18.743,,,,17.389999,-3.807,,5.68,,-1.873,13.583,-5.014,8.569,0.0,,,8.569,,8.569,0.0,,8.569,8.569,,295.447503,0.02963,0.02963,,295.447503,0.02963,0.02963,0.02963,
06/30/1991,182.070007,,-146.703003,,35.367004,,-20.177,,,,15.19,-1.443,,5.572,,-4.129,13.747,-4.233,9.514,0.0,,,9.514,,9.514,0.0,,9.514,9.514,,296.210246,0.031111,0.031111,,296.210246,0.031111,0.031111,0.031111,
09/30/1991,170.488998,,-137.246994,,33.242004,,-17.58,,,,15.662,-2.962,,5.48,,-2.518,12.7,-3.215,9.485,0.0,,,9.485,,9.485,0.0,,9.485,9.485,,296.615255,0.032593,0.032593,,296.615255,0.032593,0.032593,0.032593,
12/31/1991,183.350006,,-147.748993,,35.601013,,-17.538,,,,18.063,-5.715,,5.347,,0.368,12.348,-1.93,10.418,0.0,,,10.418,,10.418,0.0,,10.418,10.418,,296.692863,0.035556,0.035556,,296.692863,0.035556,0.035556,0.035556,
03/31/1992,196.759003,,-155.070007,,41.688995,,-20.229,,,,21.459999,-3.691,,5.145,,-1.454,17.768999,-6.508,11.261,0.0,,,11.260999,,11.261,0.0,,11.261,11.261,,296.864997,0.038519,0.038519,,296.864997,0.038519,0.038519,0.038519,
06/30/1992,195.322998,,-155.041,,40.281998,,-19.664,,,,20.618,-3.307,,5.08,,-1.773,17.311,-5.503,11.808,0.0,,,11.808,,11.808,0.0,,11.808,11.808,,297.566998,0.038519,0.038519,,297.566998,0.038519,0.038519,0.038519,
09/30/1992,185.996002,,-141.664993,,44.331009,,-26.313999,,,,18.017,-2.496,,4.87,,-2.374,15.521,-4.813,10.708,0.0,,,10.708,,10.708,0.0,,10.708,10.708,,297.944996,0.037037,0.037037,,297.944996,0.037037,0.037037,0.037037,
12/31/1992,191.472,,-160.940994,,30.531006,,-11.483,,,,19.048,-2.93,,4.626,,-1.696,16.118,-5.538,10.58,0.0,,,10.58,,10.58,0.0,,10.58,10.58,,298.245386,0.035556,0.035556,,298.245386,0.035556,0.035556,0.035556,
