Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,-5.0,5.5,3.5,2.6,,2.6,-16.6,,,-16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,3.1,14.1,3.4,0.6,,0.6,-15.0,,,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,25.200001,4.2,3.7,-1.9,,-1.9,19.200001,,,19.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,0.5,50.0,4.0,-56.400002,,-56.400002,2.9,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,35.299999,18.299999,3.8,-20.799999,,-20.799999,34.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,8.2,11.2,3.2,1.3,,1.3,-7.5,,,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,24.9,12.9,3.2,4.8,,4.8,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,23.700001,11.4,5.8,50.900002,,50.900002,-44.400002,,,-44.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,1.6,-33.599998,3.8,37.900002,,37.900002,-6.5,,,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,1.8,11.7,3.3,-0.9,,-0.9,-12.3,,,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,22.9,14.5,3.5,0.7,,0.7,4.2,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,0.0,-0.5,3.5,5.8,,5.8,-8.8,,,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,1.6,-0.1,3.5,-0.1,,-0.1,-1.7,,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,0.3,33.5,3.3,-35.299999,,-35.299999,-1.2,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,39.200001,7.2,3.5,5.0,,5.0,23.5,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-63.900002,14.0,3.2,-3.9,,-3.9,-77.199997,,,-77.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,1.3,2.2,3.2,2.1,,2.1,-6.2,,,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,41.900002,10.4,-2.2,4.0,,4.0,29.700001,,,29.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,89.300003,14.8,8.9,-4.0,,-4.0,69.599998,,,69.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
