Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,77227.0,5458.0,4292.0,1166.0,17608.0,,9844.0,,,,,1959.0,,,,34869.0,24941.0,49181.0,-24240.0,0.0,,,17417.0,,,,,,17417.0,42358.0,,11837.0,11837.0,,,,7340.0,,,,,,1953.0,,,1953.0,21130.0,10696.0,,,,,6786.0,,,6786.0,17482.0,38612.0,0.0,6341.0,,,-58.0,,32332.0,38615.0,0.0,38615.0,77227.0,
06/30/1990,78960.0,4481.0,3231.0,1250.0,18099.0,,10086.0,,,,,2271.0,,,,34937.0,25599.0,50423.0,-24824.0,0.0,,,18424.0,,,,,,18424.0,44023.0,,11822.0,11822.0,,,,7110.0,,,,,,2357.0,,,2357.0,21289.0,11009.0,,,,,7108.0,,,7108.0,18117.0,39406.0,0.0,6354.0,,,-54.0,,33254.0,39554.0,0.0,39554.0,78960.0,
09/30/1990,81808.0,4339.0,3383.0,956.0,18515.0,,11255.0,,,,,2419.0,,,,36528.0,26456.0,52487.0,-26031.0,0.0,,,18824.0,,,,,,18824.0,45280.0,,12021.0,12021.0,,,,8577.0,,,,,,1857.0,,,1857.0,22455.0,11167.0,,,,,7661.0,,,7661.0,18828.0,41283.0,0.0,6345.0,,,-58.0,,34238.0,40525.0,0.0,40525.0,81808.0,
12/31/1990,87568.0,4551.0,3853.0,698.0,20988.0,,10108.0,,,,,3273.0,,,,38920.0,27241.0,53659.0,-26418.0,0.0,,,21407.0,,,,,,21407.0,48648.0,,3367.0,3367.0,,,,7602.0,,,,,,14307.0,,,14307.0,25276.0,11943.0,,,,,7517.0,,,7517.0,19460.0,44736.0,0.0,6357.0,,,-25.0,,36500.0,42832.0,0.0,42832.0,87568.0,
03/31/1991,83925.0,6828.0,4965.0,1863.0,18719.0,,10056.0,,,,,2055.0,,,,37658.0,26009.0,51452.0,-25443.0,0.0,,,20258.0,,,,,,20258.0,46267.0,,12826.0,12826.0,,,,8787.0,,,,,,1410.0,,,1410.0,23023.0,12131.0,,,,,9576.0,,,9576.0,21707.0,44730.0,0.0,6532.0,,,-74.0,,32737.0,39195.0,0.0,39195.0,83925.0,
06/30/1991,81572.0,4700.0,3333.0,1367.0,18391.0,,10157.0,,,,,2268.0,,,,35516.0,25936.0,51554.0,-25618.0,0.0,,,20120.0,,,,,,20120.0,46056.0,,12369.0,12369.0,,,,8764.0,,,,,,1152.0,,,1152.0,22285.0,11991.0,,,,,9331.0,,,9331.0,21322.0,43607.0,0.0,6536.0,,,-79.0,,31508.0,37965.0,0.0,37965.0,81572.0,
09/30/1991,87324.0,4562.0,3614.0,948.0,19482.0,,11222.0,,,,,2585.0,,,,37851.0,26884.0,53857.0,-26973.0,0.0,,,22589.0,,,,,,22589.0,49473.0,,12392.0,12392.0,,,,13688.0,,,,,,834.0,,,834.0,26914.0,12635.0,,,,,9584.0,,,9584.0,22219.0,49133.0,0.0,6532.0,,,-81.0,,31740.0,38191.0,0.0,38191.0,87324.0,
12/31/1991,92473.0,5151.0,3945.0,1206.0,22826.0,,9844.0,,,,,3148.0,,,,40969.0,27578.0,55678.0,-28100.0,752.0,,,23174.0,,,,,,23174.0,51504.0,,3507.0,3507.0,,,,13716.0,,,,,,16728.0,,,16728.0,33951.0,13231.0,,,,,8612.0,,,8612.0,21843.0,55794.0,0.0,6531.0,,,-31.0,,30179.0,36679.0,0.0,36679.0,92473.0,
03/31/1992,88162.0,5896.0,4823.0,1073.0,20273.0,,10197.0,,,,,2073.0,,,,38439.0,26637.0,54304.0,-27667.0,,,,23086.0,,,,,,23086.0,49723.0,,15804.0,15804.0,,,,13976.0,,,,,,1303.0,,,1303.0,31083.0,12891.0,,,,,8614.0,,,8614.0,21505.0,52588.0,0.0,6534.0,,,-61.0,,29101.0,35574.0,0.0,35574.0,88162.0,
06/30/1992,89052.0,4098.0,3374.0,724.0,21185.0,,10594.0,,,,,2272.0,,,,38149.0,26970.0,55788.0,-28818.0,,,,23933.0,,,,,,23933.0,50903.0,,14757.0,14757.0,,,,13565.0,,,,,,1279.0,,,1279.0,29601.0,13741.0,,,,,9158.0,,,9158.0,22899.0,52500.0,0.0,6561.0,,,-61.0,,30052.0,36552.0,0.0,36552.0,89052.0,
09/30/1992,91017.0,4660.0,4121.0,539.0,20005.0,,10861.0,,,,,4614.0,,,,40140.0,25263.0,56746.0,-31483.0,,,,25614.0,,,,,,25614.0,50877.0,,14325.0,14325.0,,,,15504.0,,,,,,1386.0,,,1386.0,31215.0,14551.0,,,,,9818.0,,,9818.0,24369.0,55584.0,0.0,6564.0,,,-108.0,,28977.0,35433.0,0.0,35433.0,91017.0,
12/31/1992,86705.0,5649.0,4446.0,1203.0,20234.0,,8385.0,,,,,5424.0,,,,39692.0,21595.0,52786.0,-31191.0,683.0,,,24735.0,,,,,,24735.0,47013.0,,3147.0,3147.0,,,,16467.0,,,,,,17123.0,,,17123.0,36737.0,12853.0,,,,,9491.0,,,9491.0,22344.0,59081.0,0.0,6563.0,,,-25.0,,21086.0,27624.0,0.0,27624.0,86705.0,
03/31/1993,85713.0,5826.0,5127.0,699.0,20131.0,,8219.0,,,,,5570.0,,,,39746.0,21028.0,52962.0,-31934.0,,,,24939.0,,,,,,24939.0,45967.0,,18061.0,18061.0,,,,17401.0,,,,,,904.0,,,904.0,36366.0,12402.0,,,,,9726.0,,,9726.0,22128.0,58494.0,0.0,6560.0,,,-105.0,,20764.0,27219.0,0.0,27219.0,85713.0,
06/30/1993,86141.0,6771.0,6034.0,737.0,20167.0,,8261.0,,,,,5666.0,,,,40865.0,19515.0,52020.0,-32505.0,,,,25761.0,,,,,,25761.0,45276.0,,19397.0,19397.0,,,,17154.0,,,,,,1243.0,,,1243.0,37794.0,14563.0,,,,,13972.0,,,13972.0,28535.0,66329.0,1091.0,6558.0,,,-38.0,,12201.0,19812.0,0.0,19812.0,86141.0,
09/30/1993,84217.0,6174.0,5334.0,840.0,20085.0,,8657.0,,,,,5336.0,,,,40252.0,18773.0,51516.0,-32743.0,,,,25192.0,,,,,,25192.0,43965.0,,17698.0,17698.0,,,,16154.0,,,,,,947.0,,,947.0,34799.0,15387.0,,,,,13928.0,,,13928.0,29315.0,64114.0,1091.0,6849.0,,,-3.0,,12166.0,20103.0,0.0,20103.0,84217.0,
12/31/1993,81113.0,7133.0,5861.0,1272.0,18104.0,,7565.0,,,,,6400.0,,,,39202.0,17521.0,47504.0,-29983.0,703.0,,,23687.0,,,,,,23687.0,41911.0,,3400.0,3400.0,,,,12097.0,,,,,,17653.0,,,17653.0,33150.0,15245.0,,,,,12980.0,,,12980.0,28225.0,61375.0,1091.0,6980.0,,,,,11667.0,19738.0,0.0,19738.0,81113.0,
03/31/1994,79872.0,8951.0,8111.0,840.0,17915.0,,7390.0,,,,,4909.0,,,,39165.0,17277.0,48317.0,-31040.0,20167.0,,,3263.0,,,,,,3263.0,40707.0,,18437.0,18437.0,,,,11942.0,,,,,,995.0,,,995.0,31374.0,14937.0,,,,,12985.0,,,12985.0,27922.0,59296.0,1093.0,7063.0,,,0.0,,12420.0,20576.0,0.0,20576.0,79872.0,
06/30/1994,78601.0,8571.0,7381.0,1190.0,18838.0,,7152.0,,,,,4334.0,,,,38895.0,16736.0,47760.0,-31024.0,19821.0,,,3149.0,,,,,,3149.0,39706.0,,17058.0,17058.0,,,,10357.0,,,,,,1210.0,,,1210.0,28625.0,14892.0,,,,,13516.0,,,13516.0,28408.0,57033.0,1091.0,7148.0,,,0.0,,13329.0,21568.0,0.0,21568.0,78601.0,
09/30/1994,79068.0,10804.0,9322.0,1482.0,18644.0,,7004.0,,,,,3698.0,,,,40150.0,16338.0,47433.0,-31095.0,19521.0,,,3059.0,,,,,,3059.0,38918.0,,16558.0,16558.0,,,,10240.0,,,,,,1482.0,,,1482.0,28280.0,14077.0,,,,,14248.0,,,14248.0,28325.0,56605.0,1091.0,7273.0,,,0.0,,14099.0,22463.0,0.0,22463.0,79068.0,
12/31/1994,81091.0,10554.0,7922.0,2632.0,20369.0,,6334.0,,,,,4081.0,,,,41338.0,16664.0,44820.0,-28156.0,817.0,,,22272.0,,,,,,22272.0,39753.0,,3778.0,3778.0,,,,9570.0,,,,,,15878.0,,,15878.0,29226.0,12548.0,,,,,15904.0,,,15904.0,28452.0,57678.0,1081.0,7342.0,,,-34.0,,15024.0,23413.0,0.0,23413.0,81091.0,
03/31/1995,80880.0,10490.0,9072.0,1418.0,20763.0,,6211.0,,,,,3567.0,,,,41031.0,16824.0,45604.0,-28780.0,,,,23025.0,,,,,,23025.0,39849.0,,15847.0,15847.0,,,,10106.0,,,,,,1937.0,,,1937.0,27890.0,12519.0,,,,,16385.0,,,16385.0,28904.0,56794.0,255.0,7276.0,,,,,16555.0,24086.0,0.0,24086.0,80880.0,
