Date,Assets,Real Estate Investments,Other Long-Term Investments,Liabilities & Shareholders' Equity,Other Long-Term Liabilities,Total Preferred Equity,Minority Interest,Source: Bloomberg
03/31/1998,,0,0,,0,745,0,
06/30/1998,,0,0,,0,745,0,
09/30/1998,,0,0,,0,745,0,
12/31/1998,,0,0,,0,745,0,
03/31/1999,,0,0,,0,745,0,
06/30/1999,,0,0,,0,745,0,
09/30/1999,,0,0,,0,745,0,
12/31/1999,,0,0,,0,745,0,
03/31/2000,,0,0,,0,745,0,
06/30/2000,,0,0,,0,745,0,
09/30/2000,,0,0,,0,745,0,
12/31/2000,,0,0,,0,745,0,
03/31/2001,,0,0,,0,745,0,
06/30/2001,,0,0,,0,400,0,
09/30/2001,,0,0,,0,400,0,
12/31/2001,,0,0,,0,400,0,
03/31/2002,,0,0,,0,400,0,
06/30/2002,,0,0,,0,400,0,
09/30/2002,,0,0,,0,400,0,
12/31/2002,,0,0,,0,400,0,
03/31/2003,,0,0,,0,0,0,
06/30/2003,,0,0,,0,0,0,
09/30/2003,,0,0,,0,0,0,
12/31/2003,,0,0,,0,0,0,
03/31/2004,,0,0,,0,0,0,
06/30/2004,,0,0,,0,0,0,
09/30/2004,,0,0,,0,0,0,
12/31/2004,,0,0,,0,0,0,
03/31/2005,,0,0,,0,0,0,
