Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,5716.494141,72.727998,68.406998,4.321,1141.457031,,,440.372986,,,,,54.931,,,,,,1709.489014,1148.713989,2110.781982,-962.067993,2513.725098,,,344.56601,,,,,,344.56601,4007.005096,,99.419998,99.419998,,,1529.764038,,,,,,707.238083,,,707.238083,2336.422119,1354.354004,,,,,546.875977,,,,546.875977,1901.22998,4237.6521,5.834,315.075989,,,-72.475998,,1230.408005,1478.841996,0.0,1478.841996,5716.494095,
06/30/1990,5917.36084,72.597999,65.667999,6.93,1195.427002,,,439.574005,,,,,55.578999,,,,,,1763.177979,1168.291016,2168.074951,-999.783997,2641.647949,,,344.243988,,,,,,344.243988,4154.182953,,96.608002,96.608002,,,1798.292969,,,,,,708.09903,,,708.09903,2603.0,1230.348022,,,,,548.781982,,,,548.781982,1779.130005,4382.130005,5.617,315.985992,,,-58.695,,1272.323051,1535.231044,0.0,1535.231044,5917.361049,
09/30/1990,5917.599121,61.252999,57.168999,4.084,1217.474976,,,393.312988,,,,,65.244003,,,,,,1737.285034,1183.404053,2267.726074,-1084.322021,2622.448975,,,374.460999,,,,,,374.460999,4180.314026,,101.603996,101.603996,,,1800.004028,,,,,,698.102913,,,698.102913,2599.710938,1232.631958,,,,,556.963013,,,,556.963013,1789.594971,4389.305908,5.389,315.097992,,,-77.863998,,1285.670029,1528.293022,0.0,1528.293022,5917.59893,
12/31/1990,6060.544922,79.919999,79.057999,0.862,1280.437988,,,381.354004,,,,,57.389,,,,,,1799.100952,1193.822021,2286.178955,-1092.357056,2673.134033,,,394.488007,,,,,,394.488007,4261.444061,,173.494003,173.494003,,,1865.719971,,,,,,849.663956,,,849.663956,2888.87793,1099.395996,,,,,482.856995,,,,482.856995,1582.252991,4471.130921,5.299,315.024994,,,-75.277,,1344.366966,1589.41396,0.0,1589.41396,6060.544881,
03/31/1991,6048.280762,52.357999,49.938999,2.419,1289.81897,,,378.783997,,,,,65.117996,,,,,,1786.078979,1196.05896,2320.643066,-1124.583984,2657.47998,,,408.662994,,,,,,408.662994,4262.201935,,110.237999,110.237999,,,1858.015015,,,,,,816.402016,,,816.402016,2784.655029,1121.604004,,,,,509.102997,,,,509.102997,1630.707001,4415.36203,5.111,315.739014,,,-69.051003,,1381.119972,1632.918983,0.0,1632.918983,6048.281013,
06/30/1991,6114.076172,59.352999,58.125999,1.227,1278.26001,,,367.937012,,,,,67.954002,,,,,,1773.504028,1198.569946,2353.256104,-1154.686035,2728.394043,,,413.608002,,,,,,413.608002,4340.571991,,96.088997,96.088997,,,1890.698975,,,,,,841.576042,,,841.576042,2828.364014,1133.157959,,,,,509.809998,,,,509.809998,1642.967957,4471.33197,4.697,317.032013,,,-54.219002,,1375.234016,1642.744028,0.0,1642.744028,6114.075998,
09/30/1991,6107.167969,71.227998,69.239998,1.988,1249.843994,,,360.320007,,,,,78.321999,,,,,,1759.713989,1193.042969,2387.929932,-1194.886963,2697.719971,,,456.69101,,,,,,456.69101,4347.453949,,100.774002,100.774002,,,1825.185059,,,,,,801.437912,,,801.437912,2727.396973,1140.484009,,,,,517.619019,,,,517.619019,1658.103027,4385.5,4.612,318.84201,,,-52.842999,,1451.056988,1721.668,0.0,1721.668,6107.168,
12/31/1991,6380.580078,118.471,113.528,4.943,1387.792969,,,342.122009,,,,,87.136002,,,,,,1935.521973,1210.878052,2416.750977,-1205.873047,2768.219971,,,465.959991,,,,,,465.959991,4445.058014,,159.938004,159.938004,,,1949.291016,,,,,,886.217025,,,886.217025,2995.446045,1058.762939,,,,,525.687988,,,,525.687988,1584.450927,4579.896972,4.53,319.118011,,,-50.945,,1527.980034,1800.683045,0.0,1800.683045,6380.580017,
03/31/1992,6380.375977,98.46,90.306,8.154,1348.901978,,,338.468994,,,,,90.195999,,,,,,1876.026978,1198.11499,2434.875,-1236.76001,2791.452881,,,514.781006,,,,,,514.781006,4504.348877,,122.420998,122.420998,,,2010.279053,,,,,,893.354881,,,893.354881,3026.054932,1038.28894,,,,,499.522003,,,,499.522003,1537.810944,4563.865875,4.132,317.792999,,,-48.216999,,1542.80196,1816.50996,0.0,1816.50996,6380.375835,
06/30/1992,6515.595215,86.904004,73.035004,13.869,1384.412964,,,353.653992,,,,,86.439003,,,,,,1911.410034,1197.848022,2476.825928,-1278.978027,2886.363037,,,519.973999,,,,,,519.973999,4604.185059,,145.341003,145.341003,,,2101.332031,,,,,,876.752991,,,876.752991,3123.426025,1076.785034,,,,,513.664978,,,,513.664978,1590.450012,4713.876038,3.601,323.338013,,,-118.572998,,1593.353027,1801.719042,0.0,1801.719042,6515.59508,
