Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1990,36.269997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,0.009,0.009,,9.199999,0.00125,0.00125,,9.199999,0.00125,0.00125,0.00125,
09/30/1990,39.898998,,,,-23.895,,16.003998,,-11.888,,,,4.116,-3.368,,3.631,,,,-0.263,0.748,-0.002,,0.746,0.0,,,0.746,0.0,0.746,0.0,,0.746,0.746,,38.703999,0.01875,0.01875,,38.703999,0.01875,0.01875,0.01875,
12/31/1990,41.369999,,,,-24.73,,16.639999,,-11.198,,,,5.442,-3.143,,3.454,,,,-0.311,2.299,-0.036,,2.263,0.0,,,2.263,0.0,2.263,0.0,,2.263,2.263,,38.703999,0.05875,0.05875,,38.703999,0.05875,0.05875,0.05875,
03/31/1991,40.361,,,,-25.031,,15.33,,-11.147,,,,4.183,-11.37,,3.255,,,,8.115,-7.187,0.054,,-7.133,0.0,,,-7.133,0.0,-7.133,0.0,,-7.133,-7.133,,9.2,-0.775,-0.775,,9.2,-0.775,-0.775,-0.775,
06/30/1991,40.466999,,,,-24.117001,,16.349998,,-21.077999,,,,-4.728,5.167,,3.418,,,0.0,-8.585,0.439,0.235,,0.674,0.195,,,0.479,0.0,0.479,0.0,,0.479,0.479,,39.6,0.0125,0.01625,0.01625,39.6,0.0125,0.01625,0.01625,
09/30/1991,41.544998,,,,-25.694,,15.850998,,-11.416,,,,4.435,-2.407,,2.587,,,,-0.18,2.028,-0.834,,1.194,-15.798,,,16.992,0.0,16.992001,0.0,,16.992001,16.992001,,66.648003,0.28625,0.02,,66.648003,0.28625,0.02,0.02,
12/31/1991,46.889,,,,-28.031,,18.858,,-12.365,,,,6.493,-2.257,,2.419,,,,-0.162,4.236,-1.747,,2.489,0.0,,,2.489,0.0,2.489,0.0,,2.489,2.489,,64.888,0.03875,0.03875,,64.888,0.03875,0.03875,0.03875,
03/31/1992,47.310001,,,,-28.754999,,18.555002,,-12.828,,,,5.727,-4.587,,2.418,,,,2.169,1.14,-0.516,,0.624,0.0,,,0.624,0.0,0.624,0.0,,0.624,0.624,,65.143997,0.01,0.01,,65.143997,0.01,0.01,0.01,
06/30/1992,42.810001,,,,-26.691999,,16.118002,,-11.55,,,,4.562,-2.169,,2.321,,,,-0.152,2.393,-2.544,,1.582,0.0,,,-0.151,0.0,1.582,0.0,,1.582,1.582,,66.687992,0.02375,0.02375,0.02375,66.687992,0.02375,0.02375,0.02375,
09/30/1992,44.236,,,,-28.357,,15.879,,-11.307,,,,4.572,-2.175,,2.288,,,,-0.113,2.397,-0.922,,1.475,0.0,,,1.475,0.0,1.475,0.0,,1.475,1.475,,65.935997,0.0225,0.0225,,65.935997,0.0225,0.0225,0.0225,
