Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,1378.649048,0,0,0,1378.649048,-248.339996,5.996,0,-242.343994,-125.509003,-221.544998,-173.886002,-292.428009,-813.367981,322.937012,5.023,-4.638,-158.867996,3.278,-0.292,-155.882004,167.440008,-80.282997,87.156998,0.0,0,87.156998,-20.766001,66.390997,,66.39101,0.31,0.31,0.31,211.860992,0.31,0.31,0.31,211.860992,
06/30/1990,846.398987,0,0,0,846.398987,-236.636993,1.657,0,-234.979996,-133.425003,-218.947998,-162.294998,-257.299011,-771.96698,-160.548004,4.893,-165.729004,-160.057007,3.173,-0.155,-157.039001,-478.423009,100.007004,-378.415985,0.0,0,-378.415985,-20.423,-398.838985,,-398.839006,-1.88,-1.88,-1.88,211.985001,-1.88,-1.88,-1.88,211.985001,
09/30/1990,1724.107056,0,0,0,1724.107056,-277.923004,8.659,0,-269.264008,-105.880997,-220.358994,-156.531998,-230.164993,-712.937012,741.906006,8.504,-6.043,-164.237,4.825,-0.087,-159.498993,584.868012,-250.901993,333.966003,0.0,0,333.966003,-20.910999,313.055004,,313.05502,1.48,1.48,1.48,212.078003,1.48,1.48,1.48,212.078003,
12/31/1990,1312.831055,0,0,0,1312.831055,-215.875,10.897,0,-204.977997,-124.648003,-218.085999,-168.718994,-361.962006,-873.414978,234.438004,4.106,-2.447,-165.440994,2.564,-0.043,-162.919998,73.177006,7.513,85.584,0.0,0,85.584,-20.395,65.189,,60.295006,0.31,0.31,0.31,212.205994,0.31,0.31,0.31,212.205994,
03/31/1991,1318.340942,0,0,0,1318.340942,-260.484009,-12.466,0,-272.950012,-130.274002,-219.729996,-172.350998,-307.377991,-829.732971,215.658005,3.055,-27.5,-165.748001,1.953,-0.039,-163.834,27.379005,-22.580999,4.798,0.0,0,4.798,-20.01,-15.212,,-15.211994,-0.07,-0.07,-0.07,212.300995,-0.07,-0.07,-0.07,212.300995,
06/30/1991,1521.355957,0,0,0,1521.355957,-247.748993,-28.042999,0,-275.791992,-130.436005,-209.600006,-179.164993,-310.082001,-829.28302,416.281006,4.731,0.068,-165.869995,3.574,-0.037,-162.332993,258.747013,-101.235001,157.511993,0.0,0,157.511993,-19.969,137.542994,,137.543013,0.65,0.65,0.65,212.408005,0.65,0.65,0.65,212.408005,
09/30/1991,1952.254028,0,0,0,1952.254028,-254.873001,-12.061,0,-266.93399,-122.070999,-209.613998,-201.860992,-395.748993,-929.294983,756.025024,4.879,-3.901,-166.354004,3.724,-0.039,-162.669006,594.334018,-232.141998,362.191986,0.0,0,362.191986,-19.777,342.414986,,342.41502,1.61,1.61,1.61,212.492996,1.61,1.61,1.61,212.492996,
12/31/1991,1483.582031,0,0,0,1483.582031,-205.070007,-20.41,0,-225.479996,-144.707993,-186.457993,-189.192993,-358.675995,-879.034973,379.066986,5.607,620.494019,-166.973999,4.249,-0.037,-162.761993,842.406011,-31.033001,-429.61499,0.0,0,-429.61499,-18.532,-448.14699,,792.841011,-2.11,-2.11,-2.11,212.606003,-2.11,-2.11,-2.11,212.606003,
03/31/1992,1422.557007,0,0,0,1422.557007,-217.237,-14.891,0,-232.128006,-154.843002,-208.615005,-175.076996,-344.68399,-883.218994,307.209991,4.298,-45.188,-165.371994,3.564,-0.021,-161.828995,104.490997,-37.237,67.253998,0.0,0,67.253998,-17.951,49.302998,,49.302997,0.23,0.23,0.23,212.712997,0.23,0.23,0.23,212.712997,
06/30/1992,1431.749023,0,0,0,1431.749023,-200.820999,-14.04,0,-214.860992,-143.147003,-208.845993,-190.531998,-335.558014,-878.083008,338.804993,4.609,-9.019,-163.524002,4.035,-0.491,-159.979996,174.414997,-68.589996,105.824997,0.0,0,105.824997,-17.906,87.918997,,87.919001,0.41,0.41,0.41,212.860001,0.41,0.41,0.41,212.860001,
09/30/1992,1708.880005,0,0,0,1708.880005,-195.695007,-6.487,0,-202.182007,-124.149002,-208.865997,-191.917007,-434.951996,-959.883972,546.814026,6.14,-9.386,-165.348999,5.159,-0.181,-160.371002,383.197024,-147.332001,235.865005,0.0,0,235.865005,-17.714001,218.151005,,218.151022,1.02,1.02,1.02,212.973007,1.02,1.02,1.02,212.973007,
12/31/1992,1463.13501,0,0,0,1463.13501,-227.567993,-10.161,0,-237.729004,-165.639008,-209.031998,-186.382996,-355.355011,-916.408997,308.997009,4.913,1.035,-166.182999,4.455,-0.082,-161.809998,153.135011,-46.028,105.037003,0.0,0,105.037003,-16.968,88.069003,,90.139011,0.41,0.41,0.41,213.169998,0.41,0.41,0.41,213.169998,
03/31/1993,1483.38501,0,0,0,1483.38501,-286.227997,-5.119,0,-291.346985,-159.802002,-214.511002,-189.869003,-339.786987,-903.968994,288.069,2.726,-17.319,-166.503998,2.204,-0.081,-164.380997,109.095003,-41.620998,67.473999,9.738,0,77.211998,-16.636999,60.574999,,50.837006,0.23,0.23,0.28,213.337006,0.23,0.23,0.28,213.337006,
06/30/1993,1430.546997,0,0,0,1430.546997,-258.631012,-2.779,0,-261.410004,-141.065002,-215.028,-182.787994,-350.02301,-888.903992,280.233002,4.89,-4.08,-167.656998,4.242,-0.081,-163.496002,117.546999,-42.452999,75.094002,0.0,0,75.094002,-17.042999,58.051003,,58.051001,0.27,0.27,0.27,213.466003,0.27,0.27,0.27,213.466003,
09/30/1993,1872.447998,0,0,0,1872.447998,-324.605988,-0.859,0,-325.464996,-128.371994,-215.427994,-201.326996,-347.110992,-892.237976,654.744995,6.454,-31.799999,-160.908997,5.277,-0.085,-155.716995,473.682001,-186.559006,287.122986,0.0,0,287.122986,-16.565001,270.557985,,270.557994,1.27,1.27,1.27,213.550003,1.27,1.27,1.27,213.550003,
